FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z
46,-0.001782500000000001,0.7373385,0.059715000000000004,-0.1480535,0.5012885,0.05611100000000001,-0.25065350000000003,0.7342885,0.040403,0.1511865,0.48072849999999995,0.053545,0.2493365,0.7230085,0.047462000000000004,-0.2753835,0.9756285000000001,0.006826000000000002,0.2758665,0.9632284999999999,0.002795000000000006,-0.07334750000000001,0.002616499999999994,0.0027650000000000036,0.07334750000000001,-0.0026165000000000008,-0.0027649999999999966,-0.12336350000000001,-0.4114515,-0.021564,0.1212165,-0.4401915,0.0013070000000000026,-0.1350035,-0.7906814999999999,-0.03217199999999999,0.1307065,-0.7956814999999999,-0.017049999999999996
47,-0.0023589999999999965,0.7371965,0.057992,-0.148513,0.5015364999999999,0.055831000000000006,-0.251893,0.7345765,0.038155,0.150817,0.48077649999999994,0.053247,0.249547,0.7222065,0.046018,-0.276003,0.9759165000000001,0.0043240000000000015,0.276797,0.9633164999999999,0.0007570000000000007,-0.073355,0.0025784999999999975,0.0028430000000000018,0.073355,-0.0025784999999999975,-0.0028429999999999983,-0.123023,-0.4141835,-0.025445999999999996,0.12187700000000001,-0.4410735,-0.003696999999999999,-0.134833,-0.7914235000000001,-0.036043,0.130917,-0.7958935,-0.020342
48,-0.002906000000000006,0.7369144999999999,0.05604,-0.148814,0.5018045,0.054847,-0.253114,0.7348844999999999,0.035387,0.150416,0.4808245,0.052887,0.24961599999999998,0.7212744999999999,0.044383,-0.27640400000000004,0.9762245,0.001517000000000001,0.277746,0.9634244999999999,-0.0015230000000000035,-0.073357,0.002538499999999999,0.0029159999999999985,0.073357,-0.002538500000000006,-0.002916000000000002,-0.122644,-0.41672549999999997,-0.029542,0.12242600000000001,-0.44154550000000004,-0.008688000000000001,-0.134464,-0.7925055000000001,-0.039750999999999995,0.131096,-0.7961555,-0.023861
49,-0.003320500000000005,0.7364345,0.0540425,-0.14914349999999998,0.5020845,0.0539795,-0.2542635,0.7352545,0.0325585,0.15003650000000002,0.48093450000000004,0.052657499999999996,0.2498265,0.7204645,0.0426375,-0.2766335,0.9765845000000001,-0.0013945,0.2786765,0.9634845,-0.003891499999999999,-0.0733515,0.0024684999999999985,0.002911500000000001,0.0733515,-0.0024685000000000054,-0.002911500000000001,-0.1222035,-0.4188455,-0.0337535,0.12297649999999999,-0.4416955,-0.013518500000000003,-0.1340535,-0.7931855,-0.043609499999999995,0.1313165,-0.7965155,-0.027723499999999998
50,-0.0038069999999999988,0.73539,0.051484,-0.14947,0.50266,0.05258,-0.25442,0.7342,0.029205000000000002,0.14981,0.48193,0.051698,0.25032,0.71995,0.040305,-0.27727,0.9772399999999999,-0.005236999999999999,0.2799,0.96434,-0.0068579999999999995,-0.073358,0.0023220000000000046,0.0028820000000000026,0.073358,-0.0023219999999999977,-0.002881999999999999,-0.12160000000000001,-0.42012,-0.039708999999999994,0.1237,-0.44044,-0.019846999999999997,-0.13366,-0.79298,-0.04822799999999999,0.13161,-0.7959700000000001,-0.032172
51,-0.004159999999999995,0.7342215000000001,0.048896,-0.149797,0.5026315,0.051555000000000004,-0.25525699999999996,0.7343915000000001,0.025798,0.149383,0.4828815,0.051179,0.250743,0.7191715000000001,0.037853,-0.277927,0.9778115000000001,-0.009051999999999998,0.281083,0.9653115000000001,-0.009855999999999997,-0.07337199999999999,0.002175499999999997,0.0029120000000000014,0.07337199999999999,-0.002175499999999997,-0.002911999999999998,-0.12104700000000002,-0.4202885,-0.04612399999999999,0.124423,-0.43906850000000003,-0.026068,-0.133207,-0.7923684999999999,-0.05292399999999999,0.131903,-0.7953184999999999,-0.036523
52,-0.004367000000000001,0.7327684999999999,0.0464025,-0.14999,0.5024185000000001,0.050672499999999995,-0.25595,0.7345984999999999,0.022400499999999997,0.14911,0.4836385,0.0505995,0.25146,0.7187285000000001,0.0353595,-0.27838,0.9786485,-0.012877500000000004,0.28239,0.9664485,-0.012857500000000001,-0.073409,0.0020124999999999935,0.002942499999999997,0.073409,-0.0020125000000000004,-0.0029425000000000007,-0.12045,-0.4197415,-0.052873500000000004,0.12532,-0.4375315,-0.032246500000000004,-0.1325,-0.7915414999999999,-0.057591500000000004,0.13242,-0.7943015,-0.040835500000000004
53,-0.004861499999999998,0.7309125,0.044222,-0.1501555,0.5025124999999999,0.049382999999999996,-0.2560555,0.7336524999999999,0.019451,0.14911449999999998,0.4842825,0.04929,0.2521945,0.7183124999999999,0.032848,-0.2789355,0.9798524999999999,-0.016666999999999998,0.28360450000000004,0.9678524999999999,-0.015619999999999998,-0.0734665,0.0018224999999999977,0.0030430000000000006,0.0734665,-0.0018224999999999977,-0.0030430000000000006,-0.11998550000000001,-0.4188075,-0.05996,0.12622450000000002,-0.4358875,-0.038928000000000004,-0.1318855,-0.7906275,-0.06217399999999999,0.1328545,-0.7930275,-0.045089000000000004
54,-0.005667500000000004,0.729105,0.0423145,-0.15067950000000002,0.5020650000000001,0.0480005,-0.2561295,0.7324550000000001,0.0169195,0.14867049999999998,0.48434499999999997,0.047932499999999996,0.2525005,0.718225,0.030490500000000004,-0.2797595,0.9813850000000001,-0.020179499999999996,0.2845205,0.969485,-0.018181499999999996,-0.0734645,0.001575,0.0029675000000000005,0.0734645,-0.0015750000000000035,-0.0029674999999999997,-0.12001950000000002,-0.417655,-0.0671105,0.1268605,-0.434225,-0.0458765,-0.13157950000000002,-0.789245,-0.06651750000000001,0.13301049999999998,-0.791395,-0.0491785
55,-0.0065115,0.727318,0.040564,-0.1512935,0.501788,0.046757999999999994,-0.2562535,0.731278,0.01452,0.1481265,0.484398,0.046519000000000005,0.2527065,0.718308,0.0282,-0.28061349999999996,0.9831579999999999,-0.023593,0.28539650000000005,0.971358,-0.020642,-0.0734595,0.0013659999999999992,0.0029130000000000002,0.0734595,-0.0013660000000000026,-0.0029130000000000007,-0.12017349999999999,-0.416032,-0.07434400000000001,0.1274765,-0.432292,-0.052877999999999994,-0.1314135,-0.787602,-0.07073700000000001,0.1331665,-0.789462,-0.053441
56,-0.007296500000000001,0.7254125,0.038971,-0.15186049999999998,0.5006425,0.045817000000000004,-0.2563005,0.7278925,0.012609,0.1475895,0.48402249999999997,0.045531,0.2533295,0.7186225,0.026118,-0.2815005,0.9854125000000001,-0.026722000000000003,0.2864995,0.9738525,-0.023064,-0.07344049999999999,0.0010455000000000013,0.002698,0.07344049999999999,-0.0010454999999999978,-0.0026980000000000003,-0.1201905,-0.41295750000000003,-0.082556,0.1281895,-0.42871750000000003,-0.060939,-0.1311805,-0.7844774999999999,-0.075312,0.13318950000000002,-0.7859474999999999,-0.057689
57,-0.008019000000000004,0.723483,0.037200000000000004,-0.152398,0.498823,0.044975,-0.256328,0.724453,0.010526,0.147082,0.483163,0.044474,0.254172,0.719303,0.023842000000000002,-0.282708,0.987433,-0.03009,0.287782,0.977053,-0.025762999999999998,-0.07341400000000001,0.0006749999999999985,0.002401,0.07341400000000001,-0.000675000000000002,-0.002401,-0.120118,-0.408457,-0.09198300000000001,0.129042,-0.423897,-0.070021,-0.131048,-0.779637,-0.07986700000000001,0.133262,-0.781107,-0.062466
58,-0.008762499999999996,0.7215104999999999,0.035593,-0.1529525,0.49694050000000006,0.044098,-0.25644249999999996,0.7219705,0.008439000000000002,0.1465775,0.48194050000000005,0.043425,0.2549575,0.7197605,0.021683,-0.28402249999999996,0.9889904999999999,-0.033532,0.2890375,0.9807405,-0.028461,-0.07343050000000001,0.0003154999999999998,0.00215,0.07343050000000001,-0.0003154999999999998,-0.0021499999999999996,-0.12017250000000002,-0.40332949999999995,-0.102049,0.1299475,-0.4182495,-0.07974099999999999,-0.1308825,-0.7736395,-0.085198,0.1328975,-0.7755995,-0.067108
59,-0.009486499999999995,0.720197,0.034449,-0.1536325,0.4957170000000001,0.043735,-0.25671249999999995,0.7189070000000001,0.006936999999999999,0.1458775,0.48086700000000004,0.043087,0.2555275,0.720157,0.019936000000000002,-0.28498249999999997,0.989977,-0.036153,0.28985750000000005,0.9839870000000001,-0.030737,-0.0734695,7.200000000000088e-05,0.0018309999999999993,0.0734695,-7.200000000000002e-05,-0.0018310000000000002,-0.1202925,-0.398723,-0.110566,0.13071750000000001,-0.41322299999999995,-0.088098,-0.1308725,-0.768143,-0.089575,0.1322075,-0.7704329999999999,-0.07080499999999999
60,-0.010223499999999996,0.7188610000000001,0.033281500000000006,-0.15430850000000002,0.494181,0.0431975,-0.25698849999999995,0.7162310000000001,0.005455500000000002,0.1453615,0.479821,0.042485499999999995,0.2560815,0.7204510000000001,0.0181885,-0.2858785,0.990881,-0.0387445,0.29058150000000005,0.987101,-0.032974500000000004,-0.0734795,-0.00018099999999999995,0.0016275000000000005,0.0734795,0.00018099999999999995,-0.0016274999999999987,-0.12049850000000001,-0.394169,-0.1187145,0.1314815,-0.407829,-0.0963455,-0.1309585,-0.7620189999999999,-0.0937775,0.1315215,-0.7649889999999999,-0.0746575
