FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z
40,0.978264,0.69176,-0.1416319999999999,0.843849,0.46397,-0.125475,0.739079,0.5958,-0.3151049999999999,1.121619,0.47184,-0.126055,1.217859,0.58986,-0.318195,0.715789,0.73656,-0.523435,1.235909,0.72223,-0.540395,0.921151,-0.0004799999999999,0.002325,1.078849,0.00048,-0.0023249999999999,0.854689,-0.25683,-0.2502149999999999,1.119789,-0.25697,-0.269935,0.883629,-0.62714,-0.204083,1.122239,-0.62648,-0.2158109999999999
41,0.9776350000000001,0.68953,-0.151167,0.843319,0.46331,-0.133651,0.739229,0.6066499999999999,-0.321045,1.120919,0.4724199999999999,-0.133948,1.215979,0.60071,-0.323255,0.715829,0.7553399999999999,-0.520695,1.235039,0.74349,-0.5366550000000001,0.921153,-0.00068,0.0025949999999999,1.0788470000000001,0.0006799999999999,-0.002595,0.8526290000000001,-0.24368,-0.264605,1.1195389999999998,-0.243,-0.282355,0.883979,-0.6148100000000001,-0.210573,1.121599,-0.61453,-0.22305
42,0.9771225000000001,0.6874049999999999,-0.1604149999999999,0.8428335,0.4631349999999999,-0.1412859999999999,0.7392535,0.617895,-0.324775,1.1203735,0.472805,-0.1415189999999999,1.2143735,0.611955,-0.326565,0.7162035,0.772115,-0.517455,1.2341935,0.762575,-0.532065,0.9212525,-0.000875,0.002845,1.0787475,0.0008749999999999,-0.0028449999999999,0.8506035000000001,-0.230665,-0.278555,1.1193935,-0.228715,-0.294525,0.8841135000000001,-0.602035,-0.2170889999999999,1.1208935,-0.602135,-0.2300729999999999
43,0.9768675,0.68458,-0.164593,0.8429735,0.46166,-0.1440239999999999,0.7398235,0.62844,-0.32247,1.1201535,0.47248,-0.143803,1.2126635000000001,0.6225,-0.3240699999999999,0.7171935,0.78447,-0.50911,1.2335435,0.77608,-0.52292,0.9213705000000001,-0.0010499999999999,0.00267,1.0786295,0.0010499999999999,-0.0026699999999999,0.8489535,-0.21797,-0.28723,1.1196535,-0.2152799999999999,-0.30156,0.8843735,-0.58994,-0.218414,1.1204735,-0.59082,-0.231869
44,0.9765680000000001,0.68153,-0.168997,0.843387,0.4617799999999999,-0.147157,0.741097,0.6368199999999999,-0.31959,1.119877,0.47343,-0.146003,1.210537,0.6313,-0.31943,0.7182670000000001,0.79621,-0.50123,1.232977,0.78785,-0.51366,0.9214390000000001,-0.0011899999999999,0.0025199999999999,1.0785609999999999,0.0011899999999999,-0.0025199999999999,0.847967,-0.20624,-0.29306,1.119967,-0.2034399999999999,-0.3063,0.884327,-0.57713,-0.220278,1.120077,-0.5786,-0.233723
45,0.9763470000000001,0.678415,-0.173597,0.844105,0.461585,-0.1506549999999999,0.742455,0.645335,-0.317275,1.119715,0.473205,-0.148276,1.2085650000000001,0.6377349999999999,-0.315145,0.7193150000000001,0.8096049999999999,-0.4932249999999999,1.232565,0.801245,-0.503565,0.921448,-0.0012149999999999,0.002395,1.078552,0.001215,-0.002395,0.847205,-0.192845,-0.299265,1.120375,-0.1900449999999999,-0.3116649999999999,0.884325,-0.562875,-0.2224539999999999,1.119815,-0.564775,-0.235962
46,0.976128,0.67597,-0.1783519999999999,0.8448910000000001,0.46135,-0.1541619999999999,0.743761,0.6520699999999999,-0.31521,1.119531,0.4723299999999999,-0.1506129999999999,1.206871,0.64191,-0.31162,0.720151,0.8231599999999999,-0.4854,1.232011,0.8148,-0.4931199999999999,0.9213870000000001,-0.00123,0.00218,1.0786129999999998,0.00123,-0.0021799999999999,0.846481,-0.17929,-0.3054099999999999,1.120801,-0.1764899999999999,-0.3169599999999999,0.8842909999999999,-0.5488200000000001,-0.2244659999999999,1.119491,-0.55111,-0.2379589999999999
47,0.976288,0.67288,-0.18285,0.846463,0.46066,-0.158537,0.745093,0.65794,-0.31381,1.1193229999999998,0.47056,-0.153522,1.205693,0.6463000000000001,-0.3095,0.720783,0.83783,-0.47836,1.231503,0.82947,-0.4842499999999999,0.921323,-0.0010399999999999,0.00195,1.0786769999999999,0.00104,-0.00195,0.8458829999999999,-0.1683,-0.31166,1.121283,-0.1650599999999999,-0.32266,0.884123,-0.53384,-0.226329,1.119193,-0.53636,-0.239781
48,0.9765345,0.669285,-0.1873109999999999,0.8479825,0.460775,-0.162458,0.7463925,0.662275,-0.31272,1.1191225,0.469835,-0.156436,1.2043325,0.649475,-0.30852,0.7214225000000001,0.8506849999999999,-0.4719799999999999,1.2311225000000001,0.8414649999999999,-0.47694,0.9212675,-0.0008349999999999,0.00186,1.0787325,0.000835,-0.00186,0.8454725000000001,-0.157105,-0.31747,1.1217725,-0.1537549999999999,-0.3282899999999999,0.8841825000000001,-0.5186249999999999,-0.228049,1.1189425,-0.521555,-0.241887
49,0.9768345,0.6661250000000001,-0.19173,0.8496215000000001,0.460025,-0.166491,0.7476715,0.666105,-0.311525,1.1191115,0.468255,-0.159388,1.2025914999999998,0.6523950000000001,-0.307685,0.7216715,0.861815,-0.466515,1.2309215,0.852665,-0.4723349999999999,0.9213045,-0.0006849999999999,0.001785,1.0786955,0.000685,-0.001785,0.8451415,-0.1454149999999999,-0.323075,1.1221915,-0.142005,-0.333675,0.8842315000000001,-0.503415,-0.229931,1.1187915,-0.506505,-0.243204
