FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0.006543,0.74696,0.005339,-0.16908,0.45427,0.021602,-0.17792,0.2008,0.02626,0.15831,0.45039,0.020851,0.18275,0.19909,0.032992,-0.19453,-0.001073,-0.049037,0.19757,-0.006237,-0.045699,-0.071261,-0.000176,-0.034239,0.072734,-0.005881,-0.03445,-0.12136,-0.37724,-0.044614,0.11273,-0.42558,-0.02296,-0.12581,-0.7445,-0.050603,0.11848,-0.74845,-0.055719
1,0.006748,0.74689,0.005288,-0.16563,0.45451,0.022374,-0.17816,0.20109,0.024941,0.15838,0.45029,0.020568,0.18275,0.19977,0.031922,-0.20365,-0.022948,-0.06522,0.19765,-0.006284,-0.045968,-0.071197,-0.000217,-0.034495,0.072864,-0.006053,-0.035236,-0.12153,-0.3778,-0.044401,0.11239,-0.42588,-0.022946,-0.12559,-0.74449,-0.050662,0.11896,-0.7477,-0.056333
2,0.006926,0.74692,0.00531,-0.16435,0.45406,0.022239,-0.17829,0.20164,0.024075,0.15849,0.45043,0.020564,0.18305,0.20026,0.030275,-0.2016,0.001153,-0.05327,0.19763,-0.006568,-0.04684,-0.071149,-0.00027,-0.034625,0.072906,-0.006155,-0.0354,-0.12153,-0.37776,-0.044385,0.11236,-0.42599,-0.022882,-0.1258,-0.74315,-0.049315,0.11897,-0.74759,-0.055989
3,0.007159,0.74701,0.006392,-0.16332,0.45476,0.022259,-0.2122,0.2431,-0.021892,0.15853,0.45115,0.019936,0.21232,0.24257,-0.014132,-0.25096,0.06087,-0.13415,0.23182,0.048145,-0.10861,-0.07096,-0.00037,-0.035584,0.073142,-0.006327,-0.035471,-0.12199,-0.37286,-0.044345,0.11204,-0.4245,-0.022638,-0.12509,-0.74347,-0.051872,0.11833,-0.74869,-0.055984
4,0.007294,0.74466,0.010588,-0.17008,0.45544,0.021925,-0.24091,0.26066,-0.051988,0.15719,0.4507,0.018751,0.23189,0.25294,-0.039883,-0.29289,0.10764,-0.21676,0.27063,0.09381,-0.18473,-0.070994,-0.002492,-0.035596,0.073476,-0.008052,-0.035719,-0.12154,-0.37208,-0.043049,0.11195,-0.42315,-0.022675,-0.12349,-0.74524,-0.052901,0.11671,-0.75846,-0.055206
5,0.007834,0.74468,0.014229,-0.15942,0.45868,0.020889,-0.2739,0.31183,-0.099455,0.15412,0.45361,0.015363,0.25556,0.28182,-0.07982,-0.3445,0.20415,-0.27681,0.3012,0.17462,-0.266,-0.071103,-0.002546,-0.035408,0.073834,-0.007762,-0.035911,-0.12175,-0.36936,-0.04167,0.11074,-0.41872,-0.022503,-0.12316,-0.74707,-0.051917,0.11681,-0.7583,-0.054326
6,0.007852,0.7449,0.017188,-0.153,0.46226,0.021025,-0.27925,0.33563,-0.11047,0.15242,0.45519,0.01397,0.26978,0.30479,-0.098889,-0.36584,0.25377,-0.29433,0.32708,0.24476,-0.30241,-0.071242,-0.002457,-0.035171,0.073984,-0.007598,-0.035804,-0.12161,-0.36685,-0.040687,0.11044,-0.41548,-0.021858,-0.12314,-0.74745,-0.051412,0.11632,-0.75838,-0.052952
7,0.007015,0.74635,0.019186,-0.15557,0.46424,0.020755,-0.27838,0.38984,-0.093789,0.15531,0.46005,0.014309,0.26948,0.36956,-0.098002,-0.33839,0.35472,-0.2662,0.31203,0.32082,-0.27037,-0.07165,0.000189,-0.033507,0.073913,-0.005068,-0.035567,-0.12128,-0.3644,-0.041019,0.1105,-0.4182,-0.021742,-0.12315,-0.74449,-0.047765,0.116,-0.75519,-0.053733
8,0.00698,0.74665,0.021394,-0.15437,0.46888,0.019921,-0.28705,0.43278,-0.10109,0.15532,0.46492,0.013345,0.27841,0.41063,-0.10772,-0.34744,0.43628,-0.27698,0.32175,0.40007,-0.2864,-0.071687,0.002017,-0.033427,0.073974,-0.003024,-0.035643,-0.12125,-0.36292,-0.040543,0.11015,-0.41679,-0.02159,-0.12262,-0.74393,-0.046479,0.11546,-0.75582,-0.052947
9,0.006951,0.74697,0.023083,-0.15327,0.47373,0.019024,-0.29213,0.47469,-0.10494,0.15533,0.47013,0.012519,0.28531,0.45453,-0.11398,-0.35143,0.51516,-0.27759,0.32673,0.48019,-0.29224,-0.071737,0.004088,-0.033408,0.073975,-0.000749,-0.03574,-0.1212,-0.36158,-0.040256,0.1098,-0.41545,-0.0215,-0.12227,-0.7434,-0.045334,0.11508,-0.75601,-0.052218
10,0.006895,0.74732,0.024301,-0.15258,0.47875,0.018206,-0.29296,0.51261,-0.10495,0.15534,0.4755,0.012106,0.28953,0.49609,-0.11461,-0.35143,0.58632,-0.27759,0.32798,0.55337,-0.29222,-0.071782,0.006387,-0.03349,0.073977,0.001775,-0.035834,-0.12115,-0.36054,-0.040123,0.10957,-0.41456,-0.021483,-0.12194,-0.74289,-0.044323,0.11471,-0.75612,-0.051614
11,0.006783,0.74772,0.025161,-0.15247,0.48402,0.017509,-0.29296,0.55135,-0.10495,0.15525,0.48112,0.011992,0.29003,0.53696,-0.11461,-0.35143,0.65665,-0.27759,0.32798,0.62344,-0.29222,-0.071855,0.009103,-0.033491,0.073978,0.004629,-0.035941,-0.12109,-0.3598,-0.040095,0.10937,-0.41384,-0.021477,-0.1216,-0.74235,-0.042962,0.11437,-0.75619,-0.051081
12,0.006648,0.74836,0.025405,-0.15232,0.4893,0.016815,-0.29296,0.5866,-0.10495,0.15508,0.48678,0.011989,0.29003,0.57392,-0.11461,-0.35143,0.72127,-0.27759,0.32798,0.6929,-0.29222,-0.071917,0.012227,-0.033492,0.073968,0.007761,-0.036059,-0.12108,-0.35954,-0.040082,0.10919,-0.41313,-0.02148,-0.12127,-0.74167,-0.041478,0.11402,-0.75564,-0.050589
13,0.006493,0.74897,0.025402,-0.1521,0.49491,0.016082,-0.293,0.61649,-0.10293,0.15515,0.4922,0.01199,0.29003,0.60393,-0.11461,-0.34912,0.77358,-0.2699,0.3279,0.74936,-0.28698,-0.071989,0.015431,-0.033493,0.073901,0.010951,-0.036203,-0.12108,-0.35949,-0.040078,0.10902,-0.41236,-0.021481,-0.12101,-0.74081,-0.040389,0.11382,-0.75522,-0.050567
14,0.006364,0.74957,0.0254,-0.15183,0.50057,0.015421,-0.29152,0.64538,-0.097782,0.15526,0.49795,0.011992,0.28998,0.63795,-0.11117,-0.34315,0.82091,-0.25657,0.32535,0.79984,-0.27247,-0.072044,0.018767,-0.033551,0.073783,0.014232,-0.036361,-0.12108,-0.35942,-0.040078,0.10889,-0.41169,-0.021518,-0.12079,-0.73979,-0.039284,0.11362,-0.7548,-0.050562
15,0.006249,0.75055,0.025398,-0.1518,0.50687,0.014991,-0.28826,0.66857,-0.091152,0.15519,0.50369,0.012209,0.28879,0.66311,-0.10309,-0.3368,0.85702,-0.23806,0.32116,0.84028,-0.25287,-0.072072,0.02242,-0.033743,0.073616,0.017849,-0.036535,-0.12108,-0.35935,-0.040128,0.10876,-0.41088,-0.02157,-0.12064,-0.7393,-0.039027,0.11348,-0.75435,-0.050539
16,0.006162,0.75162,0.025126,-0.15173,0.51281,0.014765,-0.2833,0.69198,-0.082219,0.15519,0.50886,0.01252,0.28581,0.68981,-0.092702,-0.32836,0.88737,-0.2164,0.31546,0.87691,-0.22985,-0.072064,0.025938,-0.034275,0.073396,0.021266,-0.036718,-0.1211,-0.35936,-0.040234,0.10865,-0.41001,-0.02169,-0.1205,-0.73882,-0.038838,0.11336,-0.75402,-0.050541
17,0.006168,0.75162,0.024748,-0.15173,0.51643,0.014765,-0.27852,0.70674,-0.075691,0.15518,0.51103,0.012919,0.28243,0.70767,-0.084387,-0.3222,0.90495,-0.1994,0.31162,0.89992,-0.21115,-0.072059,0.027188,-0.034578,0.073225,0.022288,-0.036832,-0.12112,-0.35946,-0.040294,0.10861,-0.41001,-0.021848,-0.1205,-0.73882,-0.038838,0.11328,-0.75402,-0.050542
18,0.006176,0.75162,0.024222,-0.15172,0.51988,0.014765,-0.27379,0.72127,-0.069878,0.15501,0.51308,0.013544,0.27852,0.72183,-0.075705,-0.31657,0.92142,-0.18245,0.30698,0.91748,-0.18956,-0.072072,0.028391,-0.034785,0.073053,0.023307,-0.036934,-0.12114,-0.3596,-0.040362,0.10858,-0.41001,-0.021988,-0.1205,-0.73882,-0.038861,0.11321,-0.75402,-0.050543
19,0.006185,0.75162,0.023653,-0.1514,0.52288,0.014771,-0.26912,0.7345,-0.064234,0.15465,0.5148,0.014237,0.27432,0.73521,-0.067096,-0.31137,0.93516,-0.16621,0.30232,0.93348,-0.16834,-0.072078,0.029619,-0.03496,0.072848,0.024336,-0.03702,-0.12115,-0.35977,-0.040446,0.10856,-0.41001,-0.022105,-0.1205,-0.73882,-0.038784,0.11311,-0.75402,-0.050643
20,0.006206,0.75135,0.023097,-0.1506,0.52553,0.015668,-0.26511,0.74446,-0.058287,0.15384,0.51639,0.015265,0.27015,0.74653,-0.058855,-0.30694,0.94437,-0.15054,0.29838,0.94477,-0.14888,-0.072185,0.030828,-0.034962,0.072585,0.025402,-0.037024,-0.12147,-0.36139,-0.040593,0.10825,-0.4112,-0.022309,-0.121,-0.7399,-0.039062,0.11262,-0.75572,-0.051096
21,0.006151,0.75116,0.022647,-0.14974,0.52821,0.016642,-0.26142,0.7536,-0.052078,0.15283,0.51793,0.016295,0.26589,0.75683,-0.050924,-0.30286,0.95253,-0.13534,0.29454,0.95429,-0.13006,-0.072296,0.032031,-0.034963,0.072345,0.026556,-0.037028,-0.12179,-0.36296,-0.040636,0.10792,-0.41236,-0.02238,-0.12153,-0.74122,-0.039348,0.11213,-0.75752,-0.051558
22,0.006106,0.75096,0.022374,-0.14875,0.53049,0.017611,-0.25807,0.76181,-0.045928,0.15159,0.5194,0.017283,0.26138,0.76566,-0.043325,-0.29927,0.95918,-0.12017,0.29059,0.96202,-0.11241,-0.072433,0.033117,-0.034966,0.07209,0.027716,-0.037032,-0.12208,-0.36464,-0.04065,0.10761,-0.41349,-0.022402,-0.12211,-0.74262,-0.039655,0.11164,-0.75924,-0.052044
23,0.006092,0.75071,0.022177,-0.14772,0.53238,0.018923,-0.25625,0.76859,-0.040905,0.15024,0.52046,0.018206,0.25798,0.76935,-0.036707,-0.29675,0.96462,-0.10716,0.28669,0.9684,-0.098407,-0.072586,0.034237,-0.034805,0.071863,0.028834,-0.036981,-0.12237,-0.36631,-0.040654,0.10729,-0.4146,-0.022407,-0.1227,-0.74413,-0.039834,0.11105,-0.76086,-0.052575
24,0.006043,0.75029,0.022176,-0.1466,0.53356,0.020346,-0.25445,0.77246,-0.035103,0.14914,0.52082,0.018824,0.25486,0.77268,-0.030549,-0.29451,0.96872,-0.094744,0.28264,0.97337,-0.085558,-0.072747,0.035313,-0.034488,0.071654,0.029977,-0.036714,-0.12266,-0.36796,-0.040655,0.10696,-0.41566,-0.022413,-0.12323,-0.74544,-0.039737,0.11052,-0.76254,-0.053123
25,0.005865,0.74974,0.022173,-0.14555,0.53466,0.021841,-0.25302,0.77434,-0.029811,0.14804,0.5213,0.019456,0.25134,0.77294,-0.024426,-0.29251,0.97281,-0.083006,0.27831,0.97595,-0.072899,-0.072921,0.036295,-0.034016,0.071431,0.030981,-0.036333,-0.12294,-0.36958,-0.040647,0.10665,-0.41679,-0.022399,-0.12379,-0.74713,-0.039899,0.10988,-0.76432,-0.053206
26,0.005635,0.74908,0.022169,-0.14459,0.53571,0.023539,-0.25172,0.77612,-0.024454,0.14726,0.52138,0.020093,0.24788,0.77295,-0.018385,-0.29087,0.97629,-0.071882,0.27416,0.97718,-0.061563,-0.073095,0.037231,-0.03348,0.071211,0.031982,-0.035883,-0.12323,-0.37118,-0.040635,0.10633,-0.41796,-0.022388,-0.12434,-0.74874,-0.040186,0.10921,-0.76607,-0.053365
27,0.005353,0.7487,0.022281,-0.14397,0.53679,0.0251,-0.25092,0.77749,-0.019156,0.14675,0.52164,0.020442,0.24515,0.77365,-0.013595,-0.29001,0.9784,-0.062688,0.27095,0.97801,-0.053433,-0.07318,0.037826,-0.032909,0.071064,0.032562,-0.035419,-0.12323,-0.3719,-0.040564,0.10632,-0.41831,-0.022352,-0.12437,-0.74946,-0.040441,0.10913,-0.76684,-0.053367
28,0.005005,0.74821,0.022561,-0.14351,0.53783,0.026656,-0.2505,0.77863,-0.014172,0.14612,0.52176,0.020954,0.24269,0.77467,-0.009084,-0.28938,0.98034,-0.054255,0.26803,0.97872,-0.046145,-0.0732,0.038307,-0.032296,0.071004,0.033069,-0.034936,-0.12323,-0.37261,-0.040474,0.10632,-0.41863,-0.022321,-0.12437,-0.7502,-0.040638,0.10897,-0.76762,-0.053364
29,0.004596,0.74821,0.022919,-0.14332,0.53897,0.027595,-0.2504,0.78003,-0.010306,0.14551,0.52209,0.021094,0.2403,0.77505,-0.005959,-0.28948,0.98244,-0.047678,0.26509,0.97971,-0.04106,-0.073207,0.038905,-0.031868,0.070995,0.033664,-0.034419,-0.12323,-0.37261,-0.040373,0.10632,-0.41863,-0.022292,-0.12441,-0.75029,-0.040942,0.10897,-0.76781,-0.053422
30,0.003802,0.74821,0.023277,-0.14323,0.53995,0.028553,-0.25046,0.78121,-0.006699,0.14497,0.52156,0.021086,0.23771,0.77505,-0.00309,-0.28958,0.98447,-0.04161,0.26198,0.98058,-0.037134,-0.073214,0.039767,-0.031433,0.070987,0.034574,-0.033894,-0.12321,-0.37262,-0.040165,0.10632,-0.4187,-0.02228,-0.1244,-0.7505,-0.041247,0.10897,-0.76803,-0.053416
31,0.00297,0.74821,0.023697,-0.14325,0.54045,0.029577,-0.25051,0.78245,-0.00357,0.14463,0.52113,0.021081,0.23553,0.77504,-0.001035,-0.28965,0.98629,-0.036924,0.25932,0.98107,-0.034209,-0.073223,0.040399,-0.030867,0.070979,0.035217,-0.033379,-0.12317,-0.37273,-0.040074,0.10632,-0.41871,-0.02239,-0.1244,-0.75065,-0.041558,0.10897,-0.76809,-0.053521
32,0.00189,0.74898,0.024003,-0.14326,0.54187,0.030226,-0.25055,0.78373,-0.001148,0.14436,0.52138,0.020835,0.23407,0.7758,2.1e-05,-0.2897,0.9874,-0.03386,0.25741,0.98258,-0.032917,-0.073154,0.041871,-0.030335,0.071007,0.036783,-0.032767,-0.12282,-0.37217,-0.040068,0.10666,-0.4175,-0.022384,-0.12386,-0.75035,-0.041767,0.10936,-0.76736,-0.053515
33,0.0007,0.74984,0.024357,-0.14327,0.5433,0.030841,-0.25068,0.78525,0.000322,0.14405,0.52169,0.0206,0.23274,0.77561,0.000555,-0.29,0.98855,-0.03265,0.25598,0.98419,-0.032854,-0.07296,0.043032,-0.029474,0.07114,0.038007,-0.031927,-0.12241,-0.37157,-0.040062,0.10709,-0.41672,-0.022378,-0.12326,-0.75013,-0.04196,0.10979,-0.76681,-0.053508
34,-0.000596,0.75065,0.024509,-0.14328,0.5447,0.031461,-0.25117,0.78676,0.000759,0.14375,0.52205,0.020314,0.23192,0.77529,0.000542,-0.29064,0.9897,-0.032572,0.2548,0.98564,-0.032873,-0.072457,0.043927,-0.027706,0.071496,0.038929,-0.030656,-0.12187,-0.37145,-0.040053,0.10759,-0.41623,-0.02237,-0.12265,-0.7505,-0.042373,0.11021,-0.76636,-0.053502
35,-0.001959,0.75112,0.024487,-0.14345,0.54589,0.031922,-0.25191,0.78788,0.000748,0.14329,0.52239,0.019991,0.23118,0.77515,0.000531,-0.2916,0.99048,-0.032587,0.25375,0.98693,-0.03289,-0.071886,0.044267,-0.025479,0.07194,0.03941,-0.029213,-0.12114,-0.37149,-0.040116,0.10813,-0.41608,-0.02257,-0.12209,-0.7505,-0.04293,0.11083,-0.76615,-0.053868
36,-0.003428,0.75076,0.024464,-0.14383,0.54676,0.032492,-0.25292,0.78692,0.000732,0.14282,0.52228,0.0194,0.23044,0.77529,0.000519,-0.29323,0.99003,-0.032613,0.25284,0.98739,-0.032904,-0.071132,0.044267,-0.021761,0.072594,0.03941,-0.027058,-0.12016,-0.37166,-0.040611,0.10909,-0.41608,-0.023516,-0.12149,-0.7505,-0.043513,0.11147,-0.76615,-0.054272
37,-0.004996,0.75023,0.024439,-0.14429,0.54768,0.033038,-0.25285,0.78666,0.000733,0.14248,0.52193,0.0186,0.22984,0.77611,0.000284,-0.29519,0.99003,-0.032644,0.252,0.98763,-0.033563,-0.070278,0.044267,-0.017617,0.073419,0.03941,-0.024046,-0.119,-0.37166,-0.041303,0.11023,-0.41608,-0.024871,-0.12081,-0.7505,-0.044007,0.1121,-0.76629,-0.054658
38,-0.006688,0.74961,0.024281,-0.14475,0.54768,0.033578,-0.25287,0.78655,0.000507,0.1421,0.52132,0.017681,0.2291,0.77606,-0.00031,-0.29685,0.99003,-0.033462,0.25122,0.98763,-0.034764,-0.069287,0.044267,-0.012799,0.074471,0.03941,-0.020583,-0.11771,-0.37166,-0.042218,0.11156,-0.41608,-0.026765,-0.12046,-0.75101,-0.045076,0.1127,-0.76645,-0.055215
39,-0.008401,0.74923,0.023442,-0.14509,0.54768,0.034095,-0.25295,0.78647,-0.000483,0.14123,0.52078,0.016803,0.22872,0.77605,-0.001575,-0.29805,0.98952,-0.035495,0.25095,0.98763,-0.036553,-0.0683,0.043739,-0.006527,0.075695,0.039065,-0.015243,-0.11649,-0.37229,-0.043577,0.11286,-0.4159,-0.029199,-0.12019,-0.75211,-0.046408,0.1129,-0.76695,-0.056082
40,-0.010365,0.7485,0.022096,-0.14543,0.54768,0.034567,-0.25316,0.78123,-0.001914,0.14029,0.51988,0.015791,0.22835,0.77605,-0.003268,-0.29917,0.98874,-0.038482,0.25073,0.98763,-0.038869,-0.067319,0.043029,0.000265,0.076979,0.038548,-0.009479,-0.11534,-0.37318,-0.045153,0.11435,-0.41586,-0.032116,-0.12016,-0.75312,-0.047939,0.11313,-0.76737,-0.057632
41,-0.012466,0.74528,0.020431,-0.14608,0.54476,0.035636,-0.25374,0.77455,-0.003629,0.13871,0.51698,0.014625,0.228,0.7743,-0.005887,-0.30016,0.98638,-0.043382,0.25057,0.98667,-0.042078,-0.065948,0.040305,0.008473,0.078726,0.036529,-0.002534,-0.11433,-0.37416,-0.047693,0.11608,-0.41491,-0.036219,-0.12013,-0.75423,-0.050204,0.11347,-0.76763,-0.059198
42,-0.014529,0.73937,0.018878,-0.14691,0.53921,0.036757,-0.25444,0.76608,-0.005505,0.13689,0.51244,0.013474,0.22756,0.77006,-0.008579,-0.30098,0.98213,-0.049037,0.25043,0.98421,-0.045549,-0.064473,0.035536,0.016833,0.080664,0.03259,0.00437,-0.11347,-0.37604,-0.050842,0.11792,-0.41495,-0.041377,-0.12015,-0.75599,-0.05266,0.11378,-0.76859,-0.06136
43,-0.016578,0.73326,0.017249,-0.14769,0.53336,0.036859,-0.25519,0.75591,-0.007788,0.13491,0.50778,0.012405,0.22687,0.76381,-0.011486,-0.30155,0.97712,-0.05539,0.25013,0.98111,-0.049493,-0.063034,0.030079,0.02466,0.082637,0.028035,0.011199,-0.11284,-0.3782,-0.054657,0.11977,-0.41595,-0.047399,-0.12023,-0.75776,-0.055125,0.11416,-0.7692,-0.063437
44,-0.018877,0.72192,0.015241,-0.14861,0.52154,0.037773,-0.25584,0.74284,-0.01073,0.13295,0.49859,0.011382,0.22578,0.75405,-0.014759,-0.30208,0.96539,-0.063191,0.24949,0.97659,-0.054311,-0.061047,0.020685,0.033333,0.08522,0.020225,0.01891,-0.11235,-0.3813,-0.059429,0.1219,-0.41703,-0.05568,-0.12045,-0.75952,-0.058226,0.11453,-0.76951,-0.065324
45,-0.021641,0.70749,0.013134,-0.14945,0.50797,0.038504,-0.2564,0.72615,-0.014163,0.13088,0.48759,0.010613,0.22457,0.74189,-0.018292,-0.30271,0.95196,-0.071396,0.2485,0.97058,-0.059948,-0.05859,0.008421,0.04139,0.088377,0.009388,0.026641,-0.11205,-0.38517,-0.064887,0.12384,-0.41852,-0.064462,-0.12102,-0.76131,-0.062168,0.11497,-0.76959,-0.067179
46,-0.024905,0.69193,0.010992,-0.1499,0.49374,0.03871,-0.25701,0.7057,-0.018105,0.12839,0.47177,0.009569,0.22328,0.72709,-0.022106,-0.30381,0.93275,-0.080411,0.24712,0.96241,-0.065854,-0.055837,-0.005922,0.049115,0.091431,-0.003931,0.03452,-0.11195,-0.38609,-0.071086,0.12601,-0.41852,-0.074197,-0.12108,-0.7627,-0.065243,0.11526,-0.76962,-0.069347
47,-0.027861,0.67142,0.008782,-0.1501,0.47098,0.038707,-0.25792,0.68397,-0.022002,0.12615,0.4556,0.008545,0.22206,0.71141,-0.025725,-0.30504,0.91332,-0.089138,0.24559,0.95343,-0.071399,-0.052476,-0.023353,0.056619,0.095342,-0.019545,0.041997,-0.11185,-0.38776,-0.07759,0.12823,-0.41852,-0.084058,-0.12149,-0.76382,-0.068023,0.11523,-0.7706,-0.071488
48,-0.030372,0.65045,0.006979,-0.15024,0.44804,0.038705,-0.25919,0.66052,-0.025857,0.12395,0.43817,0.007524,0.22083,0.69422,-0.028796,-0.30644,0.89458,-0.097552,0.24388,0.93622,-0.076388,-0.049171,-0.042478,0.066986,0.099337,-0.037054,0.052155,-0.11175,-0.38937,-0.084042,0.13026,-0.41777,-0.093925,-0.12198,-0.76432,-0.070485,0.11524,-0.7706,-0.072922
