FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0.002485,0.76982,-0.01439,-0.17648,0.49782,-0.016996,-0.22435,0.24928,-0.031503,0.14057,0.49775,-0.033729,0.23365,0.26409,-0.037164,-0.22519,0.065071,-0.10725,0.20916,0.3949,-0.23189,-0.076387,-0.000733,-0.036987,0.074433,0.001769,-0.036004,-0.10118,-0.31799,0.001735,0.10686,-0.32918,0.008151,-0.10457,-0.64281,0.042946,0.12012,-0.64148,0.04179
1,0.002548,0.76976,-0.014582,-0.1764,0.4979,-0.017827,-0.22415,0.24935,-0.031771,0.14037,0.49769,-0.034205,0.23385,0.26335,-0.035745,-0.22519,0.065061,-0.10726,0.20916,0.39499,-0.2317,-0.076384,-0.000887,-0.037142,0.074463,0.001693,-0.036017,-0.1012,-0.31805,0.001749,0.10686,-0.32917,0.008136,-0.10449,-0.6428,0.042942,0.12042,-0.64079,0.041468
2,0.002597,0.76982,-0.014611,-0.17631,0.4978,-0.01848,-0.22376,0.24875,-0.031924,0.14042,0.49765,-0.034317,0.2337,0.26324,-0.034759,-0.22514,0.065182,-0.1072,0.20897,0.39496,-0.23181,-0.076369,-0.001006,-0.037213,0.07452,0.001568,-0.036085,-0.10114,-0.31801,0.00169,0.10685,-0.32917,0.008122,-0.10428,-0.64242,0.042952,0.12037,-0.64127,0.041587
3,0.002724,0.76989,-0.014648,-0.17628,0.49789,-0.018523,-0.22359,0.24895,-0.031656,0.14047,0.49746,-0.034699,0.23376,0.2628,-0.032883,-0.22513,0.065349,-0.10724,0.20902,0.39497,-0.2318,-0.076359,-0.001015,-0.037202,0.074532,0.00153,-0.036066,-0.10114,-0.31783,0.001732,0.10685,-0.32913,0.008165,-0.10409,-0.64234,0.043088,0.12027,-0.63983,0.041882
4,0.002816,0.76989,-0.01473,-0.1763,0.49785,-0.019014,-0.22353,0.24901,-0.031706,0.14047,0.4974,-0.03478,0.23406,0.26294,-0.034551,-0.22504,0.065633,-0.10713,0.20916,0.39503,-0.23197,-0.076347,-0.00106,-0.037253,0.074623,0.001383,-0.036297,-0.10123,-0.3177,0.001651,0.10692,-0.32911,0.008001,-0.10412,-0.64236,0.043155,0.11993,-0.64029,0.041761
5,0.002941,0.76989,-0.014817,-0.17611,0.49801,-0.019447,-0.22346,0.24927,-0.031961,0.14049,0.49738,-0.03484,0.23396,0.26264,-0.033396,-0.2249,0.065418,-0.10707,0.20919,0.3953,-0.23189,-0.076339,-0.001177,-0.037317,0.074663,0.00122,-0.036244,-0.10127,-0.31753,0.001577,0.10711,-0.32908,0.007966,-0.10412,-0.64235,0.043151,0.1201,-0.64029,0.041834
6,0.002999,0.7699,-0.014878,-0.17605,0.49788,-0.019802,-0.22332,0.24932,-0.032006,0.14051,0.4974,-0.034895,0.23398,0.26295,-0.03534,-0.22482,0.065474,-0.10726,0.20924,0.39546,-0.23222,-0.076295,-0.001235,-0.037436,0.07472,0.001173,-0.03616,-0.10127,-0.31737,0.001509,0.10709,-0.32907,0.007835,-0.1041,-0.64191,0.043334,0.11997,-0.6407,0.041915
7,0.003202,0.76999,-0.015019,-0.17606,0.49789,-0.019321,-0.2233,0.24926,-0.032149,0.14115,0.49741,-0.034248,0.23403,0.26299,-0.034392,-0.22475,0.065232,-0.10728,0.20946,0.39515,-0.23227,-0.076243,-0.001238,-0.037447,0.074804,0.001182,-0.036185,-0.10113,-0.31761,0.001653,0.10713,-0.329,0.007818,-0.10415,-0.64226,0.043292,0.12011,-0.64055,0.041868
8,0.003335,0.77,-0.015152,-0.176,0.49791,-0.01963,-0.22325,0.24926,-0.032233,0.14133,0.4974,-0.034373,0.23409,0.26292,-0.03407,-0.22468,0.065254,-0.10728,0.20957,0.39515,-0.23236,-0.076206,-0.001288,-0.037524,0.074871,0.001112,-0.036211,-0.10111,-0.31755,0.001633,0.10718,-0.32895,0.007744,-0.10413,-0.64213,0.043343,0.12013,-0.6405,0.041866
9,0.003469,0.77002,-0.015304,-0.17594,0.49791,-0.019946,-0.22321,0.24926,-0.032301,0.14153,0.49739,-0.034449,0.23409,0.26292,-0.03407,-0.22463,0.065282,-0.1073,0.20971,0.3951,-0.23262,-0.076169,-0.001341,-0.037604,0.074931,0.001053,-0.036236,-0.10109,-0.31751,0.001609,0.10722,-0.32889,0.007675,-0.10411,-0.642,0.04339,0.12012,-0.64044,0.041865
10,0.003593,0.77003,-0.015448,-0.17589,0.49793,-0.020293,-0.22318,0.24926,-0.032377,0.14172,0.49738,-0.034527,0.23409,0.26289,-0.034202,-0.22459,0.065294,-0.10731,0.20982,0.39507,-0.23286,-0.076128,-0.001389,-0.037687,0.074995,0.001008,-0.036262,-0.10107,-0.31746,0.001589,0.10724,-0.32884,0.007609,-0.10409,-0.64189,0.043418,0.12012,-0.64044,0.041865
