FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z
0,1.0010865,0.7479095,0.0295455,0.8433535,0.4574895,0.0506775,0.8101835,0.2209795,0.0523165,1.1536835,0.4561395,0.0580245,1.1762035,0.2148295,0.0437105,0.7983235000000001,0.0164145,-0.0174145,1.1949335,-0.0429095,-0.0454385,0.9270585000000001,0.0003974999999999,-0.0014715,1.0729415,-0.0003974999999999,0.0014715,0.8768735,-0.3547105,0.0104224999999999,1.1266135,-0.3380205,-0.0147325,0.8642735,-0.6599805,0.0273645,1.1399835,-0.6743005,0.0184865
1,1.000781,0.7478225,0.0296615,0.84333,0.4572425,0.0514205,0.81058,0.2196325,0.0534474999999999,1.1537899999999999,0.4556725,0.0578685,1.17635,0.2147425,0.0437785,0.79816,0.0154885,-0.0155185,1.17019,0.0226975,-0.0247775,0.9270730000000001,0.0003144999999999,-0.0012964999999999,1.072927,-0.0003145,0.0012964999999999,0.87719,-0.3538775,0.0103054999999999,1.12681,-0.3395675,-0.0146605,0.86422,-0.6595875000000001,0.0264795,1.1401899999999998,-0.6744175,0.0185154999999999
2,1.0005169999999999,0.7476959999999999,0.0298049999999999,0.8431109999999999,0.457226,0.051994,0.810581,0.219966,0.054,1.153821,0.455766,0.057932,1.176551,0.214136,0.043741,0.798411,0.014235,-0.015557,1.170581,0.022398,-0.0258149999999999,0.927113,0.0002249999999999,-0.0011289999999999,1.072887,-0.0002249999999999,0.0011289999999999,0.8772610000000001,-0.3539339999999999,0.010513,1.126731,-0.338694,-0.0149159999999999,0.864391,-0.659614,0.0265159999999999,1.140321,-0.674614,0.018579
3,1.0003119999999999,0.7478779999999999,0.030179,0.843062,0.457308,0.052626,0.810542,0.220728,0.054336,1.153822,0.455458,0.057879,1.176792,0.214138,0.043558,0.7985320000000001,0.014137,-0.0153849999999999,1.1788319999999999,-0.019809,-0.041242,0.927054,0.000208,-0.0009909999999999,1.072946,-0.0002079999999999,0.000991,0.8774120000000001,-0.354002,0.010773,1.126752,-0.338192,-0.0150099999999999,0.864492,-0.6610820000000001,0.029518,1.140542,-0.674682,0.018446
4,0.999995,0.7477905,0.0304969999999999,0.842971,0.4572705,0.0528919999999999,0.8106010000000001,0.2207105,0.054339,1.153871,0.4554805,0.0579379999999999,1.176941,0.2140105,0.0432999999999999,0.798591,0.0137565,-0.015225,1.178961,-0.0200755,-0.04123,0.927084,0.0001654999999999,-0.000946,1.072916,-0.0001655,0.0009459999999999,0.877461,-0.3536795,0.0105309999999999,1.126781,-0.3375895,-0.015003,0.864951,-0.6613395,0.0295779999999999,1.140371,-0.6739995,0.0185009999999999
5,1.0006025,0.7477925000000001,0.0288785,0.8435085,0.4573625,0.0523805,0.8115384999999999,0.2202625,0.0532585,1.1544085,0.4554924999999999,0.0568465,1.1772485,0.2138925,0.0426355,0.7987485,0.0135455,-0.0157154999999999,1.1792285,-0.0183624999999999,-0.0415025,0.9270905,0.0002385,-0.0008294999999999,1.0729095,-0.0002384999999999,0.0008295,0.8772385,-0.3530475,0.0111725,1.1263285,-0.3369475,-0.0143755,0.8646185,-0.6610775,0.0313985,1.1398385,-0.6741975,0.0202215
6,1.000235,0.7478395,0.0293329999999999,0.843495,0.4573295,0.052623,0.811315,0.2210895,0.052694,1.153195,0.4540695,0.055459,1.1771049999999998,0.2131795,0.041692,0.799395,0.0131165,-0.017446,1.184405,-0.0340745,-0.0536419999999999,0.92709,0.0002404999999999,-0.0008039999999999,1.07291,-0.0002405,0.0008039999999999,0.877225,-0.3531105,0.011281,1.126195,-0.3363305,-0.014508,0.864815,-0.6614005000000001,0.03153,1.1398849999999998,-0.6741305000000001,0.020267
7,0.9993470000000001,0.746875,0.0318585,0.8440190000000001,0.457415,0.0530695,0.7925690000000001,0.245255,0.0226015,1.1534289999999998,0.453685,0.0550925,1.196249,0.235305,0.0115455,0.767709,0.0667899999999999,-0.0831785,1.218249,0.05141,-0.1063285,0.927021,0.0001899999999999,-0.0007304999999999,1.072979,-0.00019,0.0007305,0.878059,-0.352525,0.0116695,1.127289,-0.334825,-0.0144175,0.864099,-0.6581750000000001,0.0290185,1.139989,-0.677965,0.0188375
8,0.9990115,0.7467915,0.0327105,0.8442685,0.4575815,0.0529625,0.7846785000000001,0.2562515,0.0094285,1.1532485000000001,0.4535715,0.0543335,1.2047685,0.2459815,-0.0026274999999999,0.7537885000000001,0.0905575,-0.1080844999999999,1.2312185,0.0786145,-0.1305644999999999,0.9269705,0.0002125,-0.0005704999999999,1.0730295,-0.0002125,0.0005705,0.8782485000000001,-0.3521785,0.0119905,1.1274485,-0.3340285,-0.0143304999999999,0.8639085,-0.6576885,0.0290215,1.1399585,-0.6781485,0.0187715
9,0.998705,0.7466815,0.033724,0.844361,0.4580415,0.052686,0.775331,0.2699215,-0.004982,1.153201,0.4536715,0.053368,1.2146810000000001,0.2605615,-0.017443,0.738831,0.1211614999999999,-0.136047,1.248211,0.1083114999999999,-0.156937,0.9268959999999999,0.0002535,-0.0004089999999999,1.073104,-0.0002534999999999,0.0004089999999999,0.878461,-0.3518585,0.0122199999999999,1.127661,-0.3332685,-0.014256,0.863681,-0.6571284999999999,0.0289819999999999,1.139961,-0.6783585,0.0186159999999999
10,0.9984425000000001,0.7466245,0.0348155,0.8444945,0.4584844999999999,0.0521574999999999,0.7641645,0.2901045,-0.0221735,1.1532845,0.4546145,0.0522575,1.2269645,0.2815445,-0.0340595,0.7215245,0.1678245,-0.1714794999999999,1.2678045,0.1516545,-0.1861094999999999,0.9267875,0.0002734999999999,-0.0002694999999999,1.0732125,-0.0002735,0.0002694999999999,0.8786645000000001,-0.3517055,0.0122375,1.1278845,-0.3326055,-0.0142675,0.8633545,-0.6563255,0.0287315,1.1400744999999999,-0.6782254999999999,0.0182135
11,0.998304,0.7458739999999999,0.035765,0.844758,0.459694,0.051349,0.7514580000000001,0.318134,-0.03949,1.153558,0.455754,0.0506729999999999,1.241948,0.310004,-0.050882,0.703598,0.228604,-0.204881,1.290408,0.214224,-0.216021,0.926679,0.0003199999999999,-0.000146,1.073321,-0.0003199999999999,0.000146,0.8789780000000001,-0.351906,0.012166,1.128218,-0.332356,-0.014327,0.863068,-0.6561060000000001,0.028185,1.1402079999999999,-0.6793760000000001,0.017808
