FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z
0,0.013686500000000004,0.7530505000000001,0.0860205,-0.1426755,0.4683405,0.0481405,-0.2415155,0.41908049999999997,-0.14597249999999998,0.1480245,0.4611805,0.0490915,0.26068450000000004,0.3932905,-0.1317325,-0.27706549999999996,0.44877049999999996,-0.37114250000000004,0.28300450000000005,0.4119405,-0.35687250000000004,-0.0748425,0.0022745000000000005,0.0007074999999999998,0.0748425,-0.0022745,-0.0007074999999999998,-0.1298255,-0.3593695,-0.017881499999999995,0.1118045,-0.40373950000000003,0.006480500000000004,-0.13507550000000001,-0.7282595,-0.017952499999999996,0.1228245,-0.7492495,-0.0268915
1,0.0093295,0.751914,0.0844295,-0.1445375,0.46783399999999997,0.0472005,-0.2459175,0.445874,-0.1503005,0.1432725,0.464044,0.0478245,0.26263250000000005,0.41654399999999997,-0.13496049999999998,-0.28222749999999996,0.477694,-0.3756505,0.28494250000000004,0.463594,-0.3714805,-0.0749695,0.0019230000000000002,0.0014365000000000003,0.0749695,-0.0019230000000000002,-0.0014365000000000003,-0.1278475,-0.36077600000000004,-0.0173455,0.1138825,-0.40112600000000004,0.006999500000000002,-0.1316775,-0.7213660000000001,-0.011347499999999996,0.12727249999999998,-0.750096,-0.025951499999999995
2,0.008981000000000005,0.7505040000000001,0.08453,-0.14434599999999997,0.46734400000000004,0.046623,-0.24837599999999999,0.468374,-0.150279,0.140704,0.46650400000000003,0.04777,0.265494,0.434524,-0.134469,-0.281916,0.529674,-0.378079,0.28322400000000003,0.494114,-0.375249,-0.075029,0.0017889999999999998,0.0013799999999999993,0.075029,-0.0017890000000000002,-0.0013799999999999993,-0.128136,-0.36147599999999996,-0.017881,0.113694,-0.40215599999999996,0.006340000000000002,-0.132156,-0.724596,-0.014495000000000001,0.127214,-0.7513259999999999,-0.026075
3,0.0086555,0.7490525,0.084984,-0.1439955,0.4663225,0.0458,-0.2525355,0.4908225,-0.14638800000000002,0.1403745,0.4671325,0.047616,0.2620045,0.4679125,-0.139198,-0.2818355,0.5634125,-0.379798,0.28484449999999994,0.5419625,-0.376278,-0.0750935,0.0019255000000000001,0.0018059999999999986,0.0750935,-0.0019254999999999993,-0.001806000000000002,-0.1284655,-0.36261750000000004,-0.018652000000000002,0.1135545,-0.4040075,0.005469999999999999,-0.1320755,-0.7288374999999999,-0.016662000000000003,0.1271645,-0.7527275,-0.02633
4,0.008706499999999997,0.7476385,0.0852475,-0.1431765,0.46765850000000003,0.0457045,-0.2467865,0.5195285000000001,-0.1430515,0.1406135,0.4672985,0.0476575,0.2594335,0.4867785,-0.13965149999999998,-0.2852765,0.6133085,-0.3845315,0.2847735,0.5717785,-0.3780315,-0.0752075,0.002054499999999999,0.0016795000000000004,0.0752075,-0.0020545000000000008,-0.0016795000000000004,-0.1285965,-0.3634215,-0.0187045,0.1137335,-0.4053615,0.005138500000000001,-0.1316665,-0.7305315,-0.0167065,0.1273535,-0.7541614999999999,-0.026693500000000002
5,0.008680000000000002,0.7460005000000001,0.0860245,-0.141645,0.4702505,0.045460499999999994,-0.247715,0.5317405000000001,-0.1384505,0.141375,0.4673005,0.048284499999999994,0.255815,0.5099605,-0.1432305,-0.284095,0.6413905,-0.3822705,0.28530500000000003,0.6153705,-0.3776005,-0.07524600000000001,0.0024825000000000003,0.000951499999999994,0.07524600000000001,-0.0024825000000000003,-0.000951500000000001,-0.128715,-0.3676595,-0.017704500000000005,0.113755,-0.40739949999999997,0.005263499999999997,-0.13217500000000001,-0.7271695,-0.015037500000000002,0.127585,-0.7559595,-0.0264435
6,0.008643000000000003,0.7425185000000001,0.0855625,-0.141309,0.4738985,0.045247499999999996,-0.248139,0.5804385000000001,-0.1433845,0.141521,0.4669485,0.0488535,0.255731,0.5590185,-0.12686450000000002,-0.285269,0.7339785,-0.38705449999999997,0.278041,0.6948185,-0.3543945,-0.07516500000000001,0.002517499999999999,0.0003065000000000012,0.07516500000000001,-0.002517499999999999,-0.0003065000000000012,-0.128769,-0.3706615,-0.0180925,0.113821,-0.4106915,0.004761500000000002,-0.131969,-0.7280814999999999,-0.0132145,0.127731,-0.7594715,-0.026315500000000002
7,0.0095805,0.7391030000000001,0.0849405,-0.14051950000000002,0.475943,0.046892500000000004,-0.2374395,0.586803,-0.12272749999999999,0.14284049999999998,0.469683,0.0501155,0.25214050000000005,0.579483,-0.1226575,-0.2734695,0.739383,-0.3307975,0.2768205,0.711623,-0.3288075,-0.07499549999999999,0.0027240000000000007,0.0002354999999999996,0.07499549999999999,-0.0027240000000000007,-0.0002354999999999996,-0.12774950000000002,-0.374687,-0.0183255,0.1147705,-0.414167,0.004923500000000001,-0.13204950000000001,-0.738427,-0.015339499999999999,0.12813049999999998,-0.764187,-0.0262955
8,0.009731499999999999,0.73658,0.084865,-0.1399455,0.47837999999999997,0.047363,-0.2346855,0.60626,-0.114704,0.14300449999999998,0.47042,0.050626000000000004,0.2496045,0.6031799999999999,-0.11818400000000001,-0.2712055,0.77372,-0.313844,0.27538450000000003,0.7493799999999999,-0.314654,-0.0750065,0.0028859999999999997,6.300000000000056e-05,0.0750065,-0.0028859999999999997,-6.300000000000056e-05,-0.12753550000000002,-0.37773,-0.018398,0.1149845,-0.41675,0.004767,-0.1318355,-0.74154,-0.015496,0.1283245,-0.7673,-0.026191999999999997
9,0.009994500000000002,0.734112,0.08476,-0.13920749999999998,0.480592,0.048188,-0.2312275,0.623292,-0.106154,0.1432525,0.47105199999999997,0.051366999999999996,0.2465025,0.624762,-0.11002399999999998,-0.2680875,0.806132,-0.295014,0.2731025,0.785972,-0.295944,-0.07501150000000001,0.0030549999999999987,-6.199999999999956e-05,0.07501150000000001,-0.0030549999999999987,6.199999999999956e-05,-0.1273975,-0.380798,-0.018462,0.1150525,-0.419088,0.004647999999999999,-0.1320775,-0.746248,-0.016214,0.12822250000000002,-0.770878,-0.026067
