FrameNo,nose_x,nose_y,nose_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z
0,-0.033313499999999996,0.7138095,0.0639835,-0.1785485,0.5273395,0.044541500000000005,-0.24729849999999998,0.7329895,-0.0387545,0.1198915,0.5622395,0.0253465,0.16080149999999999,0.8255195,-0.0799595,-0.2364485,1.0004895,-0.1324395,0.15739150000000002,1.0446295,-0.1410595,-0.0774455,-0.0039345000000000005,-0.0014474999999999974,0.0774455,0.0039345000000000005,0.0014475000000000043,-0.12712849999999998,-0.4447205,-0.001740499999999999,0.1282415,-0.4457505,0.012057500000000002,-0.15770849999999997,-0.9637805,0.0380585,0.18461149999999998,-0.9588004999999999,0.0358025
1,-0.03325999999999999,0.7132685,0.064511,-0.178555,0.5225185,0.044336,-0.247425,0.7319384999999999,-0.03678699999999999,0.11990500000000001,0.5624285,0.026397999999999998,0.160475,0.8259785,-0.07827,-0.237225,0.9991385,-0.13158,0.157395,1.0446085,-0.14004999999999998,-0.077452,-0.0041855,-0.0011380000000000001,0.077452,0.0041855,0.0011380000000000001,-0.127435,-0.4458315,-0.0011699999999999974,0.128125,-0.4454715,0.012145,-0.158415,-0.9635815,0.03943,0.186365,-0.9599215,0.035139000000000004
2,-0.0334155,0.713136,0.0645565,-0.17890650000000002,0.523536,0.045451500000000006,-0.24778650000000002,0.732316,-0.036669499999999994,0.1197535,0.562706,0.0267535,0.16050350000000002,0.826366,-0.0774595,-0.23775649999999998,0.999486,-0.1315295,0.1574335,1.045906,-0.1390895,-0.0775245,-0.004237,-0.0011124999999999954,0.0775245,0.004237,0.0011125000000000024,-0.1276565,-0.447074,-0.0010514999999999969,0.1278535,-0.445424,0.0124615,-0.1584665,-0.963744,0.039747500000000005,0.1824735,-0.959384,0.0352565
3,-0.033381499999999995,0.71357,0.064636,-0.1790025,0.5233300000000001,0.045270000000000005,-0.2478725,0.73321,-0.03661199999999999,0.1192875,0.55915,0.027183000000000006,0.1600175,0.82326,-0.075723,-0.23820249999999998,1.00028,-0.131863,0.1574475,1.04637,-0.13871299999999998,-0.0775385,-0.004187,-0.0011719999999999994,0.0775385,0.004187,0.0011720000000000064,-0.1257925,-0.45613,-0.0013679999999999942,0.1282275,-0.44545999999999997,0.012259000000000003,-0.15830249999999998,-0.96283,0.03963800000000001,0.1774675,-0.95694,0.036716000000000006
4,-0.0333695,0.7136465,0.064634,-0.17900149999999998,0.5229364999999999,0.045,-0.2480815,0.7336665,-0.036764000000000005,0.1192185,0.5596264999999999,0.027200000000000002,0.1600185,0.8238865,-0.075182,-0.2383915,1.0006865,-0.132152,0.1574385,1.0458965,-0.13852199999999998,-0.07756450000000001,-0.0042625,-0.0011820000000000025,0.07756450000000001,0.0042625,0.0011820000000000025,-0.12838149999999998,-0.4559735,-0.0017100000000000032,0.12819850000000002,-0.4454035,0.012178999999999999,-0.15794149999999998,-0.9627035,0.039522,0.17609850000000002,-0.9573435,0.034752
5,-0.033390500000000004,0.712876,0.06454750000000001,-0.1786495,0.522736,0.045110500000000005,-0.24796949999999998,0.731906,-0.036198499999999995,0.11911050000000001,0.559186,0.0274415,0.1599905,0.823366,-0.0751545,-0.2384895,0.998806,-0.1320445,0.1575105,1.046016,-0.1377245,-0.0774735,-0.003997,-0.000724499999999996,0.0774735,0.003997,0.0007245000000000029,-0.12854949999999998,-0.455724,-0.001515499999999996,0.12822050000000002,-0.445644,0.011876500000000002,-0.1576395,-0.964094,0.039711500000000004,0.1760005,-0.958134,0.034473500000000004
6,-0.033537500000000005,0.7131095000000001,0.0646465,-0.17894949999999998,0.5206895,0.044230500000000006,-0.24814950000000002,0.7326495000000001,-0.03644349999999999,0.1188505,0.5579295000000001,0.027587500000000004,0.16116049999999998,0.8223495000000001,-0.0735275,-0.23854950000000003,0.9994095000000001,-0.13270749999999998,0.1574505,1.0451195,-0.1367175,-0.0774285,-0.0040985,-0.0004824999999999968,0.0774285,0.0040985,0.00048250000000000376,-0.1286795,-0.45579050000000004,-0.0012464999999999976,0.1292605,-0.44536050000000005,0.011979500000000004,-0.1579795,-0.9637304999999999,0.0385435,0.1789905,-0.9688105,0.0491315
7,-0.0335325,0.7133525,0.064542,-0.1788745,0.5209725,0.043931,-0.2477645,0.7353525,-0.038036,0.1193355,0.5584825,0.027725999999999997,0.16201549999999998,0.8077825,-0.067575,-0.2376545,1.0010125,-0.133635,0.15805550000000002,1.0458225,-0.136575,-0.0773925,-0.0038155,-0.0004180000000000017,0.0773925,0.0038155,0.00041799999999999476,-0.12905450000000002,-0.4547875,-0.002044000000000004,0.1283455,-0.4458675,0.011222999999999997,-0.1594445,-0.9651175000000001,0.034463999999999995,0.1767455,-0.9635375,0.033520999999999995
8,-0.0336995,0.713357,0.0644395,-0.1789465,0.520447,0.043595499999999995,-0.24780649999999999,0.736287,-0.0383385,0.11917349999999999,0.558147,0.027825499999999996,0.1622435,0.802637,-0.0654395,-0.2376665,1.001617,-0.13414949999999998,0.1581035,1.046137,-0.13614949999999998,-0.07737150000000001,-0.003759,-0.0002945000000000031,0.07737150000000001,0.003759,0.00029449999999999615,-0.12935649999999999,-0.454673,-0.002295500000000006,0.1282935,-0.445913,0.010985499999999995,-0.15985649999999998,-0.965243,0.033265499999999996,0.1757235,-0.964063,0.032736499999999995
9,-0.0339165,0.7134585,0.06425850000000001,-0.1790985,0.5203085000000001,0.0431585,-0.2478485,0.7372385,-0.038737499999999994,0.11897150000000001,0.5579885,0.027869500000000005,0.1624515,0.7986185,-0.06351549999999999,-0.2376285,1.0023484999999999,-0.13473049999999998,0.15811150000000002,1.0464485,-0.13583050000000002,-0.07738049999999999,-0.0036965,-0.0002464999999999967,0.07738049999999999,0.0036965,0.00024650000000000366,-0.1296185,-0.4545615,-0.0025694999999999954,0.1281915,-0.4459715,0.010713500000000008,-0.1603185,-0.9654915,0.03198750000000001,0.1750915,-0.9636815,0.03227050000000001
