FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z
0,1.00779,0.762771,0.0376385,0.853695,0.482601,0.0142895,0.729615,0.3857009999999999,-0.1046225,1.183905,0.486851,0.0075145,1.334705,0.492191,-0.1017925,0.804655,0.545431,-0.2083424999999999,1.234835,0.644631,-0.1055325,0.925654,-0.000143,0.0006505,1.074346,0.000143,-0.0006504999999999,0.923667,-0.394569,0.0475735,1.074245,-0.373719,0.0412955,0.928762,-0.694959,0.0615595,1.085181,-0.686969,0.0570315
1,1.0101704999999999,0.7630929999999999,0.041317,0.8530785000000001,0.482513,0.014616,0.7270285000000001,0.390223,-0.105004,1.1839884999999999,0.486683,0.0067139999999999,1.3337284999999999,0.502593,-0.1027339999999999,0.8012785,0.550333,-0.206104,1.2161385,0.675053,-0.082814,0.9256685,-0.0002049999999999,0.0012059999999999,1.0743315,0.000205,-0.0012059999999999,0.9228495,-0.395217,0.047669,1.0740635,-0.3731669999999999,0.04118,0.9279025,-0.6957070000000001,0.0618419999999999,1.0846545,-0.687867,0.057512
2,1.0119995,0.762832,0.0441665,0.8519895,0.482372,0.0151045,0.7232995,0.392792,-0.1046454999999999,1.1833295,0.486622,0.0066625,1.3317795000000001,0.512162,-0.1023555,0.7978795,0.554582,-0.2028654999999999,1.2146695,0.677052,-0.0777255,0.9258725,-0.000231,0.0013375,1.0741275,0.0002309999999999,-0.0013374999999999,0.9214915,-0.396018,0.0480105,1.0728365,-0.3799079999999999,0.0423595,0.9265715,-0.696358,0.0622935,1.0835555000000001,-0.689008,0.0579625
3,1.0145185,0.7624585,0.047031,0.8511355,0.4824185,0.015704,0.7205155000000001,0.3947184999999999,-0.104807,1.1827455,0.4864885,0.006835,1.3298955000000001,0.5195285,-0.1016369999999999,0.7952155,0.5595785,-0.199117,1.2090555,0.6854285,-0.069697,0.9260155,-0.0002625,0.001696,1.0739845,0.0002624999999999,-0.0016959999999999,0.9203685,-0.3965415,0.048246,1.0719835,-0.3774115,0.041938,0.9256675,-0.6967615,0.062519,1.0822495,-0.6900215,0.058435
4,1.016085,0.7623485,0.0490125,0.849934,0.4822285,0.0160285,0.716764,0.3975185,-0.1048065,1.181894,0.4863285,0.0068105,1.328794,0.5250485,-0.0996565,0.792454,0.5652185000000001,-0.1936065,1.2063139999999999,0.6890385,-0.0645665,0.926199,-0.0002374999999999,0.0019964999999999,1.073801,0.0002375,-0.0019964999999999,0.919399,-0.3973015,0.0484195,1.0710339999999998,-0.3768515,0.0419225,0.924635,-0.6971014999999999,0.0628365,1.08118,-0.6903815,0.0585695
5,1.0167735,0.7630085,0.0504714999999999,0.8432745,0.4753285,0.0148324999999999,0.7113745,0.4011384999999999,-0.1033675,1.1809345,0.4866385,0.0066834999999999,1.3276645,0.5303785000000001,-0.0975575,0.7872545,0.5746885,-0.1812475,1.2045345,0.6915885,-0.0597865,0.9263875,-0.0002915,0.0021855,1.0736125,0.0002915,-0.0021855,0.9185245,-0.3975615,0.0483035,1.0702875,-0.3755615,0.0418635,0.9235675,-0.6970115,0.0629084999999999,1.0800475,-0.6903115,0.0585544999999999
6,1.0170595,0.7636,0.051457,0.8399004999999999,0.47281,0.013981,0.7033205,0.40465,-0.0986809999999999,1.1801805,0.48718,0.006589,1.3272205,0.53558,-0.094481,0.7778705000000001,0.58182,-0.163361,1.2031204999999998,0.69378,-0.0551629999999999,0.9267025,-0.000366,0.001919,1.0732975,0.000366,-0.0019189999999999,0.9176175,-0.39816,0.048244,1.0694655,-0.37525,0.041716,0.9222905,-0.6971400000000001,0.062676,1.0788755,-0.69003,0.05846
7,1.015653,0.7620485,0.050739,0.838789,0.4798785,0.015497,0.689759,0.4256784999999999,-0.077552,1.181639,0.4881784999999999,0.008263,1.331039,0.5432985,-0.081162,0.788049,0.6057785,-0.121332,1.207819,0.6957185,-0.0458569999999999,0.926638,-0.0004835,0.00192,1.073362,0.0004835,-0.0019199999999999,0.917603,-0.3998515,0.048329,1.069244,-0.3751315,0.041737,0.9217720000000001,-0.6985115000000001,0.062644,1.07849,-0.6910215000000001,0.058482
8,1.0156565,0.76122,0.051315,0.8362385,0.48023,0.015742,0.6819284999999999,0.4365799999999999,-0.068212,1.1818184999999999,0.48871,0.008598,1.3319684999999999,0.54865,-0.073712,0.7867485000000001,0.6192799999999999,-0.100422,1.2071085,0.69733,-0.03964,0.9267055,-0.0005899999999999,0.001993,1.0732945,0.00059,-0.001993,0.9172205,-0.40119,0.048363,1.0689015,-0.37505,0.041572,0.9211705,-0.69964,0.062642,1.0779185,-0.69206,0.058567
9,1.015586,0.760289,0.0516545,0.833898,0.480409,0.0159985,0.676238,0.447479,-0.0578645,1.182208,0.489319,0.0090564999999999,1.3333979999999999,0.553739,-0.0649035,0.7859579999999999,0.632149,-0.0789935,1.207708,0.698519,-0.0331405,0.926752,-0.0007299999999999,0.0020205,1.073248,0.00073,-0.0020205,0.917082,-0.402611,0.0483425,1.068818,-0.374811,0.0412364999999999,0.920809,-0.700901,0.0625945,1.077558,-0.6933010000000001,0.0586045
10,1.0155189999999998,0.7591005,0.0518845,0.832333,0.4807404999999999,0.0163024999999999,0.670543,0.4582604999999999,-0.0464395,1.182783,0.4899604999999999,0.0097044999999999,1.3353329999999999,0.5586205,-0.0553555,0.785543,0.6440405,-0.0580355,1.210073,0.7002305,-0.0264915,0.9267650000000001,-0.0008674999999999,0.0020324999999999,1.073235,0.0008675,-0.0020325,0.917102,-0.4041095,0.0482854999999999,1.0688989999999998,-0.3746395,0.0408775,0.9206300000000001,-0.7024795,0.0625204999999999,1.077359,-0.6948195,0.0586405
11,1.0155625,0.757662,0.0520035,0.8312235,0.481092,0.0166245,0.6657635,0.470892,-0.0345375,1.1834335,0.490592,0.0104625,1.3377735,0.563202,-0.0452275,0.7851135,0.6551619999999999,-0.0384375,1.2129535,0.701722,-0.0201545,0.9267645,-0.001015,0.0020555,1.0732355,0.001015,-0.0020555,0.9172555,-0.405838,0.0482115,1.0691674999999998,-0.374548,0.0404475,0.9205985,-0.7042780000000001,0.0624645,1.0773264999999999,-0.6965180000000001,0.0586535
12,1.0155975,0.756181,0.0522744999999999,0.8303155,0.481631,0.0170684999999999,0.6605555000000001,0.484701,-0.0209045,1.1839455,0.491211,0.0113244999999999,1.3402755,0.5674509999999999,-0.0348275,0.7860655,0.665761,-0.0208775,1.2161055,0.7032309999999999,-0.0141045,0.9267635,-0.001156,0.0021204999999999,1.0732365,0.001156,-0.0021205,0.9173965,-0.407819,0.0480694999999999,1.0694265,-0.374639,0.0399634999999999,0.9205625,-0.706339,0.0623455,1.0773155,-0.6984589999999999,0.0585855
