FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z
0,0.019133000000000004,0.739166,0.023126,-0.15117999999999998,0.501476,-0.031751,-0.34748999999999997,0.5995360000000001,-0.09573000000000001,0.20764,0.493686,0.061792,0.35799000000000003,0.506586,0.124333,-0.19012,0.712646,-0.046993999999999994,0.21381,0.642866,0.049821000000000004,-0.069995,0.001887,-0.0050019999999999995,0.069995,-0.001887,0.005002000000000003,-0.10629,-0.33389399999999997,0.126255,0.11577,-0.337304,-0.11099999999999999,-0.13974999999999999,-0.6605139999999999,0.29849,0.14942,-0.651404,-0.23359999999999997
1,0.020871,0.7398939999999999,0.023028500000000007,-0.150703,0.5008539999999999,-0.0330555,-0.34741299999999997,0.599884,-0.09768149999999999,0.210257,0.492624,0.0654715,0.361297,0.5077039999999999,0.1261645,-0.190053,0.7136039999999999,-0.04833649999999999,0.214237,0.6437339999999999,0.05126850000000001,-0.06924,0.002002,-0.005422499999999997,0.06924,-0.002002,0.005422500000000004,-0.106833,-0.333326,0.1247075,0.115397,-0.337056,-0.1116815,-0.140433,-0.660046,0.2972685,0.149277,-0.652626,-0.23611150000000003
2,0.022125,0.73985,0.023555,-0.149897,0.50008,-0.03399,-0.346967,0.60024,-0.099021,0.212623,0.49288,0.067899,0.363733,0.50805,0.128396,-0.189757,0.7140500000000001,-0.04938699999999999,0.213923,0.6439400000000001,0.051663,-0.068835,0.002163,-0.0057929999999999995,0.068835,-0.002163,0.005793000000000003,-0.106887,-0.33274000000000004,0.12362100000000001,0.115023,-0.33757000000000004,-0.11192099999999999,-0.140927,-0.65952,0.296279,0.149293,-0.6534899999999999,-0.23766099999999998
3,0.0225205,0.7398745,0.023274499999999997,-0.1494725,0.5000145,-0.03453350000000001,-0.34650250000000005,0.6004845,-0.09981949999999999,0.2143075,0.49329449999999997,0.0689185,0.3652875,0.5076045,0.1298435,-0.18944249999999999,0.7140645,-0.05050350000000001,0.2141075,0.6444044999999999,0.0530205,-0.0686225,0.0023685,-0.006099500000000001,0.0686225,-0.0023685,0.006099499999999997,-0.1067925,-0.33271550000000005,0.12261949999999999,0.11512750000000001,-0.3382955,-0.11168950000000001,-0.1410625,-0.6595755,0.2959605,0.1500675,-0.6581355,-0.24043949999999997
4,0.022652,0.739425,0.022786499999999994,-0.149559,0.499975,-0.0348605,-0.34618899999999997,0.600495,-0.1003815,0.215561,0.49388499999999996,0.0705375,0.366581,0.507415,0.13154949999999999,-0.19019899999999998,0.713125,-0.0512175,0.217761,0.643265,0.05426449999999999,-0.06830900000000001,0.002454,-0.006267500000000002,0.06830900000000001,-0.002454,0.006267499999999995,-0.10685900000000001,-0.33243500000000004,0.1219635,0.11464099999999999,-0.33782500000000004,-0.11175149999999999,-0.141419,-0.659505,0.29540849999999996,0.14883100000000002,-0.6545150000000001,-0.23767150000000004
5,0.022886499999999997,0.739225,0.022763,-0.1493885,0.499575,-0.03500600000000001,-0.3458485,0.600495,-0.10082500000000001,0.21589150000000001,0.493315,0.07136,0.3667415,0.508005,0.132435,-0.1911085,0.7123250000000001,-0.051924,0.2164415,0.642695,0.054120999999999996,-0.0681045,0.002441,-0.0063560000000000005,0.0681045,-0.002441,0.006355999999999997,-0.1069785,-0.332385,0.121844,0.1143715,-0.337675,-0.11173500000000001,-0.1417385,-0.659565,0.295305,0.14870150000000001,-0.654515,-0.238595
6,0.023548999999999997,0.739082,0.022196,-0.149402,0.49942200000000003,-0.035252,-0.345482,0.600642,-0.101526,0.215928,0.49276200000000003,0.071717,0.366358,0.508872,0.133254,-0.191332,0.712292,-0.052352,0.224938,0.640242,0.05842,-0.067991,0.0024540000000000005,-0.006422999999999998,0.067991,-0.002454,0.006423000000000002,-0.10702199999999999,-0.332528,0.12160499999999999,0.114328,-0.33694799999999997,-0.11169600000000002,-0.141802,-0.659498,0.295184,0.148138,-0.653408,-0.23805600000000002
7,0.021333000000000005,0.7397594999999999,0.022260000000000002,-0.15042799999999998,0.5008695,-0.03554,-0.345278,0.5991795,-0.102471,0.214042,0.4948795,0.069096,0.363592,0.5088395,0.132619,-0.190408,0.7119694999999999,-0.051754999999999995,0.214672,0.6427195,0.055553000000000005,-0.06802,0.0022825,-0.006447999999999995,0.06802,-0.0022825,0.006448000000000002,-0.10694799999999999,-0.3327205,0.121756,0.114392,-0.3375105,-0.111561,-0.141428,-0.6593805,0.295209,0.147762,-0.6518305000000001,-0.236491
8,0.021192,0.7397594999999999,0.0222005,-0.15054,0.5008695,-0.0356705,-0.34503,0.5987994999999999,-0.1031435,0.21391000000000002,0.4950395,0.0690305,0.36351,0.5091494999999999,0.1327465,-0.19054,0.7116294999999999,-0.0520425,0.21426,0.6426394999999999,0.0558695,-0.06791900000000001,0.0022825,-0.006505499999999997,0.06791900000000001,-0.0022825,0.006505500000000001,-0.10696,-0.3327905,0.12160850000000001,0.11430000000000001,-0.3375105,-0.1115535,-0.14143,-0.6593805,0.29512649999999996,0.14784,-0.6519705,-0.2365035
9,0.021102499999999996,0.7397725,0.0222025,-0.1506715,0.5009725,-0.0358625,-0.3448115,0.5983725000000001,-0.1037855,0.2138385,0.4953825,0.0690215,0.3634285,0.5094725,0.1327945,-0.1904015,0.7115625000000001,-0.0521425,0.2137385,0.6426425,0.0560135,-0.0678395,0.0022795000000000003,-0.006536500000000001,0.0678395,-0.0022795000000000003,0.006536500000000001,-0.1069315,-0.33285750000000003,0.12156349999999999,0.1142485,-0.3375075,-0.11153549999999998,-0.1413815,-0.6593574999999999,0.29507449999999996,0.1479085,-0.6519575,-0.2363355
10,0.020773000000000003,0.7398525,0.022075499999999998,-0.150813,0.5012425,-0.03609950000000001,-0.344603,0.5979525,-0.10447750000000001,0.213767,0.4957425,0.06899949999999999,0.363157,0.5098625,0.13290249999999998,-0.190243,0.7115625000000001,-0.0522455,0.21324700000000002,0.6426425,0.056139499999999995,-0.06778100000000001,0.0022795000000000003,-0.006555499999999999,0.06778100000000001,-0.0022795000000000003,0.006555499999999999,-0.106883,-0.33291750000000003,0.1215035,0.114237,-0.3375575,-0.11152749999999999,-0.14130299999999998,-0.6593275,0.2950025,0.147897,-0.6518174999999999,-0.2361875
11,0.0203365,0.7400329999999999,0.021958,-0.1508985,0.5015229999999999,-0.036386,-0.3444385,0.597603,-0.10515100000000001,0.21381150000000002,0.495683,0.068895,0.3627315,0.510543,0.13299899999999998,-0.1900485,0.711623,-0.052350999999999995,0.2126815,0.6427029999999999,0.056292999999999996,-0.0677255,0.0022890000000000002,-0.006534999999999999,0.0677255,-0.002289,0.006534999999999999,-0.1068585,-0.332927,0.121456,0.1142315,-0.337497,-0.111531,-0.1412485,-0.6591870000000001,0.29490900000000003,0.1478515,-0.6515470000000001,-0.23613099999999998
