FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0.009962,0.7591,0.015747,-0.15673,0.461,0.028399,-0.18256,0.20732,0.018668,0.16393,0.45877,0.022466,0.19247,0.20598,0.025086,-0.20951,0.00103,-0.066305,0.20719,-0.009171,-0.04246,-0.069151,0.000724,-0.035264,0.073252,-0.006322,-0.036825,-0.12868,-0.37021,-0.051569,0.11371,-0.3781,-0.030049,-0.13515,-0.74477,-0.04577,0.1298,-0.74631,-0.060231
1,0.010491,0.75974,0.017753,-0.15662,0.46125,0.029317,-0.18223,0.20594,0.020562,0.16391,0.4588,0.023364,0.19171,0.20521,0.026614,-0.20997,-0.000356,-0.060228,0.20541,-0.008551,-0.040838,-0.06883,0.000754,-0.035321,0.073522,-0.006157,-0.036192,-0.12773,-0.37026,-0.051172,0.11378,-0.37805,-0.030093,-0.13493,-0.74433,-0.045317,0.13049,-0.74087,-0.056886
2,0.01073,0.7599,0.018405,-0.15668,0.4615,0.029991,-0.18164,0.20587,0.021215,0.16388,0.45878,0.023709,0.19135,0.20488,0.027315,-0.20853,-0.000675,-0.056316,0.20463,-0.008372,-0.040801,-0.068718,0.000822,-0.035178,0.073539,-0.005975,-0.036028,-0.12754,-0.3702,-0.050951,0.11377,-0.3779,-0.030111,-0.13518,-0.74493,-0.045716,0.13004,-0.74171,-0.057271
3,0.010916,0.76001,0.019369,-0.15645,0.46188,0.030573,-0.18095,0.20619,0.021357,0.16394,0.45866,0.024054,0.19104,0.2041,0.027767,-0.20525,-0.014116,-0.057396,0.2024,-0.037841,-0.056183,-0.068575,0.000823,-0.035151,0.073597,-0.005926,-0.035874,-0.12734,-0.37022,-0.051015,0.11376,-0.37788,-0.03014,-0.13517,-0.74509,-0.045595,0.13005,-0.74267,-0.057693
4,0.01114,0.75994,0.019772,-0.15642,0.46199,0.030829,-0.18034,0.20624,0.021669,0.16394,0.45862,0.024311,0.19086,0.20401,0.027652,-0.205,-0.031787,-0.063648,0.2026,-0.027025,-0.053656,-0.068523,0.000832,-0.03513,0.073614,-0.005927,-0.035735,-0.127,-0.37025,-0.050886,0.11368,-0.37791,-0.030162,-0.13511,-0.74538,-0.045998,0.1304,-0.74201,-0.057177
5,0.011731,0.7601,0.021006,-0.15604,0.46212,0.031159,-0.17944,0.20632,0.022157,0.16399,0.45855,0.025043,0.19039,0.20402,0.027668,-0.20093,-0.024675,-0.058261,0.20071,-0.016979,-0.046813,-0.068324,0.000976,-0.035082,0.073668,-0.005947,-0.035354,-0.12672,-0.37012,-0.050753,0.11372,-0.37798,-0.030156,-0.13553,-0.74665,-0.047555,0.13052,-0.74286,-0.057544
6,0.012155,0.76018,0.021964,-0.1557,0.46221,0.031508,-0.17814,0.20631,0.022622,0.16404,0.45848,0.025538,0.18972,0.20353,0.02755,-0.19984,-0.028815,-0.05942,0.20298,-0.039188,-0.053503,-0.068083,0.001092,-0.03468,0.073724,-0.005936,-0.034987,-0.12645,-0.37008,-0.051474,0.11377,-0.37803,-0.03023,-0.13721,-0.74561,-0.056592,0.13151,-0.74063,-0.057909
7,0.010581,0.76459,0.020534,-0.15608,0.46612,0.029966,-0.18418,0.21559,0.01594,0.1637,0.4634,0.023675,0.19539,0.21761,0.020186,-0.2135,0.006597,-0.074881,0.21091,0.005886,-0.06116,-0.068381,0.005268,-0.034907,0.073972,-0.001463,-0.035402,-0.12632,-0.3659,-0.049864,0.1144,-0.37344,-0.029713,-0.13366,-0.73911,-0.044619,0.13187,-0.74008,-0.058038
8,0.010579,0.76574,0.021081,-0.15595,0.46733,0.029971,-0.18946,0.22549,0.009724,0.16349,0.46472,0.023667,0.20015,0.22809,0.013294,-0.22132,0.023726,-0.085229,0.21802,0.023678,-0.073254,-0.06839,0.006383,-0.034702,0.074073,-0.000314,-0.035283,-0.12616,-0.3644,-0.04913,0.11445,-0.37226,-0.02943,-0.13317,-0.73771,-0.043741,0.13206,-0.73973,-0.057982
9,0.010567,0.76689,0.022043,-0.15551,0.46883,0.029963,-0.19961,0.23725,-0.003762,0.16252,0.46657,0.023233,0.20704,0.24197,0.002685,-0.23637,0.046546,-0.10862,0.22911,0.048657,-0.092346,-0.068463,0.007537,-0.034114,0.074175,0.000925,-0.035142,-0.12603,-0.36256,-0.048026,0.11448,-0.37097,-0.028868,-0.13273,-0.73633,-0.042839,0.13217,-0.73953,-0.058006
10,0.010526,0.76803,0.023225,-0.15485,0.47064,0.029827,-0.21011,0.25271,-0.017736,0.16138,0.46856,0.022652,0.21504,0.25752,-0.008997,-0.2519,0.076444,-0.13375,0.24365,0.077219,-0.1186,-0.068601,0.008714,-0.033348,0.074274,0.002237,-0.034943,-0.12592,-0.36069,-0.046819,0.11449,-0.36962,-0.028103,-0.13224,-0.73467,-0.041891,0.13226,-0.73921,-0.058033
11,0.010463,0.76916,0.024547,-0.15401,0.47265,0.029592,-0.2236,0.2717,-0.035544,0.16026,0.47086,0.02202,0.225,0.27647,-0.021903,-0.27093,0.1125,-0.1607,0.26003,0.11433,-0.14676,-0.068827,0.009973,-0.032253,0.074379,0.003654,-0.034707,-0.12586,-0.3587,-0.045534,0.11447,-0.36815,-0.027225,-0.13171,-0.73293,-0.040951,0.13229,-0.739,-0.058047
12,0.010468,0.76918,0.026122,-0.15311,0.47483,0.029388,-0.2381,0.29366,-0.052475,0.15947,0.47343,0.021304,0.23581,0.29967,-0.036899,-0.29132,0.15734,-0.18895,0.27776,0.15731,-0.17654,-0.069138,0.011177,-0.030801,0.074399,0.005094,-0.034363,-0.12593,-0.35742,-0.04395,0.11443,-0.36679,-0.026336,-0.13151,-0.73211,-0.039792,0.13229,-0.739,-0.058047
13,0.010452,0.7692,0.027727,-0.15213,0.47619,0.02915,-0.25329,0.31888,-0.068942,0.15893,0.47506,0.020599,0.24808,0.32427,-0.052886,-0.31335,0.20844,-0.21762,0.29707,0.20394,-0.20744,-0.069478,0.011468,-0.029212,0.074382,0.005521,-0.03396,-0.12599,-0.35701,-0.042376,0.1144,-0.36634,-0.025524,-0.1315,-0.73211,-0.038502,0.13229,-0.739,-0.057992
14,0.010398,0.76922,0.029294,-0.15107,0.47792,0.02894,-0.26788,0.35228,-0.08434,0.15853,0.47703,0.019895,0.2604,0.35616,-0.068815,-0.33535,0.26797,-0.24359,0.31626,0.26372,-0.23805,-0.069854,0.011857,-0.027472,0.074359,0.006053,-0.03341,-0.12605,-0.35631,-0.040899,0.11437,-0.36582,-0.024738,-0.13147,-0.7318,-0.037401,0.13226,-0.739,-0.057815
15,0.010374,0.76927,0.031426,-0.14999,0.47979,0.028724,-0.28045,0.38868,-0.096486,0.15856,0.47925,0.019214,0.27209,0.38908,-0.083365,-0.3539,0.33906,-0.26203,0.33222,0.33166,-0.26189,-0.070287,0.012299,-0.025691,0.074319,0.006677,-0.032474,-0.12614,-0.35528,-0.039604,0.11404,-0.36526,-0.02404,-0.13151,-0.7318,-0.036271,0.13176,-0.73976,-0.057564
16,0.010566,0.76827,0.033718,-0.14886,0.48203,0.02856,-0.29111,0.4274,-0.10604,0.15858,0.48156,0.018531,0.28234,0.42185,-0.096188,-0.37011,0.40815,-0.27785,0.34611,0.39676,-0.28181,-0.070714,0.012995,-0.023875,0.074193,0.00752,-0.031318,-0.12632,-0.35425,-0.038466,0.11346,-0.36448,-0.023418,-0.13154,-0.73185,-0.035572,0.13106,-0.74068,-0.057576
17,0.010771,0.76729,0.035856,-0.14789,0.4847,0.028244,-0.29799,0.46301,-0.11161,0.15861,0.48409,0.01784,0.29024,0.45522,-0.10473,-0.38128,0.47545,-0.28651,0.35636,0.46149,-0.29351,-0.071108,0.013752,-0.022305,0.074006,0.008415,-0.030209,-0.1265,-0.35327,-0.03761,0.11286,-0.36368,-0.023002,-0.13166,-0.73194,-0.035144,0.13032,-0.74156,-0.057449
18,0.011001,0.76636,0.037487,-0.14727,0.48781,0.027817,-0.29912,0.50167,-0.11166,0.15868,0.48721,0.017512,0.2959,0.49058,-0.10858,-0.38418,0.54397,-0.28663,0.36178,0.5285,-0.29488,-0.071398,0.0152,-0.021178,0.073753,0.00986,-0.029174,-0.12666,-0.35223,-0.037156,0.11223,-0.36241,-0.022876,-0.13185,-0.73212,-0.034773,0.12968,-0.74246,-0.05727
