FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,-0.001128,0.73717,-0.046485,-0.13845,0.48073,-0.00093,-0.27386,0.34934,0.10401,0.14382,0.48169,-0.016821,0.27909,0.3492,0.075505,-0.19065,0.19098,0.059348,0.16729,0.21252,0.020926,-0.064008,-0.00485,-0.034859,0.063881,-0.004455,-0.034841,-0.11582,-0.32505,-0.011551,0.10624,-0.3263,-0.005674,-0.11166,-0.66354,0.047318,0.11904,-0.65451,0.036522
1,-0.00074,0.73728,-0.046642,-0.13856,0.48098,-0.000588,-0.27386,0.34935,0.10401,0.14471,0.48138,-0.015356,0.27883,0.34845,0.07463,-0.17042,0.2067,0.048054,0.16593,0.21265,0.020138,-0.063841,-0.004908,-0.034364,0.064607,-0.004758,-0.032744,-0.11564,-0.32421,-0.010902,0.10654,-0.32651,-0.004479,-0.1116,-0.66288,0.047097,0.1198,-0.65373,0.036447
2,-0.000569,0.73722,-0.046599,-0.14122,0.48307,0.002761,-0.27319,0.34936,0.10319,0.14532,0.48141,-0.015553,0.27944,0.34887,0.075533,-0.15331,0.22528,0.035526,0.16862,0.2142,0.013217,-0.063452,-0.004921,-0.033218,0.064947,-0.004805,-0.03207,-0.11552,-0.32233,-0.009808,0.10691,-0.32677,-0.003562,-0.11152,-0.66303,0.047332,0.12148,-0.65416,0.037719
3,-1e-05,0.7374,-0.046787,-0.13983,0.48239,0.002096,-0.27221,0.35061,0.10396,0.14537,0.48136,-0.015775,0.28089,0.34929,0.07604,-0.19008,0.19004,0.067533,0.1697,0.21665,0.009552,-0.062863,-0.005099,-0.032362,0.065493,-0.004926,-0.031823,-0.11537,-0.32135,-0.008733,0.10762,-0.32645,-0.001796,-0.11164,-0.66183,0.047297,0.1217,-0.65428,0.037797
4,0.001737,0.73698,-0.047009,-0.13911,0.48255,0.001903,-0.27169,0.35378,0.10806,0.14565,0.48122,-0.015855,0.28324,0.35083,0.078052,-0.19415,0.19317,0.06048,0.17176,0.2187,0.010904,-0.062208,-0.005165,-0.030047,0.066055,-0.004985,-0.031349,-0.11547,-0.32119,-0.006833,0.10854,-0.32604,-0.001001,-0.11172,-0.66098,0.047271,0.12254,-0.65443,0.038505
5,0.003044,0.73623,-0.046775,-0.13825,0.48168,0.001506,-0.27285,0.35426,0.11183,0.1472,0.48072,-0.015309,0.28341,0.3513,0.077837,-0.19533,0.19492,0.059238,0.17253,0.21808,0.011967,-0.061879,-0.005327,-0.029793,0.066943,-0.00535,-0.030511,-0.1154,-0.32024,-0.00492,0.11002,-0.32325,0.000916,-0.11211,-0.66007,0.048237,0.12437,-0.65275,0.039648
6,0.004476,0.73625,-0.045372,-0.13787,0.48174,0.001878,-0.27233,0.35463,0.11254,0.1491,0.48102,-0.013843,0.28501,0.35072,0.079597,-0.19706,0.19196,0.069157,0.20381,0.18774,0.058496,-0.060992,-0.005469,-0.028995,0.06857,-0.005673,-0.027809,-0.11536,-0.31938,-0.002612,0.11069,-0.32364,0.001826,-0.11193,-0.65959,0.048555,0.12547,-0.65438,0.040279
7,0.005423,0.73618,-0.042869,-0.13576,0.48138,0.003123,-0.27157,0.35499,0.11419,0.149,0.48032,-0.013437,0.28649,0.3494,0.080659,-0.18941,0.19619,0.066167,0.17524,0.21301,0.02853,-0.060827,-0.005898,-0.02757,0.068602,-0.006082,-0.027444,-0.11484,-0.32017,-0.002805,0.11013,-0.32433,0.001517,-0.11182,-0.66041,0.047978,0.12477,-0.65354,0.039599
8,0.006544,0.73604,-0.041398,-0.13503,0.48146,0.004203,-0.27099,0.35572,0.11647,0.15003,0.4802,-0.012321,0.28776,0.34932,0.081782,-0.1901,0.19608,0.068829,0.17642,0.21336,0.030063,-0.060342,-0.00599,-0.026388,0.069305,-0.006265,-0.02625,-0.11462,-0.32002,-0.001732,0.11061,-0.32415,0.002313,-0.1118,-0.66041,0.048101,0.12523,-0.65336,0.039901
9,0.007568,0.73592,-0.039717,-0.13427,0.48156,0.005414,-0.27034,0.35599,0.11836,0.15136,0.48015,-0.010829,0.28909,0.34932,0.083104,-0.19205,0.19448,0.072766,0.17724,0.21369,0.031749,-0.059858,-0.006041,-0.025294,0.069994,-0.006401,-0.024991,-0.11439,-0.31999,-0.000853,0.11104,-0.32395,0.003075,-0.11179,-0.66041,0.048235,0.12562,-0.65323,0.040126
10,0.008563,0.73586,-0.037593,-0.1334,0.48154,0.006805,-0.26935,0.35628,0.12004,0.15255,0.48012,-0.009234,0.29043,0.34922,0.08464,-0.19386,0.19292,0.077075,0.17803,0.21396,0.034185,-0.059313,-0.006103,-0.023897,0.070665,-0.006512,-0.023606,-0.11405,-0.31999,-1.6e-05,0.11138,-0.32395,0.003799,-0.1117,-0.66041,0.048348,0.12581,-0.65312,0.040307
11,0.009414,0.7358,-0.035576,-0.13255,0.4814,0.00842,-0.26833,0.35659,0.12194,0.15362,0.48012,-0.007781,0.29166,0.34916,0.086077,-0.19485,0.19254,0.081167,0.17879,0.21411,0.034512,-0.058855,-0.006171,-0.022467,0.071178,-0.006619,-0.022383,-0.11368,-0.31999,0.000589,0.11168,-0.32395,0.004481,-0.11158,-0.66048,0.048506,0.12588,-0.65302,0.040469
12,0.010059,0.73569,-0.033755,-0.13202,0.48128,0.010201,-0.26733,0.35679,0.1238,0.15462,0.48009,-0.006274,0.29277,0.34901,0.087651,-0.19541,0.19177,0.086049,0.17934,0.21411,0.03479,-0.058439,-0.00622,-0.021014,0.071597,-0.006669,-0.021182,-0.11332,-0.31999,0.001093,0.11201,-0.32394,0.005285,-0.11146,-0.66066,0.048666,0.12591,-0.6529,0.040641
13,0.010625,0.73556,-0.031939,-0.13141,0.48129,0.012149,-0.26623,0.35697,0.12554,0.15567,0.48008,-0.004734,0.2937,0.34897,0.089286,-0.19614,0.19083,0.091128,0.17985,0.21411,0.035052,-0.057998,-0.006246,-0.019585,0.072037,-0.006697,-0.019931,-0.11295,-0.32015,0.001735,0.11235,-0.3241,0.006142,-0.11128,-0.66089,0.048818,0.12594,-0.65293,0.04086
