FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z
0,0.007911500000000004,0.761899,0.05179149999999999,-0.1587805,0.463799,0.06444349999999999,-0.1846105,0.210119,0.0547125,0.1618795,0.461569,0.05851049999999999,0.19041950000000002,0.208779,0.06113049999999999,-0.21156049999999998,0.0038290000000000004,-0.03026050000000001,0.20513950000000003,-0.006372,-0.0064155000000000045,-0.0712015,0.003523,0.0007804999999999965,0.0712015,-0.003523,-0.0007805000000000034,-0.13073049999999997,-0.367411,-0.015524500000000004,0.11165950000000001,-0.375301,0.005995499999999994,-0.1372005,-0.741971,-0.009725500000000005,0.12774950000000002,-0.743511,-0.024186500000000007
1,0.008145,0.7624415,0.0535095,-0.158966,0.4639515,0.06507349999999999,-0.18457600000000002,0.2086415,0.056318499999999994,0.16156399999999999,0.4615015,0.05912049999999999,0.18936399999999998,0.2079115,0.062370499999999995,-0.212316,0.0023455,-0.0244715,0.20306400000000002,-0.0058495,-0.005081500000000003,-0.071176,0.0034555,0.0004354999999999984,0.071176,-0.0034555000000000002,-0.00043550000000000533,-0.13007600000000002,-0.36755849999999995,-0.015415500000000006,0.111434,-0.3753485,0.005663499999999995,-0.137276,-0.7416285,-0.009560500000000006,0.12814399999999998,-0.7381685,-0.021129500000000002
2,0.008319500000000004,0.7624765,0.054008,-0.15909050000000002,0.4640765,0.065594,-0.1840505,0.2084465,0.056817999999999994,0.1614695,0.4613565,0.059312,0.18893949999999998,0.20745650000000002,0.062918,-0.21094049999999998,0.0019015000000000002,-0.020713000000000002,0.2022195,-0.005795499999999999,-0.005198000000000001,-0.0711285,0.0033985000000000005,0.0004249999999999948,0.0711285,-0.0033985,-0.00042500000000000177,-0.12995049999999997,-0.3676235,-0.015348000000000007,0.1113595,-0.37532350000000003,0.005491999999999997,-0.1375905,-0.7423535,-0.010113000000000004,0.1276295,-0.7391335,-0.021668000000000007
3,0.008405000000000001,0.7625615,0.0548815,-0.15896100000000002,0.4644315,0.0660855,-0.18346099999999999,0.20874150000000002,0.0568695,0.161429,0.4612115,0.0595665,0.188529,0.20665150000000002,0.0632795,-0.20776099999999997,-0.0115645,-0.0218835,0.19988899999999998,-0.0352895,-0.020670499999999994,-0.071086,0.0033745,0.0003615000000000007,0.071086,-0.0033745,-0.0003615000000000007,-0.129851,-0.3676685,-0.015502499999999995,0.111249,-0.3753285,0.005372500000000002,-0.137681,-0.7425385,-0.010082499999999994,0.127539,-0.7401185,-0.0221805
4,0.008594500000000001,0.7624875,0.055204500000000004,-0.1589655,0.4645375,0.0662615,-0.1828855,0.20878750000000001,0.057101500000000006,0.1613945,0.4611675,0.059743500000000005,0.1883145,0.2065575,0.0630845,-0.2075455,-0.0292395,-0.02821549999999999,0.2000545,-0.0244775,-0.018223499999999997,-0.0710685,0.0033794999999999997,0.00030250000000000415,0.0710685,-0.0033795,-0.0003024999999999972,-0.1295455,-0.36770250000000004,-0.015453499999999995,0.1111345,-0.37536250000000004,0.005270500000000004,-0.13765550000000001,-0.7428325,-0.010565499999999992,0.12785449999999998,-0.7394624999999999,-0.021744499999999993
5,0.009059,0.7625855,0.056223999999999996,-0.15871200000000002,0.46460549999999995,0.06637699999999999,-0.182112,0.2088055,0.057374999999999995,0.161318,0.4610355,0.060260999999999995,0.187718,0.2065055,0.062886,-0.203602,-0.0221895,-0.023043,0.198038,-0.014493500000000001,-0.011595000000000001,-0.070996,0.0034614999999999997,0.00013599999999999723,0.070996,-0.0034615,-0.00013599999999999723,-0.129392,-0.36763450000000003,-0.015535,0.11104800000000001,-0.3754945,0.0050620000000000005,-0.13820200000000002,-0.7441645,-0.012337,0.127848,-0.7403744999999999,-0.022326
6,0.009334500000000003,0.762602,0.0567975,-0.1585205,0.464632,0.0663415,-0.1809605,0.208732,0.05745550000000001,0.1612195,0.460902,0.06037150000000001,0.1868995,0.205952,0.06238350000000001,-0.2026605,-0.026393,-0.024586499999999997,0.2001595,-0.036766,-0.0186695,-0.07090350000000001,0.003514,0.00015350000000000086,0.07090350000000001,-0.003514,-0.00015349999999999392,-0.1292705,-0.36765800000000004,-0.016640499999999996,0.1109495,-0.375608,0.004603500000000003,-0.1400305,-0.743188,-0.0217585,0.12868949999999998,-0.738208,-0.0230755
7,0.007785500000000001,0.7626875,0.0556885,-0.1588755,0.4642175,0.0651205,-0.18697550000000002,0.2136875,0.0510945,0.1609045,0.4614975,0.05882950000000001,0.1925945,0.2157075,0.0553405,-0.2162955,0.004694500000000001,-0.0397265,0.20811449999999998,0.003983499999999999,-0.026005499999999994,-0.0711765,0.0033655,0.00024750000000000466,0.0711765,-0.0033655000000000004,-0.0002474999999999977,-0.1291155,-0.3678025,-0.014709499999999993,0.1116045,-0.37534249999999997,0.005441500000000005,-0.1364555,-0.7410125000000001,-0.009464499999999994,0.12907449999999998,-0.7419825,-0.022883499999999994
8,0.007737500000000003,0.7627054999999999,0.0560735,-0.1587915,0.4642955,0.0649635,-0.1923015,0.2224555,0.04471649999999999,0.1606485,0.4616855,0.058659499999999996,0.1973085,0.2250555,0.048286499999999996,-0.22416149999999999,0.0206915,-0.0502365,0.2151785,0.020643500000000002,-0.038261500000000004,-0.0712315,0.0033485,0.0002904999999999991,0.0712315,-0.0033485,-0.00029050000000000603,-0.1290015,-0.3674345,-0.014137500000000004,0.1116085,-0.3752945,0.0055624999999999945,-0.1360115,-0.7407445,-0.008748500000000006,0.12921850000000001,-0.7427645,-0.022989500000000003
9,0.007710999999999996,0.762659,0.056671,-0.158366,0.46459900000000004,0.064591,-0.202466,0.23301899999999998,0.030865999999999998,0.159664,0.462339,0.057860999999999996,0.204184,0.23773899999999998,0.037313,-0.239226,0.042315,-0.073992,0.226254,0.044426,-0.057718,-0.071319,0.003306,0.0005140000000000006,0.071319,-0.0033060000000000003,-0.0005140000000000006,-0.128886,-0.366791,-0.013398,0.111624,-0.375201,0.005759999999999998,-0.13558599999999998,-0.740561,-0.008211000000000003,0.129314,-0.743761,-0.023378000000000003
