FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z
0,0.019742000000000003,0.7056435,0.021384000000000004,-0.142887,0.5028935,0.032650000000000005,-0.241227,0.7184435,-0.011281999999999993,0.156853,0.5001435,0.045438000000000006,0.25930299999999995,0.7219435000000001,0.021496000000000005,-0.28545699999999996,0.9315335,-0.058334,0.290883,0.9352235,-0.019835,-0.068117,0.0001405,0.00017000000000000348,0.068117,-0.0001405,-0.00016999999999999654,-0.118667,-0.3396165,0.032184000000000004,0.10673300000000001,-0.3401065,0.043568,-0.124777,-0.6733965,0.08457200000000001,0.130953,-0.6459265,0.08521100000000001
1,0.019825,0.7058325,0.0216065,-0.143504,0.5028225,0.032940500000000004,-0.239294,0.7149625000000001,-0.0116355,0.156636,0.49929250000000003,0.045451500000000006,0.261156,0.7273225,0.021591500000000003,-0.28473400000000004,0.9313425,-0.0586425,0.29063599999999995,0.9354325,-0.019894499999999996,-0.06813,9.349999999999983e-05,3.150000000000375e-05,0.06813,-9.35000000000007e-05,-3.149999999999681e-05,-0.118834,-0.3394075,0.0323335,0.10694599999999999,-0.3391675,0.0438875,-0.125184,-0.6767375,0.0857685,0.130686,-0.6457775,0.0854565
2,0.019978000000000003,0.7058495,0.021392,-0.144103,0.5027195,0.032862,-0.239943,0.7178994999999999,-0.012172000000000002,0.156357,0.49904950000000003,0.045236,0.261127,0.7279395,0.021276999999999997,-0.282763,0.9283195,-0.060895,0.290657,0.9362094999999999,-0.020415000000000003,-0.068046,6.950000000000012e-05,0.0001810000000000006,0.068046,-6.950000000000012e-05,-0.0001810000000000006,-0.119033,-0.3393005,0.032389,0.10699700000000001,-0.3390605,0.044157,-0.12826300000000002,-0.6636405000000001,0.087228,0.130537,-0.6455005,0.085308
3,0.020087499999999998,0.7056795,0.020757499999999998,-0.1446405,0.5024795,0.0326735,-0.2402505,0.7193495000000001,-0.0129815,0.1562695,0.4987795,0.0451675,0.26126950000000004,0.7290595000000001,0.021076499999999998,-0.2822705,0.9282395,-0.0616935,0.2903395,0.9360395,-0.0207785,-0.0681205,5.149999999999946e-05,9.549999999999836e-05,0.0681205,-5.150000000000033e-05,-9.549999999999836e-05,-0.1191905,-0.33923050000000005,0.0325885,0.1071495,-0.33905050000000003,0.0442805,-0.12872050000000002,-0.6719605,0.08820449999999999,0.1304495,-0.6446405,0.0852725
4,0.020443999999999997,0.7060059999999999,0.019498500000000002,-0.14524099999999998,0.5020359999999999,0.031414500000000005,-0.240301,0.720706,-0.0148555,0.156159,0.49847600000000003,0.0437265,0.26103899999999997,0.730436,0.0193645,-0.28099100000000005,0.9269259999999999,-0.06438050000000001,0.290549,0.9371759999999999,-0.022461499999999995,-0.06819700000000001,-7.200000000000002e-05,0.0007775000000000004,0.06819700000000001,7.200000000000002e-05,-0.0007775000000000004,-0.11916099999999999,-0.337974,0.0330345,0.107289,-0.338704,0.0433035,-0.132731,-0.648904,0.0883125,0.130709,-0.643904,0.0843145
5,0.0206325,0.7061445,0.018458499999999996,-0.1453375,0.5019745,0.0303985,-0.2401575,0.7210145,-0.015906500000000004,0.1562925,0.49835450000000003,0.0426775,0.2611925,0.7315145,0.017745499999999997,-0.2802675,0.9267544999999999,-0.0662655,0.2908425,0.9372245,-0.024184500000000005,-0.0682635,-0.00010549999999999969,0.0004844999999999988,0.0682635,0.00010549999999999969,-0.0004845000000000023,-0.1192275,-0.3378655,0.032709499999999996,0.1074425,-0.3385855,0.0423975,-0.1328075,-0.6487455000000001,0.0872645,0.1309925,-0.6440855000000001,0.08339150000000001
6,0.020874000000000004,0.705959,0.017077000000000002,-0.14528799999999997,0.501659,0.029163,-0.23913800000000002,0.719609,-0.017085000000000003,0.15660200000000002,0.49801900000000004,0.041398,0.26140199999999997,0.731789,0.016017,-0.279638,0.926339,-0.068266,0.290892,0.936569,-0.025632000000000002,-0.068272,-0.00021000000000000012,-3.600000000000131e-05,0.068272,0.00021000000000000012,3.600000000000131e-05,-0.119818,-0.338001,0.033111,0.10762200000000001,-0.338711,0.041139999999999996,-0.133818,-0.6460009999999999,0.08560999999999999,0.131222,-0.644281,0.082054
7,0.020881000000000004,0.706198,0.0152155,-0.144993,0.501448,0.0272705,-0.237563,0.7197779999999999,-0.018187500000000002,0.156937,0.497758,0.0392495,0.26045700000000005,0.7334679999999999,0.014612499999999999,-0.278753,0.927128,-0.0683695,0.29097700000000004,0.935228,-0.027152500000000003,-0.068294,-0.00010500000000000006,0.0005124999999999991,0.068294,0.00010500000000000006,-0.0005124999999999991,-0.11991299999999999,-0.338332,0.0328045,0.107577,-0.338472,0.0403975,-0.132323,-0.6479320000000001,0.08370849999999999,0.131917,-0.6441920000000001,0.0803895
8,0.02092,0.7063655000000001,0.013995,-0.145222,0.5013355,0.026165,-0.236952,0.7198755,-0.019110000000000002,0.156978,0.4975555,0.037954,0.26039799999999996,0.7344055,0.013266000000000002,-0.27790200000000004,0.9270255000000001,-0.06969700000000001,0.291018,0.9350655000000001,-0.028497,-0.06831000000000001,-0.00014750000000000006,0.0006330000000000016,0.06831000000000001,0.00014750000000000006,-0.0006329999999999981,-0.12013199999999999,-0.3382445,0.032817,0.10760800000000001,-0.3383445,0.039684,-0.132822,-0.6457744999999999,0.08264099999999999,0.132108,-0.6440944999999999,0.079392
9,0.020991,0.706535,0.012895,-0.145408,0.501235,0.025196,-0.236368,0.719975,-0.019729,0.157052,0.497405,0.036742,0.260062,0.735195,0.012046,-0.277238,0.926925,-0.070768,0.291062,0.934905,-0.029653000000000002,-0.06836,-0.00018899999999999993,0.0007090000000000013,0.06836,0.00018899999999999993,-0.0007090000000000013,-0.120338,-0.338305,0.032771,0.107662,-0.338155,0.039047,-0.132888,-0.645225,0.081617,0.132172,-0.644195,0.078499
