FrameNo,nose_x,nose_y,nose_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z
0,0.025841500000000003,0.7309255,-0.009780500000000004,-0.14766649999999998,0.4571755,0.016351499999999995,-0.1744465,0.2085755,0.06067549999999999,0.16408350000000002,0.4527655,0.016884499999999993,0.2147535,0.2256055,0.046739499999999996,-0.1954265,0.0047525,0.013538499999999995,0.21467350000000002,0.0040585,-0.0028255000000000086,-0.0665715,0.0013984999999999996,-4.550000000000387e-05,0.0665715,-0.0013985000000000004,4.549999999999693e-05,-0.1179865,-0.32195450000000003,-0.004958500000000005,0.11759349999999999,-0.32156450000000003,0.0033824999999999966,-0.1265665,-0.6340245,0.03151949999999999,0.13827350000000002,-0.6423645,0.029070499999999996
1,0.025992500000000005,0.7308865,-0.007395499999999999,-0.1487685,0.4571865,0.0195905,-0.1755485,0.2076365,0.0599745,0.16194150000000002,0.4535665,0.0202675,0.2152515,0.2260065,0.0480985,-0.1965285,0.0040095,0.0117855,0.2149915,0.0032885,-0.0034645000000000023,-0.0665445,0.0013605000000000002,-0.00012749999999999567,0.0665445,-0.0013604999999999997,0.0001275000000000026,-0.11781849999999999,-0.3219635,-0.002772499999999997,0.11748150000000002,-0.3204035,0.0043805000000000024,-0.1266185,-0.6343835000000001,0.0338735,0.1379015,-0.6394735,0.0301185
2,0.026166500000000006,0.7315175,-0.005028000000000005,-0.14808549999999998,0.45713750000000003,0.019632999999999994,-0.17603549999999998,0.2080575,0.061446999999999995,0.1622145,0.4540975,0.021231999999999994,0.21514450000000002,0.2256975,0.049182,-0.1971655,-0.0035195,0.006466999999999994,0.2148845,0.0036434999999999996,-0.004687000000000004,-0.0665655,0.0013594999999999996,-0.0005390000000000048,0.0665655,-0.0013595000000000005,0.0005389999999999978,-0.11770549999999999,-0.3214225,-0.0005570000000000089,0.1172345,-0.3194925,0.005406999999999995,-0.1271755,-0.6337925,0.03609,0.13771450000000002,-0.6379425,0.032107
3,0.026019999999999998,0.732069,-0.003446499999999998,-0.147569,0.45727900000000005,0.0198255,-0.17698899999999998,0.20834899999999998,0.0615075,0.16218100000000002,0.454299,0.0219695,0.210501,0.219829,0.0482205,-0.19941899999999999,0.000804,0.007209500000000001,0.21463100000000002,0.005078,-0.0041534999999999975,-0.066471,0.0013830000000000001,-0.0007694999999999994,0.066471,-0.0013829999999999997,0.0007694999999999994,-0.11785899999999999,-0.320941,0.0010425000000000018,0.11680099999999999,-0.31893099999999996,0.0056965,-0.127329,-0.633811,0.0377495,0.13745100000000002,-0.636731,0.0332805
4,0.025243499999999995,0.732582,-0.0021980000000000055,-0.14816649999999998,0.457562,0.020243999999999998,-0.17807650000000003,0.20861200000000002,0.061569,0.1613035,0.45485200000000003,0.022958999999999997,0.20735349999999997,0.21788200000000002,0.047949,-0.2026365,0.004942,0.006585999999999995,0.21185349999999997,0.008121,-0.005656000000000001,-0.0662345,0.0011250000000000001,-0.001462000000000005,0.0662345,-0.0011250000000000001,0.001461999999999998,-0.1186565,-0.320498,0.002349999999999998,0.1159135,-0.31879799999999997,0.006538999999999996,-0.12805650000000002,-0.636128,0.039799999999999995,0.13503349999999997,-0.6393580000000001,0.033162
5,0.024759499999999997,0.732757,-0.0016134999999999969,-0.14866849999999998,0.457847,0.0212065,-0.17863849999999998,0.208627,0.061372499999999997,0.16089150000000002,0.454797,0.0233315,0.20170149999999998,0.20926699999999998,0.0466905,-0.20448850000000002,0.008324,0.006284499999999998,0.20797149999999998,0.010405999999999999,-0.007428499999999998,-0.0660915,0.0010859999999999993,-0.0019105000000000025,0.0660915,-0.0010860000000000002,0.0019105000000000025,-0.1191285,-0.320303,0.003200500000000002,0.11536149999999999,-0.31892299999999996,0.007116499999999998,-0.1287185,-0.635993,0.0405965,0.1336215,-0.639413,0.0330265
6,0.024093,0.7329285,-0.000836499999999997,-0.149313,0.4578985,0.021799500000000003,-0.179663,0.2084785,0.0608905,0.160087,0.4546885,0.0237375,0.197387,0.20590850000000002,0.0454005,-0.206153,0.0097175,0.005684500000000002,0.205247,0.0074425,-0.012898499999999993,-0.066,0.0011855,-0.0022254999999999983,0.066,-0.0011855,0.0022255000000000053,-0.119813,-0.3201815,0.004078500000000006,0.114647,-0.3193815,0.007619500000000001,-0.129523,-0.6358415,0.0410955,0.132437,-0.6398415,0.0331815
7,0.0239915,0.7334390000000001,-0.0011315000000000006,-0.14933649999999998,0.457889,0.022043499999999997,-0.1800765,0.208409,0.0595845,0.1598135,0.45464899999999997,0.023444499999999997,0.1975935,0.207809,0.0454125,-0.2070665,0.01352,0.0056065,0.2050235,0.010358,-0.012103500000000003,-0.06613450000000001,0.0011079999999999996,-0.0022135,0.06613450000000001,-0.0011080000000000005,0.0022135,-0.1198565,-0.319921,0.0040725,0.11464350000000001,-0.319241,0.007570500000000001,-0.1291465,-0.635311,0.0413935,0.1326235,-0.6387809999999999,0.0344825
8,0.023666499999999997,0.7337285,-0.0007765000000000064,-0.1497155,0.45797849999999996,0.022580499999999993,-0.1805055,0.2083285,0.05918949999999999,0.1594245,0.4547385,0.023687499999999993,0.1953545,0.2059185,0.044981499999999994,-0.2084155,0.0155865,0.005521499999999992,0.20328449999999998,0.0115055,-0.013536500000000007,-0.06608449999999999,0.0010654999999999996,-0.0024725000000000025,0.06608449999999999,-0.0010654999999999996,0.0024724999999999955,-0.1201855,-0.3197515,0.004560499999999995,0.1142945,-0.31905150000000004,0.007902499999999993,-0.1294955,-0.6354315,0.042014499999999996,0.1318645,-0.6384715,0.03475249999999999
9,0.023417999999999998,0.7339815,-0.0006090000000000054,-0.150005,0.4580315,0.022970999999999995,-0.180815,0.2081915,0.058797999999999996,0.159115,0.45469149999999997,0.023823999999999994,0.193405,0.2041715,0.044564,-0.20941500000000002,0.0172565,0.005619999999999993,0.201895,0.0124195,-0.014807,-0.066074,0.0010485000000000008,-0.0026530000000000026,0.066074,-0.0010485,0.0026529999999999956,-0.120445,-0.31962850000000004,0.004899999999999995,0.114005,-0.3190485,0.008149999999999998,-0.12976500000000002,-0.6352385,0.042432,0.131345,-0.6383485,0.034985999999999996
