FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z
0,0.007458500000000001,0.734065,-0.0277455,-0.1537535,0.468895,0.0379215,-0.1838035,0.247575,0.0790095,0.1532465,0.466655,0.028839499999999997,0.1870365,0.242415,0.052781499999999995,-0.2139935,0.055015,0.0485315,0.2189465,0.024339,-0.00033850000000000546,-0.0679635,0.0014039999999999999,-0.0011685000000000029,0.0679635,-0.0014039999999999999,0.001168499999999996,-0.1063235,-0.319345,-0.0009774999999999992,0.1048665,-0.335875,-0.017509500000000004,-0.0843715,-0.639805,0.033603499999999994,0.1178565,-0.636975,0.014122499999999996
1,0.007875499999999999,0.7337805000000001,-0.028693000000000003,-0.15324749999999998,0.4693505,0.037710999999999995,-0.18281750000000002,0.2477805,0.078096,0.1536825,0.4668505,0.029130999999999994,0.1903725,0.2432905,0.054033,-0.21367750000000002,0.061041500000000005,0.045982999999999996,0.2181725,0.0227215,-0.0003000000000000086,-0.0675665,0.0014445,-0.0005510000000000029,0.0675665,-0.0014444999999999996,0.0005509999999999959,-0.1070775,-0.31920950000000003,-0.0022090000000000026,0.1040225,-0.3357195,-0.018568000000000008,-0.0854445,-0.6403795,0.032638999999999994,0.1168925,-0.6364495,0.012921999999999993
2,0.008878500000000003,0.7332814999999999,-0.029539500000000003,-0.1512805,0.4698815,0.0370125,-0.1817105,0.24844149999999998,0.0774705,0.1542995,0.46725150000000004,0.029467499999999994,0.1909795,0.2436615,0.054273499999999995,-0.21348050000000002,0.060477500000000003,0.044116499999999996,0.2181695,0.022914499999999997,0.0004564999999999951,-0.0675705,0.0015444999999999999,-0.0005795000000000036,0.0675705,-0.0015444999999999999,0.0005794999999999967,-0.10718049999999998,-0.3193085,-0.002854500000000003,0.1039995,-0.33564849999999996,-0.018975500000000006,-0.08580850000000001,-0.6404285000000001,0.032097499999999994,0.1166895,-0.6362285000000001,0.012346499999999996
3,0.009648999999999996,0.7331070000000001,-0.029304999999999998,-0.150399,0.47008700000000003,0.037324,-0.18124900000000002,0.248607,0.07735,0.15534099999999998,0.467027,0.030433,0.192551,0.243487,0.054956000000000005,-0.21351900000000001,0.060362,0.043374,0.219001,0.022592,0.0014200000000000011,-0.067583,0.001604,-0.0005049999999999985,0.067583,-0.001604,0.000505000000000002,-0.10732900000000001,-0.319243,-0.002942,0.103711,-0.335593,-0.019270999999999996,-0.08612,-0.640443,0.031884,0.116251,-0.636543,0.012088000000000002
4,0.011736999999999996,0.7333270000000001,-0.029041,-0.14916200000000002,0.469947,0.037348,-0.18003200000000003,0.248367,0.076963,0.15882799999999997,0.467067,0.032847,0.19395800000000002,0.243097,0.056854,-0.213322,0.060079,0.041368,0.22099799999999997,0.022222,0.0036099999999999986,-0.06769,0.0018410000000000002,-0.0005709999999999986,0.06769,-0.0018409999999999998,0.0005709999999999986,-0.107392,-0.319373,-0.0032289999999999992,0.103568,-0.334803,-0.019773000000000002,-0.08641900000000001,-0.640983,0.031559,0.11567799999999999,-0.6366729999999999,0.011615
5,0.012754500000000004,0.7334735,-0.029345,-0.14995750000000002,0.4700635,0.037488,-0.17932749999999997,0.2480735,0.076336,0.15904250000000003,0.4665335,0.032295000000000004,0.1943625,0.2428035,0.057475,-0.21300750000000002,0.059909500000000004,0.03974,0.2218025,0.0218765,0.004785000000000001,-0.0677875,0.0019495000000000003,-0.000512000000000002,0.0677875,-0.0019494999999999998,0.000512000000000002,-0.1070875,-0.32061649999999997,-0.003209,0.1035225,-0.3342365,-0.019773999999999996,-0.08685949999999999,-0.6410165000000001,0.03156,0.1152725,-0.6362565,0.011504
6,0.0145005,0.73375,-0.029824999999999997,-0.1479335,0.47022,0.037323,-0.1783035,0.24831999999999999,0.075987,0.15958650000000002,0.46639,0.031624,0.19627650000000002,0.24322,0.05846,-0.2125335,0.059830999999999995,0.038350999999999996,0.22415649999999998,0.02202,0.007516999999999999,-0.0678875,0.0020729999999999998,-0.0005500000000000019,0.0678875,-0.002073,0.0005499999999999984,-0.1065435,-0.32166999999999996,-0.0029730000000000034,0.1032765,-0.33436,-0.020003,-0.0871715,-0.64131,0.031043,0.1148465,-0.63634,0.011476
7,0.015432999999999995,0.733704,-0.032732000000000004,-0.146853,0.470274,0.036254999999999996,-0.177863,0.248524,0.075297,0.160317,0.467204,0.030167,0.197537,0.244394,0.058854000000000004,-0.211553,0.061135,0.039962,0.224037,0.022951,0.009196,-0.067667,0.0021309999999999996,1.7999999999997185e-05,0.067667,-0.002131,-1.8000000000000654e-05,-0.107873,-0.32206599999999996,-0.004471000000000003,0.101447,-0.336396,-0.021325999999999998,-0.090059,-0.6428159999999999,0.030268999999999997,0.111427,-0.636556,0.009686999999999998
8,0.016791,0.7337305,-0.033739,-0.145973,0.4704405,0.035801,-0.17690299999999998,0.2487305,0.074995,0.16143700000000002,0.46730049999999995,0.02962,0.198797,0.24470050000000002,0.059446,-0.210723,0.0612515,0.039432999999999996,0.225247,0.023067499999999998,0.010639,-0.067687,0.0022475,0.00020699999999999885,0.067687,-0.0022475000000000004,-0.00020699999999999885,-0.107973,-0.32287950000000004,-0.004969000000000001,0.100867,-0.3367195,-0.021917,-0.091271,-0.6433595,0.029847,0.11004699999999999,-0.6365795000000001,0.008968999999999998
9,0.017757500000000002,0.733691,-0.0349665,-0.1452565,0.470591,0.0353485,-0.1758065,0.248931,0.0748675,0.1620935,0.467391,0.0290725,0.2000035,0.245141,0.0598065,-0.2095065,0.059759,0.0388515,0.2263935,0.023301,0.0118995,-0.0676735,0.002348,0.000507500000000001,0.0676735,-0.0023480000000000003,-0.000507500000000001,-0.1083765,-0.324029,-0.005475499999999998,0.1000035,-0.337289,-0.0226775,-0.0930315,-0.6438389999999999,0.0294035,0.10806349999999999,-0.636849,0.008147500000000002
