FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z,activity_label
0,1.0003535,0.762875,0.0640725,0.8480965,0.463945,0.0730295,0.8137265,0.213005,0.0738825,1.1649365,0.462155,0.0608795,1.1802165,0.211945,0.0568635,0.7982665,0.011088,-0.0016324999999999,1.1927165,0.009565,-0.0173824999999999,0.9265105,-0.0008479999999999,-0.0012554999999999,1.0734895,0.000848,0.0012554999999999,0.8869565,-0.414385,0.0178925,1.1217265,-0.391255,-0.0140165,0.8774865000000001,-0.738215,-0.0132574999999999,1.1251165,-0.734715,-0.0153454999999999,0
1,1.000227,0.7628315,0.0634895,0.848012,0.4637615,0.0725175,0.814082,0.2129215,0.0736935,1.164772,0.4620315,0.0610205,1.1800419999999998,0.2121515,0.0564285,0.798552,0.0109325,-0.0015715,1.192792,0.0098444999999999,-0.0179685,0.926539,-0.0009534999999999,-0.0007285,1.073461,0.0009534999999999,0.0007285,0.887112,-0.4168085,0.0180984999999999,1.121702,-0.3913585,-0.0146235,0.877942,-0.7387085,-0.0125725,1.125342,-0.7357885000000001,-0.0168405,0
2,1.0001025,0.7628975,0.063523,0.8479255,0.4636774999999999,0.072391,0.8141555,0.2129775,0.074423,1.1653255,0.4627374999999999,0.059209,1.1797755,0.2127775,0.056487,0.7987955,0.0111395,-0.0013339999999999,1.1926255,0.0104855,-0.0179379999999999,0.9265625,-0.0009895,-0.0005769999999999,1.0734375,0.0009895,0.000577,0.8871255,-0.4168725,0.018224,1.1217255,-0.3913425,-0.0148079999999999,0.8783255,-0.7388425000000001,-0.0097729999999999,1.1252455,-0.7357325,-0.0170509999999999,0
3,1.0000845,0.7630899999999999,0.063635,0.8481475,0.46354,0.072185,0.8145975000000001,0.21346,0.074992,1.1657275,0.46327,0.058344,1.1797175,0.21314,0.056507,0.7990875,0.011575,-0.0006019999999999,1.1925775,0.010961,-0.018268,0.9266205,-0.001009,-0.0002449999999999,1.0733795,0.001009,0.000245,0.8869475,-0.417,0.017669,1.1216675,-0.39131,-0.0152069999999999,0.8781475000000001,-0.73873,-0.0103689999999999,1.1248775,-0.7378600000000001,-0.0168699999999999,0
4,0.9996665,0.7634375,0.059133,0.8479685000000001,0.4638374999999999,0.069386,0.8145685,0.2137375,0.073914,1.1653685,0.4635875,0.056009,1.1795185,0.2135975,0.055242,0.7997585,0.0112314999999999,-0.0001039999999999,1.1927285,0.0110195,-0.0183739999999999,0.9266235,-0.0010554999999999,-0.0002019999999999,1.0733765,0.0010555,0.000202,0.8873085,-0.4154825,0.019889,1.1219385,-0.3911625,-0.0128209999999999,0.8786484999999999,-0.7390924999999999,-0.0065419999999999,1.1249385,-0.7372425,-0.0124959999999999,0
5,0.999537,0.7634595000000001,0.0591349999999999,0.848233,0.4637595,0.069382,0.815593,0.2142595,0.075027,1.166053,0.4643295,0.053922,1.179353,0.2137495,0.0549959999999999,0.8007029999999999,0.0118355,0.0007839999999999,1.192823,0.0106785,-0.016997,0.926671,-0.0010875,-1.1000000000004062e-05,1.073329,0.0010875,1.0999999999997123e-05,0.887013,-0.4152504999999999,0.0198669999999999,1.121873,-0.3912104999999999,-0.012973,0.877833,-0.7389205,-0.008521,1.124683,-0.7362704999999999,-0.012023,0
6,0.999396,0.7632135,0.0588859999999999,0.84857,0.4636135,0.069194,0.81628,0.2147235,0.074388,1.16621,0.4650435,0.0533179999999999,1.1798,0.2131835,0.05402,0.8030200000000001,0.0104295,-0.00713,1.19973,0.0087405,-0.02553,0.926681,-0.0011184999999999,0.0004839999999999,1.073319,0.0011184999999999,-0.000484,0.88712,-0.4137564999999999,0.0190209999999999,1.12184,-0.3913065,-0.013325,0.87844,-0.7365565,-0.007646,1.12407,-0.7379265,-0.011164,0
7,0.9997625,0.762374,0.061034,0.8499245,0.464694,0.06826,0.7978945,0.234114,0.0555549999999999,1.1647445,0.466034,0.055901,1.1990845,0.232384,0.032706,0.7724945,0.049054,-0.045535,1.2293545,0.047146,-0.069457,0.9264965,-0.0010689999999999,0.0002909999999999,1.0735035,0.001069,-0.0002909999999999,0.8875245,-0.412536,0.019282,1.1221545,-0.386566,-0.012794,0.8781045,-0.738936,-0.009327,1.1242645,-0.737066,-0.013317,0
8,0.9997345,0.7619425,0.0607365,0.8509085000000001,0.4652025,0.0670675,0.7892485000000001,0.2441925,0.0452135,1.1642185,0.4672725,0.0554995,1.2086485,0.2433225,0.0209405,0.7574085,0.0717525,-0.0682815,1.2454385,0.0692315,-0.0929945,0.9264175,-0.0010784999999999,0.0004604999999999,1.0735825,0.0010785,-0.0004605,0.8877285,-0.4114974999999999,0.0194445,1.1222385,-0.3845975,-0.0124365,0.8780685,-0.7391375,-0.0096305,1.1241385,-0.7370475000000001,-0.0130904999999999,0
9,0.9999085,0.7617965,0.0605065,0.8517835,0.4657365,0.0659035,0.7788235,0.2575265,0.0316885,1.1635135,0.4684164999999999,0.0549965,1.2203635,0.2576365,0.0069905,0.7392635000000001,0.0987665,-0.0940905,1.2638235,0.0968465,-0.1197705,0.9263005,-0.0011114999999999,0.0006155,1.0736995,0.0011115,-0.0006154999999999,0.8879635,-0.4104335,0.0193475,1.1222835,-0.3825035,-0.0123654999999999,0.8779235,-0.7391435,-0.0099364999999999,1.1240835,-0.7366834999999999,-0.0130354999999999,0
10,1.0001509999999998,0.7616685000000001,0.060329,0.8525739999999999,0.4662785,0.064573,0.767394,0.2733285,0.016485,1.162874,0.4694985,0.054051,1.232874,0.2743385,-0.0085099999999999,0.720434,0.1329185,-0.123005,1.284134,0.1311985,-0.149035,0.926181,-0.0011455,0.000664,1.073819,0.0011454999999999,-0.0006639999999999,0.888234,-0.4093815,0.019078,1.122354,-0.3803915,-0.012398,0.877774,-0.7391515,-0.0104309999999999,1.124064,-0.7365514999999999,-0.0130899999999999,0
11,1.0004645,0.7614690000000001,0.060172,0.8531635,0.466889,0.063177,0.7541335,0.292729,0.0007479999999999,1.1621635,0.4704689999999999,0.053079,1.2466635,0.293259,-0.024231,0.7011935,0.172389,-0.152954,1.3037235,0.171779,-0.179514,0.9260425,-0.0011579999999999,0.000649,1.0739575,0.0011579999999999,-0.000649,0.8885435,-0.408561,0.018763,1.1224635,-0.378321,-0.012527,0.8776235,-0.739301,-0.01102,1.1241135,-0.736571,-0.013312,0
