FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z,activity_label
0,0.0051764999999999,0.7585620000000001,0.0661465,-0.1669075,0.459862,0.0705534999999999,-0.2042875,0.2442019999999999,0.0102034999999999,0.1603125,0.458122,0.0664075,0.2063924999999999,0.2415419999999999,0.0160924999999999,-0.2491075,0.070014,-0.1119295,0.2313724999999999,0.069786,-0.1157295,-0.0724545,0.0021179999999999,0.0004674999999999,0.0724545,-0.002118,-0.0004675,-0.1227375,-0.379998,-0.0102605,0.1104824999999999,-0.414538,0.0119894999999999,-0.1257875,-0.7321679999999999,-0.0135065,0.1104225,-0.7399279999999999,-0.0146115,0
1,0.0043765,0.757357,0.0720814999999999,-0.1589084999999999,0.467197,0.0674075,-0.2443285,0.3048869999999999,-0.0574985,0.1535815,0.460327,0.0599534999999999,0.2424815,0.2895569999999999,-0.0497605,-0.3015085,0.191417,-0.2358154999999999,0.2769415,0.173807,-0.2328555,-0.0729644999999999,0.002171,-0.0005824999999999,0.0729644999999999,-0.0021709999999999,0.0005824999999999,-0.1247085,-0.366493,-0.0096785,0.1086115,-0.406903,0.0119804999999999,-0.1262785,-0.7282230000000001,-0.0107805,0.1065515,-0.745003,-0.0138155,0
2,0.004135,0.7569945,0.0747695,-0.1555369999999999,0.4682245,0.0653425,-0.261007,0.3289944999999999,-0.0718535,0.154293,0.4609445,0.0592895,0.253303,0.3154944999999999,-0.0770535,-0.320397,0.2403945,-0.2633135,0.302073,0.2372845,-0.2763135,-0.073073,0.0021545,-0.0003934999999999,0.073073,-0.0021544999999999,0.0003935,-0.124917,-0.3657255,-0.0097954999999999,0.107973,-0.4054955,0.0117435,-0.125847,-0.7286855,-0.0093264999999999,0.105363,-0.7454255000000001,-0.0137604999999999,0
3,0.004095,0.7569819999999999,0.0757565,-0.1523479999999999,0.469432,0.0634535,-0.2668979999999999,0.350682,-0.0856465,0.148762,0.465102,0.0585885,0.253222,0.331292,-0.0857865,-0.3306179999999999,0.283352,-0.2842865,0.307242,0.255222,-0.3639565,-0.073284,0.002012,0.0001945,0.073284,-0.002012,-0.0001945,-0.125118,-0.3648079999999999,-0.0099585,0.106972,-0.405848,0.0113335,-0.125988,-0.7282080000000001,-0.0100504999999999,0.103102,-0.747498,-0.0113494999999999,0
4,0.000756,0.757498,0.0724085,-0.153471,0.469408,0.0591015,-0.2721409999999999,0.371328,-0.1017695,0.144779,0.467348,0.0539675,0.276559,0.376338,-0.1288595,-0.348011,0.321828,-0.3011795,0.312679,0.302618,-0.3326194999999999,-0.0734779999999999,0.001548,0.0009314999999999,0.0734779999999999,-0.001548,-0.0009315,-0.1232109999999999,-0.364642,-0.0078215,0.1088389999999999,-0.406022,0.0137844999999999,-0.122721,-0.728442,-0.0058255,0.106669,-0.747072,-0.0074385,0
5,0.0008524999999999,0.7565580000000001,0.07278,-0.1561975,0.468728,0.057379,-0.2912275,0.425058,-0.11367,0.1512425,0.468018,0.052183,0.2788724999999999,0.417108,-0.12787,-0.3563175,0.422838,-0.33232,0.3179225,0.429648,-0.34595,-0.0737835,0.001693,0.002234,0.0737835,-0.001693,-0.002234,-0.1229775,-0.3639019999999999,-0.00861,0.1086424999999999,-0.405902,0.012457,-0.1219875,-0.7289019999999999,-0.005135,0.1075425,-0.747352,-0.0093349999999999,0
6,0.0007994999999999,0.754263,0.0726505,-0.1541805,0.472833,0.0537085,-0.3007105,0.469253,-0.1120424999999999,0.1544195,0.467673,0.0499665,0.2920195,0.478153,-0.1240824999999999,-0.3657404999999999,0.517023,-0.3382725,0.3243495,0.530303,-0.3430325,-0.0740595,0.0021829999999999,0.0028334999999999,0.0740595,-0.0021829999999999,-0.0028335,-0.1226705,-0.364687,-0.0100175,0.1084395,-0.408077,0.0108934999999999,-0.1212505,-0.733197,-0.0068795,0.1068495,-0.750327,-0.0103105,0
7,0.0014114999999999,0.749558,0.0729954999999999,-0.1539725,0.473108,0.0531785,-0.2844725,0.4874379999999999,-0.0849845,0.1524275,0.473798,0.0514955,0.2738375,0.497208,-0.0919345,-0.3455125,0.5466679999999999,-0.2812045,0.3076675,0.553828,-0.2892745,-0.0737035,0.0019699999999999,0.0014715,0.0737035,-0.00197,-0.0014715,-0.1230925,-0.374352,-0.0105364999999999,0.1081175,-0.413002,0.0103615,-0.1231325,-0.737732,-0.0091074999999999,0.1068475,-0.7535620000000001,-0.0112195,0
8,0.0012755,0.7472065,0.072711,-0.1538135,0.4750765,0.0516,-0.2845535,0.5206765,-0.085538,0.1521365,0.4765065,0.050812,0.2749565,0.5350765,-0.0924379999999999,-0.3455935,0.6085565000000001,-0.281758,0.3075865,0.6205965,-0.289828,-0.0736805,0.0019745,0.001437,0.0736805,-0.0019745,-0.0014369999999999,-0.1231235,-0.3781635,-0.0107739999999999,0.1078565,-0.4156335,0.009963,-0.1231434999999999,-0.7406335,-0.0092379999999999,0.1064765,-0.7568535,-0.011324,0
9,0.0012275,0.745322,0.07231,-0.1538195,0.476932,0.0507549999999999,-0.2846395,0.553342,-0.084964,0.1518805,0.478942,0.0503679999999999,0.2749105,0.568472,-0.092794,-0.3458195,0.669602,-0.277204,0.3073205,0.685482,-0.283944,-0.0736175,0.0020429999999999,0.001398,0.0736175,-0.0020429999999999,-0.001398,-0.1231095,-0.380748,-0.011157,0.1077505,-0.418288,0.0095249999999999,-0.1231594999999999,-0.742908,-0.009518,0.1064305,-0.759508,-0.01176,0
