FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z,activity_label
0,0.990993,0.7649135,0.0201345,0.8372269999999999,0.5083435,0.0221505,0.772747,0.2684735,-0.0269935,1.170487,0.5021935,0.0106485,1.225127,0.2647735,0.0066405,0.826377,0.3266635,-0.2379405,1.226177,0.0681525,-0.0688105,0.925567,0.0004355,8.150000000000518e-05,1.074433,-0.0004355,-8.149999999999824e-05,0.911106,-0.3434865,0.0585425,1.0952259999999998,-0.3407165,0.0433405,0.911469,-0.6563665000000001,0.0905435,1.098559,-0.6518765000000001,0.0796024999999999,0
1,0.9910855,0.76485,0.020054,0.8374254999999999,0.50826,0.021918,0.7687655,0.26607,-0.0212709999999999,1.1704355,0.5023000000000001,0.009995,1.2254955,0.2648999999999999,0.0061299999999999,0.8352155,0.32635,-0.227507,1.2267055,0.06835,-0.069577,0.9255535,0.000455,0.0001039999999999,1.0744465,-0.000455,-0.0001039999999999,0.9111685,-0.34348,0.058426,1.0960155,-0.34226,0.043813,0.9115915,-0.6575099999999999,0.090971,1.0984985,-0.65157,0.079053,0
2,0.991086,0.7648325,0.020021,0.837439,0.5081825000000001,0.021876,0.768499,0.2658525,-0.0209059999999999,1.170389,0.5022725,0.009841,1.225509,0.2649125,0.0061189999999999,0.830659,0.3291925,-0.231032,1.226829,0.0684005,-0.0697019999999999,0.925545,0.0004525,0.000132,1.074455,-0.0004525,-0.000132,0.911185,-0.3434575,0.058338,1.096133,-0.3421475,0.043554,0.911542,-0.6573275,0.090975,1.098769,-0.6527075,0.079003,0
3,0.991053,0.764801,0.0198915,0.837396,0.508181,0.0218515,0.768006,0.265401,-0.0187844999999999,1.170316,0.502181,0.0094525,1.225576,0.264771,0.0058465,0.830076,0.329121,-0.2312165,1.226846,0.06824,-0.0699364999999999,0.925552,0.000441,0.0001304999999999,1.074448,-0.000441,-0.0001304999999999,0.911199,-0.343699,0.0583285,1.096077,-0.342109,0.0435005,0.911557,-0.657329,0.0909035,1.098728,-0.652489,0.0788765,0
4,0.991038,0.7647415,0.0199209999999999,0.837448,0.5081215,0.0218379999999999,0.7678880000000001,0.2652515,-0.018709,1.170338,0.5021715,0.0095409999999999,1.225568,0.2649815,0.005919,0.823448,0.3339915,-0.235444,1.226888,0.0684785,-0.069954,0.925553,0.0004414999999999,0.0001299999999999,1.074447,-0.0004415,-0.00013,0.911199,-0.3437085,0.058334,1.096096,-0.3421685,0.043538,0.911572,-0.6572085000000001,0.090823,1.09815,-0.6517685000000001,0.0780619999999999,0
5,0.990914,0.764768,0.019867,0.837225,0.507958,0.021654,0.767535,0.265078,-0.0186449999999999,1.170315,0.502158,0.009464,1.225525,0.265318,0.005849,0.8221849999999999,0.3343779999999999,-0.2362479999999999,1.226875,0.068766,-0.069868,0.925553,0.000437,0.000128,1.074447,-0.000437,-0.0001279999999999,0.91118,-0.343712,0.058277,1.096001,-0.342672,0.043619,0.911667,-0.6571020000000001,0.090561,1.098069,-0.651672,0.077903,0
6,0.990885,0.764704,0.0197865,0.837115,0.507974,0.0217305,0.7672550000000001,0.264864,-0.0177815,1.170295,0.5021340000000001,0.0094365,1.225525,0.265354,0.0057925,0.820735,0.3354939999999999,-0.2370665,1.226955,0.0687749999999999,-0.0698565,0.925558,0.000448,9.25000000000023e-05,1.074442,-0.0004479999999999,-9.249999999999536e-05,0.911274,-0.343716,0.0583675,1.096453,-0.339946,0.0429995,0.911696,-0.6568259999999999,0.0904515,1.098378,-0.652046,0.0782095,0
7,0.990893,0.7646784999999999,0.019846,0.837286,0.5080884999999999,0.021786,0.7673760000000001,0.2645785,-0.016742,1.170296,0.5021785,0.009501,1.225386,0.2654885,0.005922,0.8245560000000001,0.3305985,-0.233982,1.226986,0.0688665,-0.0695619999999999,0.925561,0.0004445,0.0001169999999999,1.074439,-0.0004444999999999,-0.0001169999999999,0.911313,-0.3436415,0.05831,1.096185,-0.3406015,0.043258,0.911824,-0.6567415000000001,0.090496,1.0987619999999998,-0.6523715,0.078629,0
8,0.99087,0.7646360000000001,0.019831,0.8372750000000001,0.5080760000000001,0.021788,0.7672550000000001,0.264326,-0.0157249999999999,1.170255,0.502186,0.009484,1.225375,0.265586,0.005904,0.8242550000000001,0.330556,-0.2337109999999999,1.227005,0.068934,-0.0695809999999999,0.925562,0.000448,0.000116,1.074438,-0.000448,-0.0001159999999999,0.91133,-0.343654,0.058297,1.096205,-0.340444,0.043245,0.911865,-0.656744,0.090476,1.098803,-0.652574,0.078609,0
9,0.9908435,0.7646165,0.0198034999999999,0.8372555,0.5080765,0.0217845,0.7671255000000001,0.2640565,-0.0147645,1.1702255,0.5021665,0.0094654999999999,1.2253355,0.2656465,0.0058944999999999,0.8237555,0.3305465,-0.2338805,1.2270255,0.0689475,-0.0695405,0.9255625,0.0004475,0.0001154999999999,1.0744375,-0.0004475,-0.0001155,0.9113635,-0.3436635,0.0582774999999999,1.0962235,-0.3401135,0.0431775,0.9119375,-0.6566335,0.0904135,1.0988815,-0.6527535,0.0785885,0
