FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z,activity_label
0,-0.0010115,0.7598,0.023647,-0.1814855,0.49498,0.015837,-0.2288355,0.2497899999999999,0.001668,0.1686145,0.5040100000000001,0.021205,0.2164445,0.28111,-0.035547,-0.2198355,0.06778,-0.075043,0.1128444999999999,0.35814,-0.230563,-0.0745245,-0.001315,-0.000938,0.0745245,0.001315,0.000938,-0.0964865,-0.32902,0.037672,0.0997964999999999,-0.33923,0.0508259999999999,-0.1080555,-0.64267,0.078736,0.0990075,-0.64687,0.081991,0
1,-0.000992,0.759819,0.023633,-0.18159,0.495099,0.015988,-0.22887,0.249869,0.0016849999999999,0.16862,0.504029,0.021195,0.2163,0.280719,-0.035756,-0.21983,0.067734,-0.0751449999999999,0.11185,0.357519,-0.230925,-0.074525,-0.001313,-0.000937,0.074525,0.001313,0.000937,-0.095984,-0.330081,0.037873,0.099772,-0.339351,0.050967,-0.10788,-0.643091,0.078711,0.0990399999999999,-0.6469010000000001,0.082174,0
2,-0.0009505,0.7596959999999999,0.0236345,-0.1815835,0.495016,0.0160395,-0.2288935,0.249826,0.0016844999999999,0.1686765,0.5039659999999999,0.0212115,0.2160965,0.280476,-0.0360005,-0.2198435,0.067698,-0.0750875,0.1119465,0.357616,-0.2308675,-0.0745285,-0.001281,-0.0009515,0.0745285,0.001281,0.0009515,-0.0960075,-0.329774,0.0379005,0.0998085,-0.339294,0.0509395,-0.1078435,-0.643084,0.0787665,0.0990785,-0.646864,0.0821785,0
3,-0.0009395,0.7596995000000001,0.023614,-0.1815945,0.4950695,0.016052,-0.2288845,0.2497895,0.001702,0.1687354999999999,0.5039295,0.021126,0.2159955,0.2803495,-0.0361149999999999,-0.2198145,0.0676455,-0.075084,0.1090355,0.3576695,-0.229794,-0.0745295,-0.0012785,-0.0009509999999999,0.0745295,0.0012785,0.000951,-0.0959755,-0.3298205,0.037889,0.0998825,-0.3391605,0.050863,-0.1079645,-0.6430904999999999,0.078462,0.0989865,-0.6468704999999999,0.082142,0
4,-0.000925,0.7596895,0.0234724999999999,-0.181648,0.4951595,0.0160034999999999,-0.228888,0.2497695,0.0016504999999999,0.168762,0.5039095,0.0210424999999999,0.215552,0.2794895,-0.0342545,-0.219768,0.0675945,-0.0750475,0.112152,0.3570095,-0.2316875,-0.074514,-0.0012924999999999,-0.0010005,0.074514,0.0012925,0.0010004999999999,-0.095969,-0.3298005,0.0378164999999999,0.099906,-0.3391705,0.0508145,-0.107878,-0.6427805,0.0782835,0.09902,-0.6469505,0.0821155,0
5,-0.0008864999999999,0.759748,0.023403,-0.1816765,0.495268,0.015944,-0.2288665,0.249798,0.001589,0.1688435,0.503898,0.02094,0.2157234999999999,0.281058,-0.037715,-0.2197265,0.067607,-0.075039,0.1124935,0.357708,-0.2309089999999999,-0.0745234999999999,-0.001318,-0.000973,0.0745234999999999,0.001318,0.000973,-0.0958965,-0.329742,0.037734,0.0999424999999999,-0.3387619999999999,0.050811,-0.1077465,-0.6425420000000001,0.078257,0.0989775,-0.6469520000000001,0.0820029999999999,0
6,-0.0009214999999999,0.7597349999999999,0.0232765,-0.1818665,0.495445,0.0161344999999999,-0.2289365,0.249885,0.0015504999999999,0.1688735,0.5040049999999999,0.0209234999999999,0.2155235,0.280495,-0.0382124999999999,-0.2197665,0.067558,-0.0748895,0.1129635,0.354845,-0.2363695,-0.0745345,-0.0013,-0.0009065,0.0745345,0.0013,0.0009064999999999,-0.0958215,-0.329385,0.0377944999999999,0.0999725,-0.338725,0.0508275,-0.1078964999999999,-0.642335,0.0783725,0.0989205,-0.6471450000000001,0.0821295,0
7,-0.0009695,0.75962,0.0230085,-0.1817095,0.49523,0.0159155,-0.2288595,0.24986,0.0015535,0.1687805,0.50408,0.0209265,0.2155905,0.28083,-0.0386305,-0.2197595,0.06759,-0.0748945,0.1119604999999999,0.35855,-0.2302145,-0.0745355,-0.001304,-0.0008994999999999,0.0745355,0.001304,0.0008995,-0.0962165,-0.32911,0.0376265,0.0999605,-0.33869,0.0507505,-0.1079094999999999,-0.64271,0.0783775,0.0990065,-0.64681,0.0820675,0
8,-0.00097,0.7595925,0.0228594999999999,-0.181732,0.4952525,0.0159035,-0.228862,0.2498525,0.0015114999999999,0.168788,0.5041025,0.0208855,0.215518,0.2807825,-0.0390865,-0.219752,0.0675665,-0.0748605,0.111708,0.3589024999999999,-0.2299004999999999,-0.074537,-0.0013015,-0.0008825,0.074537,0.0013015,0.0008825,-0.096194,-0.3290975,0.0376115,0.0999729999999999,-0.3385875,0.0507175,-0.107912,-0.6427474999999999,0.0783615,0.099001,-0.6467275,0.0820775,0
9,-0.0009714999999999,0.7595615,0.022697,-0.1817635,0.4952615,0.015857,-0.2288635,0.2498315,0.001473,0.1688065,0.5041215,0.020871,0.2154465,0.2807615,-0.0395149999999999,-0.2197535,0.0675385,-0.07482,0.1115065,0.3595415,-0.22936,-0.0745375,-0.0012994999999999,-0.0008659999999999,0.0745375,0.0012994999999999,0.000866,-0.0962275,-0.3290185,0.037571,0.0999875,-0.3384784999999999,0.050677,-0.1079235,-0.6427285,0.078372,0.0989955,-0.6466385,0.082081,0
