ID,Date,SCORE,ForwardHead,LeftArmFallForward,RightArmFallForward,LeftShoulderElevation,RightShoulderElevation,ExcessiveForwardLean,LeftAsymmetricalWeightShift,RightAsymmetricalWeightShift,LeftKneeMovesInward,RightKneeMovesInward,LeftKneeMovesOutward,RightKneeMovesOutward,LeftHeelRises,RightHeelRises
cf0e95ab-d6ec-475a-9cc0-c9444b8dd080.Kinect,7/19/2018,0.612532022533645,0.31,1.34,1.15,0.33,0.49,0,0,0.08,0,0,0,0.77,0,0
6210cc6d-575d-4e9f-bab1-4fe1da2a30a3.Kinect,7/30/2018,0.3888091468218,1.49,1.42,1.39,0,0,1.08,0.1,0,0,0,0,0.4,0,0
2fc2eaad-c098-4b91-94c8-40241da1908e.Kinect,6/19/2018,0.205311143045001,0.01,1.02,1.5,1.07,0.61,0,1.5,0,0,0.95,1.18,0,0,0
60ccb803-a949-403b-80d0-80f8aa36c60d.Kinect,8/25/2018,0.0733998647488901,0,1.01,0.01,0.02,0,0,0,0,0,0,1.36,1.5,0.21,1.3
90a7047d-452c-4889-b985-3f99afbb9ec0.Kinect,5/9/2018,0.728730561444246,0,0,0,1.35,1.31,0.05,0,0,0.08,0.62,0,0,0,0
d52c0a3e-e4b7-4620-8f8b-0f0a3b3f7cc8.Kinect,7/29/2018,0.800711140510889,0,0.32,0.94,1.01,0.93,0,0,0,0,0,0.01,0.01,0,0
90035469-1745-406c-957a-2f3b9844d9af.Kinect,6/8/2018,0.405614292617828,1.5,1.04,1.06,0.08,0.04,0.26,1.38,0,0,0,0,0,0,0
3047dd40-0fb8-452b-b77c-fb651bc1ded3.Kinect,9/4/2018,0.753003525957606,0,1.21,1.14,0,0,0,0,0,0,0,0.62,0,0,0
f297016b-c442-4241-9573-3b85ec30bec0.Kinect,6/1/2018,0.779679238040804,0,0.99,1.08,0.9,0.39,0,0,0,0.03,0.1,0,0,0,0
0e4c9235-ef26-47fd-883d-ccc277836c29.Kinect,10/19/2018,0.764149546770106,0.12,1.43,1.5,0.01,0,0,0,0,0.35,0.17,0,0,0,0
debbd76a-0f08-4a10-b17e-b59002548839.Kinect,6/19/2018,0.69769722438401,0,1.09,1.1,0.02,1.07,0.19,0.13,0,0,0,0.08,0.01,0,0
