FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z
0,-0.0003535000000000018,0.762875,0.0640725,-0.1649365,0.462155,0.0608795,-0.1802165,0.211945,0.0568635,0.1519035,0.463945,0.0730295,0.1862735,0.213005,0.0738825,-0.1927165,0.009565,-0.017382499999999995,0.2017335,0.011088,-0.001632499999999995,-0.0734895,0.000848,0.0012554999999999997,0.0734895,-0.0008479999999999998,-0.0012554999999999997,-0.1217265,-0.391255,-0.014016500000000001,0.1130435,-0.414385,0.017892500000000002,-0.12511650000000002,-0.734715,-0.015345499999999998,0.1225135,-0.738215,-0.013257499999999998
1,-0.000226999999999995,0.7628315,0.0634895,-0.16477199999999997,0.4620315,0.0610205,-0.18004199999999998,0.2121515,0.0564285,0.151988,0.4637615,0.0725175,0.18591800000000003,0.2129215,0.0736935,-0.19279200000000002,0.009844499999999999,-0.017968500000000005,0.20144800000000002,0.0109325,-0.0015715000000000034,-0.073461,0.0009534999999999999,0.0007285,0.073461,-0.0009534999999999999,-0.0007285,-0.12170199999999999,-0.3913585,-0.014623500000000005,0.112888,-0.4168085,0.018098499999999997,-0.125342,-0.7357885000000001,-0.0168405,0.122058,-0.7387085,-0.0125725
2,-0.00010250000000000016,0.7628975,0.063523,-0.16532550000000001,0.46273749999999997,0.059209000000000005,-0.17977549999999998,0.2127775,0.05648700000000001,0.1520745,0.46367749999999996,0.07239100000000001,0.18584450000000002,0.21297750000000001,0.074423,-0.1926255,0.0104855,-0.017937999999999996,0.2012045,0.0111395,-0.001333999999999995,-0.0734375,0.0009895,0.0005770000000000011,0.0734375,-0.0009895000000000004,-0.0005769999999999942,-0.1217255,-0.39134250000000004,-0.014807999999999995,0.1128745,-0.41687250000000003,0.018224000000000004,-0.1252455,-0.7357325,-0.017050999999999997,0.1216745,-0.7388425000000001,-0.009772999999999997
3,-8.450000000000558e-05,0.7630899999999999,0.063635,-0.16572750000000003,0.46327,0.05834400000000001,-0.17971750000000003,0.21314,0.056507,0.1518525,0.46354,0.072185,0.18540249999999997,0.21346,0.074992,-0.1925775,0.010961,-0.018268,0.2009125,0.011575,-0.0006019999999999984,-0.0733795,0.0010090000000000001,0.00024500000000000216,0.0733795,-0.001009,-0.0002449999999999952,-0.12166750000000001,-0.39131,-0.015206999999999998,0.1130525,-0.417,0.017669000000000004,-0.1248775,-0.7378600000000001,-0.016869999999999996,0.12185249999999999,-0.73873,-0.010368999999999996
4,0.0003334999999999974,0.7634375,0.059133000000000005,-0.1653685,0.4635875,0.056009,-0.1795185,0.2135975,0.055242,0.15203149999999999,0.46383749999999996,0.069386,0.1854315,0.2137375,0.07391400000000001,-0.1927285,0.011019500000000002,-0.018373999999999995,0.2002415,0.011231499999999998,-0.00010399999999999299,-0.07337650000000001,0.0010555000000000009,0.0002020000000000008,0.07337650000000001,-0.0010554999999999991,-0.00020199999999999385,-0.1219385,-0.3911625,-0.012820999999999999,0.1126915,-0.41548250000000003,0.019889000000000004,-0.12493850000000001,-0.7372425,-0.012495999999999993,0.1213515,-0.7390924999999999,-0.006541999999999999
5,0.00046300000000000117,0.7634595000000001,0.05913499999999999,-0.166053,0.4643295,0.053922,-0.179353,0.2137495,0.05499599999999999,0.151767,0.46375950000000005,0.069382,0.184407,0.2142595,0.075027,-0.192823,0.010678500000000002,-0.016997000000000005,0.199297,0.0118355,0.000783999999999993,-0.073329,0.0010875,1.0999999999997123e-05,0.073329,-0.0010875,-1.1000000000004062e-05,-0.121873,-0.39121049999999996,-0.012973000000000005,0.112987,-0.41525049999999997,0.019866999999999996,-0.124683,-0.7362704999999999,-0.012023000000000006,0.122167,-0.7389205,-0.008521000000000008
6,0.0006039999999999982,0.7632135,0.058885999999999994,-0.16621000000000002,0.4650435,0.05331799999999999,-0.17980000000000002,0.2131835,0.05402,0.15143,0.4636135,0.069194,0.18372,0.2147235,0.074388,-0.19973000000000002,0.008740500000000002,-0.025530000000000004,0.19698,0.010429500000000001,-0.007130000000000004,-0.073319,0.0011184999999999997,-0.00048400000000000526,0.073319,-0.0011184999999999997,0.0004839999999999983,-0.12184,-0.3913065,-0.013325000000000004,0.11288,-0.41375649999999997,0.019020999999999996,-0.12407,-0.7379265,-0.011164000000000007,0.12156,-0.7365565,-0.007646000000000007
7,0.00023749999999999943,0.762374,0.061034,-0.1647445,0.466034,0.055901,-0.1990845,0.232384,0.032706,0.1500755,0.464694,0.06826,0.2021055,0.234114,0.05555499999999999,-0.2293545,0.047146,-0.069457,0.2275055,0.049054,-0.045535000000000006,-0.0735035,0.0010690000000000005,-0.0002909999999999996,0.0735035,-0.0010689999999999988,0.0002909999999999996,-0.1221545,-0.386566,-0.012794,0.1124755,-0.412536,0.019282,-0.1242645,-0.737066,-0.013317000000000002,0.1218955,-0.738936,-0.009327000000000002
8,0.00026549999999999664,0.7619425,0.0607365,-0.16421850000000002,0.46727250000000004,0.0554995,-0.20864850000000001,0.24332250000000002,0.0209405,0.1490915,0.4652025,0.0670675,0.21075149999999998,0.2441925,0.045213500000000004,-0.2454385,0.0692315,-0.09299450000000001,0.2425915,0.0717525,-0.0682815,-0.0735825,0.0010785000000000013,-0.0004605000000000026,0.0735825,-0.0010784999999999996,0.0004604999999999991,-0.1222385,-0.3845975,-0.012436500000000003,0.1122715,-0.41149749999999996,0.0194445,-0.12413850000000001,-0.7370475000000001,-0.013090499999999998,0.1219315,-0.7391375,-0.0096305
9,9.150000000000477e-05,0.7617965,0.060506500000000005,-0.1635135,0.46841649999999996,0.054996500000000004,-0.2203635,0.2576365,0.006990500000000004,0.1482165,0.4657365,0.0659035,0.2211765,0.2575265,0.0316885,-0.2638235,0.0968465,-0.1197705,0.26073650000000004,0.09876650000000001,-0.0940905,-0.0736995,0.0011115000000000014,-0.000615499999999998,0.0736995,-0.0011114999999999996,0.0006155000000000015,-0.12228349999999999,-0.3825035,-0.012365499999999995,0.11203650000000001,-0.4104335,0.019347500000000004,-0.1240835,-0.7366834999999999,-0.013035499999999998,0.1220765,-0.7391435,-0.009936499999999994
