FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z
0,-0.0015020000000000022,0.7638349999999999,0.049826499999999996,-0.171309,0.48385500000000004,0.011451499999999993,-0.214219,0.22961499999999999,-0.013766500000000008,0.158541,0.478725,0.011737499999999994,0.225481,0.249105,-0.03369150000000001,-0.203559,0.039687,-0.08987050000000002,0.102281,0.35581500000000005,-0.24383050000000003,-0.071975,-0.0014759999999999999,-5.9500000000003994e-05,0.071975,0.0014759999999999999,5.9499999999997055e-05,-0.103399,-0.325385,0.03358149999999999,0.09798899999999999,-0.33212499999999995,0.0453315,-0.112789,-0.641355,0.0742085,0.096043,-0.644185,0.08644849999999998
1,-0.0014865000000000006,0.7638805,0.049922999999999995,-0.1713005,0.4838305,0.011516999999999993,-0.21412050000000002,0.2295405,-0.013786000000000007,0.1585695,0.47875049999999997,0.011809999999999994,0.2258395,0.2484705,-0.03198100000000001,-0.2036205,0.0399125,-0.089707,0.10309950000000001,0.35508049999999997,-0.24244700000000002,-0.07198950000000001,-0.0014805,-0.00010100000000000386,0.07198950000000001,0.0014805,0.00010099999999999693,-0.10338050000000001,-0.3253595,0.033651999999999994,0.0979545,-0.3320695,0.045337999999999996,-0.11265050000000001,-0.6411695000000001,0.074261,0.09600049999999999,-0.6442095,0.08645
2,-0.0014714999999999997,0.76386,0.04993449999999999,-0.1713225,0.48387,0.011502499999999995,-0.2141125,0.23009000000000002,-0.013506500000000005,0.1585975,0.4787,0.011754499999999998,0.2258775,0.24861,-0.03203450000000001,-0.2034925,0.039635,-0.08977450000000001,0.1030475,0.3551,-0.2425045,-0.0719815,-0.001475,-0.00011050000000000643,0.0719815,0.001475,0.00011049999999999949,-0.1033425,-0.32532,0.0336285,0.0980135,-0.33197,0.0452515,-0.1126625,-0.64117,0.0742485,0.0959535,-0.64422,0.08656849999999999
3,-0.0014494999999999996,0.763821,0.049989000000000006,-0.1713325,0.48385100000000003,0.011561000000000002,-0.2140725,0.229991,-0.013439,0.1586075,0.478671,0.011768,0.2258775,0.248671,-0.032031,-0.2034325,0.039317000000000005,-0.089787,0.1030575,0.356061,-0.242027,-0.0719885,-0.001488,-7.599999999999968e-05,0.0719885,0.001488,7.599999999999968e-05,-0.1033025,-0.32530899999999996,0.033741,0.0980985,-0.331959,0.045337,-0.1126625,-0.641139,0.074299,0.0958915,-0.643969,0.08651700000000001
4,-0.0014925000000000016,0.7637915,0.049957,-0.1713415,0.48384150000000004,0.011573,-0.21406150000000002,0.2299215,-0.013422000000000003,0.1585985,0.4786515,0.011781,0.2256685,0.2482815,-0.030248999999999998,-0.20377150000000002,0.040640499999999996,-0.089519,0.1037485,0.3553915,-0.24093900000000001,-0.07198950000000001,-0.0014885,-6.500000000000256e-05,0.07198950000000001,0.0014885,6.499999999999562e-05,-0.10329150000000001,-0.3251785,0.033725,0.09810649999999999,-0.3320185,0.045363,-0.11267150000000001,-0.6411185,0.074361,0.0959505,-0.6440385000000001,0.08655
5,-0.0015114999999999948,0.7637700000000001,0.0500055,-0.17139149999999997,0.48382,0.011620499999999999,-0.2140415,0.22995000000000002,-0.013424499999999999,0.15860849999999999,0.47863,0.011765500000000002,0.2256785,0.24828,-0.030334499999999993,-0.2037715,0.040605,-0.08950450000000001,0.1037185,0.35536999999999996,-0.2410145,-0.0719905,-0.001492,-7.349999999999718e-05,0.0719905,0.001492,7.349999999999718e-05,-0.10345149999999999,-0.32506,0.0336735,0.0981335,-0.33198000000000005,0.0453705,-0.1126515,-0.64116,0.0743965,0.0958925,-0.64399,0.0866725
6,-0.0015395000000000012,0.763494,0.0501775,-0.1714395,0.483524,0.011645500000000003,-0.2140795,0.229844,-0.013247499999999995,0.1585705,0.478364,0.011801500000000003,0.2256205,0.248134,-0.030194499999999992,-0.2038395,0.040483000000000005,-0.0894015,0.1023205,0.354224,-0.2406015,-0.0719635,-0.0015109999999999998,-4.849999999999993e-05,0.0719635,0.001511,4.849999999999993e-05,-0.1034995,-0.325346,0.0337545,0.0981945,-0.332326,0.045428500000000004,-0.1126695,-0.641386,0.0744895,0.0958895,-0.6442060000000001,0.08672650000000001
7,-0.0015300000000000044,0.763803,0.05011449999999999,-0.171475,0.483853,0.011778499999999997,-0.21402500000000002,0.229953,-0.013277500000000005,0.15859499999999999,0.478633,0.011695499999999998,0.22567500000000001,0.248753,-0.03177350000000001,-0.203795,0.040613,-0.0893815,0.102335,0.355713,-0.2416915,-0.072007,-0.0014889999999999999,2.6499999999998747e-05,0.072007,0.0014889999999999999,-2.6500000000005686e-05,-0.10355500000000001,-0.325187,0.0337515,0.098174,-0.33187700000000003,0.045121499999999995,-0.112555,-0.640887,0.0745025,0.095676,-0.644277,0.08661949999999999
8,-0.0015400000000000025,0.763804,0.050147,-0.17151,0.48386399999999996,0.011821000000000002,-0.21398999999999999,0.229964,-0.013205000000000001,0.1586,0.478614,0.011654000000000001,0.22571,0.248724,-0.031699000000000005,-0.2038,0.04065,-0.08930700000000001,0.10228000000000001,0.355794,-0.24156699999999998,-0.072015,-0.00149,4.300000000000137e-05,0.072015,0.00149,-4.300000000000137e-05,-0.10357,-0.325166,0.033768,0.098192,-0.331766,0.045048000000000005,-0.11252999999999999,-0.6408159999999999,0.074545,0.09559499999999999,-0.6443059999999999,0.086673
9,-0.001547499999999998,0.763811,0.0501815,-0.1715425,0.483861,0.011859499999999995,-0.2139525,0.229971,-0.013138500000000004,0.1585975,0.478601,0.011603499999999996,0.2257075,0.248781,-0.031685500000000005,-0.2038025,0.040669000000000004,-0.08925250000000001,0.10216750000000001,0.355931,-0.24143250000000002,-0.0720205,-0.00149,6.0499999999998055e-05,0.0720205,0.00149,-6.0500000000004994e-05,-0.1035725,-0.325159,0.033778499999999996,0.09821250000000001,-0.331629,0.04496649999999999,-0.11250249999999999,-0.640749,0.0745825,0.0955125,-0.644339,0.0867255
