FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z,activity_label
0,1.0035325,0.712734,0.038467,0.8460265000000001,0.502764,0.068521,0.6838465,0.685144,0.081747,1.1743665,0.486474,0.0715379999999999,1.3613265,0.629724,0.094203,0.6686765,0.904704,0.056825,1.4008165,0.829364,0.035414,0.9286315,-0.0011269999999999,-0.0011229999999999,1.0713685,0.001127,0.0011229999999999,0.8852165,-0.448076,0.0153629999999999,1.1240165,-0.399286,-0.011512,0.8712664999999999,-0.793416,-0.010936,1.1237265,-0.7839160000000001,-0.002427,0
1,1.00344,0.712889,0.038551,0.845837,0.502899,0.068586,0.683597,0.685179,0.081549,1.174227,0.486359,0.069647,1.361007,0.630029,0.09404,0.670957,0.922529,0.05368,1.4001869999999998,0.829599,0.034695,0.928664,-0.001101,-0.0010889999999999,1.071336,0.001101,0.0010889999999999,0.885117,-0.448141,0.01532,1.123927,-0.399311,-0.0114739999999999,0.871127,-0.793411,-0.0109179999999999,1.123687,-0.785431,-0.0039809999999999,0
2,1.003431,0.7133109999999999,0.0389425,0.845655,0.502971,0.0685855,0.683325,0.685261,0.0810775,1.173875,0.486151,0.0677595,1.361035,0.631111,0.0929095,0.669925,0.908441,0.0542265,1.398835,0.830951,0.0335955,0.928661,-0.0010889999999999,-0.0011004999999999,1.071339,0.001089,0.0011004999999999,0.884955,-0.448069,0.0152515,1.123955,-0.399209,-0.0112845,0.871175,-0.7936190000000001,-0.0105595,1.123395,-0.785269,-0.0036455,0
3,1.0034385,0.7136165,0.039149,0.8455405,0.5030065,0.068557,0.6834105000000001,0.6851565000000001,0.0806429999999999,1.1731605,0.4862964999999999,0.067856,1.3601204999999998,0.6319065,0.091648,0.6695505000000002,0.9051065,0.054347,1.3984405,0.8318265,0.033084,0.9286885,-0.0011154999999999,-0.0010609999999999,1.0713115,0.0011155,0.0010609999999999,0.8849905,-0.4476235,0.015017,1.1239205,-0.3991535,-0.0111669999999999,0.8715005,-0.7941035,-0.0101319999999999,1.1234605,-0.7849535,-0.0035989999999999,0
4,1.0034584999999998,0.7137960000000001,0.0393144999999999,0.8453535,0.5031760000000001,0.0685834999999999,0.6835635,0.685536,0.0801415,1.1730435,0.486016,0.0663145,1.3599935,0.634036,0.0901225,0.6712835000000001,0.921326,0.0505775,1.3972635,0.834276,0.0321134999999999,0.9287045,-0.0011219999999999,-0.0010785,1.0712955,0.001122,0.0010784999999999,0.8849435,-0.447324,0.0150564999999999,1.1240135,-0.398934,-0.0111425,0.8711835,-0.794144,-0.0095695,1.1233535,-0.7849339999999999,-0.0035765,0
5,1.0031215,0.7137155,0.0402745,0.8449415,0.5030155000000001,0.0692744999999999,0.6833815000000001,0.6850755,0.0804584999999999,1.1732014999999998,0.4872055,0.0690575,1.3593215,0.6348055,0.0896965,0.6713015,0.9235955,0.0511704999999999,1.3961115,0.8352855,0.0322805,0.9287245,-0.0010515,-0.0012665,1.0712754999999998,0.0010514999999999,0.0012664999999999,0.8846615,-0.4466945,0.0145594999999999,1.1236315,-0.3991345,-0.0115085,0.8707615,-0.7937845,-0.0104965,1.1227315,-0.7857545,-0.0052285,0
6,1.0030875,0.714062,0.040323,0.8448725,0.503112,0.069246,0.6834825,0.685342,0.08014,1.1717825,0.486902,0.068508,1.3589125,0.635212,0.089529,0.6700625,0.906542,0.0505199999999999,1.3921825,0.836192,0.031505,0.9287325,-0.001084,-0.001228,1.0712675,0.001084,0.001228,0.8846625,-0.446678,0.014485,1.1236525,-0.399068,-0.011538,0.8704925,-0.793468,-0.0105429999999999,1.1227025,-0.785438,-0.004879,0
7,1.0032264999999998,0.7152465,0.0412775,0.8447645,0.5032565,0.0688585,0.6837345,0.6858765,0.0791325,1.1724045,0.4877065,0.0677685,1.3585445,0.6355865,0.0892565,0.6713145,0.9142065,0.0492385,1.3926945,0.8364865,0.0313345,0.9287185,-0.0010854999999999,-0.0012985,1.0712815,0.0010854999999999,0.0012985,0.8845345,-0.4467735,0.0145935,1.1236945,-0.3992835,-0.0111725,0.8705645,-0.7930735,-0.0102514999999999,1.1229945,-0.7841235,-0.0043404999999999,0
8,1.0032074999999998,0.7157255,0.041792,0.8445785,0.5033355,0.06885,0.6839485000000001,0.6858455,0.07849,1.1722585,0.4879755,0.067717,1.3579885,0.6363155,0.088707,0.6714285,0.9163755,0.048373,1.3915985,0.8389555,0.030883,0.9287225,-0.0010774999999999,-0.0013469999999999,1.0712775,0.0010775,0.001347,0.8843985,-0.4466045,0.014502,1.1236385,-0.3993645,-0.0110699999999999,0.8705785,-0.7928645,-0.0102249999999999,1.1228485,-0.7840845,-0.0043929999999999,0
9,1.003221,0.7162635,0.04243,0.844411,0.5034035,0.068837,0.684261,0.6857135,0.077738,1.172091,0.4882735,0.067667,1.357461,0.6370635,0.088308,0.671801,0.9148035,0.047582,1.390671,0.8401135000000001,0.030802,0.928723,-0.0010685,-0.001396,1.071277,0.0010685,0.001396,0.884261,-0.4464665,0.014447,1.123581,-0.3994364999999999,-0.0109459999999999,0.8705309999999999,-0.7927565,-0.010261,1.122701,-0.7838265,-0.0043979999999999,0
