FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z,activity_label
0,-0.0181835,0.7612805,0.0533115,-0.1847865,0.4797805,-0.0014095,-0.2255665,0.2235005,-0.0240395,0.1590035,0.4744704999999999,0.0135884999999999,0.1916435,0.2240005,0.0349544999999999,-0.2018865,0.0275645,-0.0968605,0.1109835,0.3934304999999999,-0.1519705,-0.0729684999999999,-0.0015344999999999,0.0007454999999999,0.0729684999999999,0.0015344999999999,-0.0007455,-0.1001745,-0.3353495,0.0101514999999999,0.0998034999999999,-0.3423795,0.0459845,-0.1088165,-0.6468695,0.0443255,0.1029335,-0.6696894999999999,0.0671305,0
1,-0.018047,0.7619495000000001,0.0535475,-0.185001,0.4802295,-0.0004914999999999,-0.225711,0.2246795,-0.0235744999999999,0.159869,0.4746995,0.0149405,0.201459,0.2332495,0.0292675,-0.201681,0.0279855,-0.0964864999999999,0.110319,0.3984094999999999,-0.1566365,-0.073026,-0.0015135,0.0008575,0.073026,0.0015135,-0.0008574999999999,-0.1002059999999999,-0.3339305,0.0102985,0.100269,-0.3415305,0.0459495,-0.108841,-0.6457904999999999,0.0443795,0.103219,-0.6689305,0.0673705,0
2,-0.0180285,0.762035,0.053596,-0.1850095,0.480205,-0.000313,-0.2257595,0.224805,-0.023559,0.1599105,0.475245,0.0149759999999999,0.1958404999999999,0.227145,0.0342349999999999,-0.2017795,0.028727,-0.09641,0.1105905,0.394605,-0.15242,-0.0730345,-0.001514,0.0009329999999999,0.0730345,0.001514,-0.000933,-0.1001805,-0.333865,0.0103329999999999,0.1004305,-0.341475,0.045895,-0.1088695,-0.645795,0.0444289999999999,0.1032505,-0.668885,0.067406,0
3,-0.0180115,0.762228,0.0536429999999999,-0.1851335,0.480258,-0.0001219999999999,-0.2256535,0.224738,-0.0235859999999999,0.1597065,0.475288,0.014512,0.1926265,0.224168,0.037498,-0.2016335,0.027954,-0.0965459999999999,0.1103965,0.392638,-0.1496259999999999,-0.0730715,-0.0014979999999999,0.0010039999999999,0.0730715,0.0014979999999999,-0.0010039999999999,-0.1000715,-0.333912,0.010464,0.1004564999999999,-0.341182,0.045951,-0.1087635,-0.6456919999999999,0.044364,0.1032965,-0.669102,0.067273,0
4,-0.0180855,0.7621964999999999,0.0536215,-0.1852425,0.4801465,-9.149999999999436e-05,-0.2256225,0.2246965,-0.0235714999999999,0.1597275,0.4755465,0.0144195,0.1917175,0.2234665,0.0355655,-0.2020625,0.0286835,-0.0964715,0.1098875,0.3932865,-0.1504515,-0.0730635,-0.0015325,0.0010315,0.0730635,0.0015325,-0.0010314999999999,-0.1001475,-0.3339635,0.0104805,0.1003775,-0.3413335,0.0458735,-0.1088025,-0.6455335,0.0445915,0.1031375,-0.6688835000000001,0.0671615,0
5,-0.018153,0.762186,0.053613,-0.1852099999999999,0.480086,-2.2999999999995246e-05,-0.22565,0.224716,-0.0235229999999999,0.15992,0.476136,0.014789,0.19912,0.231656,0.024862,-0.20195,0.027911,-0.096947,0.10887,0.400676,-0.157797,-0.073069,-0.0015459999999999,0.001058,0.073069,0.001546,-0.0010579999999999,-0.100172,-0.334184,0.010642,0.1002899999999999,-0.341494,0.045603,-0.10874,-0.645644,0.044353,0.10314,-0.666694,0.067794,0
6,-0.018064,0.7624345,0.0537904999999999,-0.185099,0.4804645,0.0001824999999999,-0.2254689999999999,0.2250145,-0.0232475,0.160061,0.4756745,0.0148444999999999,0.201201,0.2333045,0.0244164999999999,-0.201689,0.0276365,-0.0969005,0.109041,0.4017045,-0.1578505,-0.07309,-0.0014575,0.0013054999999999,0.07309,0.0014575,-0.0013055,-0.100183,-0.3337555,0.0106554999999999,0.100391,-0.3412055,0.0458055,-0.108649,-0.6453755,0.0445485,0.103221,-0.6663855,0.0679755,0
7,-0.018274,0.762305,0.053974,-0.185189,0.480185,0.000283,-0.225459,0.224845,-0.0233229999999999,0.159991,0.476065,0.014897,0.1982709999999999,0.232825,0.023706,-0.201369,0.026927,-0.097203,0.108441,0.402055,-0.158763,-0.07306,-0.001548,0.001178,0.07306,0.001548,-0.0011779999999999,-0.100238,-0.334045,0.010733,0.1003609999999999,-0.341605,0.045741,-0.108759,-0.645385,0.044587,0.103091,-0.667755,0.067789,0
8,-0.018325,0.7623325,0.0541045,-0.18523,0.4801725,0.0003985,-0.22545,0.2248925,-0.0232185,0.16005,0.4762125,0.0150204999999999,0.19835,0.2328525,0.0233835,-0.20124,0.0266185,-0.0973275,0.10832,0.4023425,-0.1588675,-0.073074,-0.0015545,0.0012334999999999,0.073074,0.0015545,-0.0012334999999999,-0.100258,-0.3340175,0.0108515,0.10037,-0.3416875,0.0457474999999999,-0.10877,-0.6453075,0.0446305,0.10305,-0.6676775,0.0678894999999999,0
9,-0.0183925,0.7623695,0.0542035,-0.1852734999999999,0.4801795,0.0005005,-0.2254534999999999,0.2249294999999999,-0.0231704999999999,0.1600865,0.4762495,0.0150745,0.1981865,0.2331494999999999,0.0223125,-0.2011335,0.0263505,-0.0974845,0.1079265,0.4030694999999999,-0.1594245,-0.0730795,-0.0015515,0.0013055,0.0730795,0.0015515,-0.0013054999999999,-0.1002695,-0.3340505,0.0109495,0.1003665,-0.3417505,0.0457365,-0.1087835,-0.6452304999999999,0.0446655,0.1030265,-0.6676504999999999,0.0679535,0
