FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z,activity_label
0,1.0010115,0.7598,0.023647,0.8313855,0.5040100000000001,0.021205,0.7835555,0.28111,-0.035547,1.1814855,0.49498,0.015837,1.2288355,0.2497899999999999,0.001668,0.8871555000000001,0.35814,-0.230563,1.2198355,0.06778,-0.075043,0.9254755,0.001315,0.000938,1.0745245,-0.001315,-0.000938,0.9002035000000002,-0.33923,0.0508259999999999,1.0964865,-0.32902,0.037672,0.9009925,-0.64687,0.081991,1.1080555,-0.64267,0.078736,0
1,1.000992,0.759819,0.023633,0.83138,0.504029,0.021195,0.7837000000000001,0.280719,-0.035756,1.18159,0.495099,0.015988,1.22887,0.249869,0.0016849999999999,0.88815,0.357519,-0.230925,1.21983,0.067734,-0.0751449999999999,0.925475,0.001313,0.000937,1.074525,-0.001313,-0.000937,0.900228,-0.339351,0.050967,1.095984,-0.330081,0.037873,0.90096,-0.6469010000000001,0.082174,1.10788,-0.643091,0.078711,0
2,1.0009505,0.7596959999999999,0.0236345,0.8313235,0.5039659999999999,0.0212115,0.7839035,0.280476,-0.0360005,1.1815835,0.495016,0.0160395,1.2288935,0.249826,0.0016844999999999,0.8880535,0.357616,-0.2308675,1.2198435,0.067698,-0.0750875,0.9254715,0.001281,0.0009515,1.0745285,-0.001281,-0.0009515,0.9001915,-0.339294,0.0509395,1.0960075,-0.329774,0.0379005,0.9009215,-0.646864,0.0821785,1.1078435,-0.643084,0.0787665,0
3,1.0009395,0.7596995000000001,0.023614,0.8312645000000001,0.5039295,0.021126,0.7840045,0.2803495,-0.0361149999999999,1.1815945,0.4950695,0.016052,1.2288845,0.2497895,0.001702,0.8909645,0.3576695,-0.229794,1.2198145,0.0676455,-0.075084,0.9254705,0.0012785,0.000951,1.0745295,-0.0012785,-0.0009509999999999,0.9001175,-0.3391605,0.050863,1.0959755,-0.3298205,0.037889,0.9010135,-0.6468704999999999,0.082142,1.1079645,-0.6430904999999999,0.078462,0
4,1.000925,0.7596895,0.0234724999999999,0.831238,0.5039095,0.0210424999999999,0.784448,0.2794895,-0.0342545,1.181648,0.4951595,0.0160034999999999,1.228888,0.2497695,0.0016504999999999,0.887848,0.3570095,-0.2316875,1.219768,0.0675945,-0.0750475,0.925486,0.0012925,0.0010004999999999,1.074514,-0.0012924999999999,-0.0010005,0.900094,-0.3391705,0.0508145,1.095969,-0.3298005,0.0378164999999999,0.90098,-0.6469505,0.0821155,1.107878,-0.6427805,0.0782835,0
5,1.0008864999999998,0.759748,0.023403,0.8311565,0.503898,0.02094,0.7842765,0.281058,-0.037715,1.1816765,0.495268,0.015944,1.2288665,0.249798,0.001589,0.8875065,0.357708,-0.2309089999999999,1.2197265,0.067607,-0.075039,0.9254765,0.001318,0.000973,1.0745235,-0.001318,-0.000973,0.9000575000000001,-0.3387619999999999,0.050811,1.0958965,-0.329742,0.037734,0.9010225,-0.6469520000000001,0.0820029999999999,1.1077465,-0.6425420000000001,0.078257,0
6,1.0009214999999998,0.7597349999999999,0.0232765,0.8311265,0.5040049999999999,0.0209234999999999,0.7844765,0.280495,-0.0382124999999999,1.1818665,0.495445,0.0161344999999999,1.2289365,0.249885,0.0015504999999999,0.8870365,0.354845,-0.2363695,1.2197665,0.067558,-0.0748895,0.9254655,0.0013,0.0009064999999999,1.0745345,-0.0013,-0.0009065,0.9000275,-0.338725,0.0508275,1.0958215,-0.329385,0.0377944999999999,0.9010795,-0.6471450000000001,0.0821295,1.1078964999999998,-0.642335,0.0783725,0
7,1.0009695,0.75962,0.0230085,0.8312195,0.50408,0.0209265,0.7844095,0.28083,-0.0386305,1.1817095,0.49523,0.0159155,1.2288595,0.24986,0.0015535,0.8880395000000001,0.35855,-0.2302145,1.2197595,0.06759,-0.0748945,0.9254645,0.001304,0.0008995,1.0745355,-0.001304,-0.0008994999999999,0.9000395,-0.33869,0.0507505,1.0962165,-0.32911,0.0376265,0.9009935,-0.64681,0.0820675,1.1079095,-0.64271,0.0783775,0
8,1.00097,0.7595925,0.0228594999999999,0.8312120000000001,0.5041025,0.0208855,0.784482,0.2807825,-0.0390865,1.181732,0.4952525,0.0159035,1.228862,0.2498525,0.0015114999999999,0.888292,0.3589024999999999,-0.2299004999999999,1.219752,0.0675665,-0.0748605,0.925463,0.0013015,0.0008825,1.074537,-0.0013015,-0.0008825,0.9000270000000001,-0.3385875,0.0507175,1.096194,-0.3290975,0.0376115,0.900999,-0.6467275,0.0820775,1.107912,-0.6427474999999999,0.0783615,0
9,1.0009715,0.7595615,0.022697,0.8311935,0.5041215,0.020871,0.7845535,0.2807615,-0.0395149999999999,1.1817635,0.4952615,0.015857,1.2288635,0.2498315,0.001473,0.8884935,0.3595415,-0.22936,1.2197535,0.0675385,-0.07482,0.9254625,0.0012994999999999,0.000866,1.0745375,-0.0012994999999999,-0.0008659999999999,0.9000125,-0.3384784999999999,0.050677,1.0962275,-0.3290185,0.037571,0.9010045,-0.6466385,0.082081,1.1079235,-0.6427285,0.078372,0
10,1.0009775,0.759539,0.0225245,0.8311745,0.5041589999999999,0.0208585,0.7846245000000001,0.280799,-0.0397675,1.1817845,0.495279,0.0158195,1.2288845,0.2497489999999999,0.0014105,0.8888045,0.359909,-0.2289755,1.2197545,0.067491,-0.0747655,0.9254635,0.001299,0.0008415,1.0745365,-0.0012989999999999,-0.0008415,0.8999965,-0.3383609999999999,0.0506275,1.0962555,-0.328931,0.0375355,0.9010165,-0.646551,0.0821075,1.1079345,-0.6427010000000001,0.0783965,0
11,1.0009905,0.7595195,0.0223424999999999,0.8311605,0.5041895,0.0208424999999999,0.7846805,0.2808295,-0.0399555,1.1818005,0.4952795,0.0157784999999999,1.2289105,0.2496695,0.0013314999999999,0.8887905,0.3602694999999999,-0.2287214999999999,1.2197605,0.0674405,-0.0747315,0.9254675,0.0012985,0.0008174999999999,1.0745325,-0.0012985,-0.0008175,0.8999815,-0.3382405,0.0505834999999999,1.0962965,-0.3288505,0.0375014999999999,0.9010165,-0.6464705000000001,0.0821315,1.1079305,-0.6426605,0.0784304999999999,0
