FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z
0,0.9961230000000001,0.7461175000000001,0.040213,0.853571,0.4628075,0.041009,0.747701,0.3303275,-0.085828,1.153361,0.4583275,0.050482,1.263611,0.3442375,-0.088788,0.740891,0.3299375,-0.294448,1.294981,0.2834375,-0.285788,0.926017,-0.0001064999999999,-0.0012329999999999,1.073983,0.0001065,0.0012329999999999,0.876231,-0.3465025,0.0078739999999999,1.126311,-0.3264525,-0.017803,0.857121,-0.6645625,0.02672,1.134851,-0.6774625,0.0066969999999999
1,0.997262,0.7443390000000001,0.041712,0.856265,0.468029,0.038454,0.750735,0.402899,-0.146015,1.1515149999999998,0.460469,0.046901,1.2699150000000001,0.409329,-0.122515,0.700545,0.386319,-0.419185,1.329915,0.395179,-0.339435,0.925656,0.0001889999999999,-0.001488,1.074344,-0.0001889999999999,0.0014879999999999,0.877075,-0.346911,0.0065139999999999,1.126875,-0.327661,-0.018612,0.857675,-0.6663309999999999,0.025414,1.135215,-0.679781,0.0054759999999999
2,0.997246,0.7426254999999999,0.041666,0.855996,0.4681455,0.036759,0.7375560000000001,0.4200155,-0.133335,1.150796,0.4606255,0.045427,1.283186,0.4235855,-0.1310349999999999,0.701766,0.4499955,-0.379345,1.338636,0.4664255,-0.361035,0.925424,0.0002135,-0.0021269999999999,1.074576,-0.0002134999999999,0.002127,0.876856,-0.3485244999999999,0.005574,1.126656,-0.3289145,-0.0192679999999999,0.857426,-0.6680545,0.024352,1.135006,-0.6814345,0.004365
3,0.998322,0.740841,0.0415745,0.856768,0.469691,0.0336655,0.725148,0.494861,-0.1635285,1.153508,0.457641,0.0410315,1.3049979999999999,0.490141,-0.1419585,0.683638,0.582391,-0.4145185,1.344538,0.583201,-0.3728885,0.9251580000000001,0.000549,-0.0022954999999999,1.0748419999999999,-0.0005489999999999,0.0022955,0.877308,-0.348549,0.0049875,1.127058,-0.328889,-0.0188694999999999,0.8576779999999999,-0.669249,0.0233085,1.135478,-0.683339,0.0035845
4,0.9992345,0.737766,0.0412979999999999,0.8563705,0.474146,0.0318059999999999,0.7196205,0.535226,-0.19168,1.1540205000000001,0.459956,0.0390099999999999,1.3138705,0.511796,-0.13623,0.6865105,0.623186,-0.39864,1.3438405,0.637566,-0.36514,0.9252305,0.000773,-0.002076,1.0747695,-0.0007729999999999,0.0020759999999999,0.8776305000000001,-0.3509339999999999,0.0043009999999999,1.1276205,-0.3315539999999999,-0.018883,0.8581305,-0.6726639999999999,0.022666,1.1358705,-0.686644,0.0031069999999999
5,0.999432,0.7364975,0.0410144999999999,0.856452,0.4745975,0.0308714999999999,0.722682,0.5509775,-0.1525685,1.153852,0.4613875,0.0376675,1.317292,0.5593275,-0.1400985,0.687202,0.6776475,-0.3879185,1.3448719999999998,0.6843374999999999,-0.3435785,0.9252940000000001,0.0009055,-0.0019635,1.074706,-0.0009055,0.0019634999999999,0.8774919999999999,-0.3519925,0.0039564999999999,1.127512,-0.3323825,-0.0188425,0.858152,-0.6740525,0.0225135,1.135842,-0.6879025,0.0027874999999999
6,0.9997380000000001,0.735331,0.041157,0.856003,0.475831,0.028849,0.722743,0.571521,-0.154306,1.153443,0.463191,0.033657,1.295933,0.586201,-0.123026,0.688713,0.716531,-0.3746259999999999,1.341873,0.729371,-0.3354959999999999,0.925309,0.0008349999999999,-0.0017439999999999,1.074691,-0.0008349999999999,0.001744,0.877773,-0.347929,0.002752,1.127503,-0.333269,-0.0186109999999999,0.858213,-0.675319,0.022467,1.135923,-0.689149,0.002869
7,0.9993375000000001,0.732093,0.0405925,0.8547605,0.477913,0.0318095,0.7323705,0.6005630000000001,-0.1296485,1.1529905,0.464373,0.0361105,1.2846205,0.5999730000000001,-0.1073184999999999,0.7032404999999999,0.742503,-0.3179085,1.3311405,0.7566130000000001,-0.2929285,0.9259415,0.000887,-0.0016494999999999,1.0740585,-0.0008869999999999,0.0016495,0.8773605000000001,-0.351187,0.0039485,1.1267205,-0.336457,-0.0172304999999999,0.8573705,-0.678847,0.0242865,1.1352605,-0.6930569999999999,0.0042995
8,0.999686,0.729681,0.0405745,0.854627,0.479781,0.0316445,0.732397,0.623061,-0.1296495,1.152907,0.465981,0.0352375,1.284737,0.621981,-0.1055395,0.703757,0.774231,-0.3085695,1.331667,0.794051,-0.2831995,0.926006,0.000986,-0.0016524999999999,1.073994,-0.0009859999999999,0.0016525,0.877467,-0.352229,0.0036035,1.126707,-0.338609,-0.0172294999999999,0.857347,-0.681419,0.0243205,1.1352769999999999,-0.695759,0.0042985
9,0.999903,0.72743,0.040278,0.854338,0.4810999999999999,0.031707,0.7326980000000001,0.64134,-0.122449,1.152838,0.46836,0.034814,1.2849879999999998,0.64243,-0.099529,0.705958,0.80443,-0.287289,1.330408,0.82549,-0.267319,0.926122,0.0010329999999999,-0.0016089999999999,1.073878,-0.001033,0.001609,0.8774680000000001,-0.35326,0.003286,1.1266180000000001,-0.34068,-0.017157,0.8572379999999999,-0.68385,0.024423,1.135218,-0.69832,0.004361
10,1.0000735,0.7251529999999999,0.0399375,0.8540805,0.482463,0.0319415,0.7338205,0.658593,-0.1155535,1.1527305,0.470733,0.0347825,1.2838405,0.6579729999999999,-0.0917935,0.7083905000000001,0.829513,-0.2656335,1.3273905,0.852503,-0.2476135,0.9262695,0.0010609999999999,-0.0014964999999999,1.0737305,-0.0010609999999999,0.0014964999999999,0.8774605,-0.354197,0.0030454999999999,1.1265005,-0.3428569999999999,-0.0169305,0.8571005,-0.6863170000000001,0.0246715,1.1351205,-0.7009270000000001,0.0045765
11,1.0002145,0.7223944999999999,0.039509,0.8538355,0.4839544999999999,0.032397,0.7371855,0.6755145,-0.103887,1.1525055,0.4737345,0.035293,1.2804555,0.6717445,-0.082167,0.7133255000000001,0.8548845,-0.2387969999999999,1.3234255,0.8781545,-0.2237369999999999,0.9264735,0.0011114999999999,-0.0013029999999999,1.0735265,-0.0011115,0.0013029999999999,0.8775155,-0.3559155,0.003067,1.1263455,-0.3455655,-0.0164889999999999,0.8569555,-0.6893755,0.025194,1.1349755,-0.7039855,0.005098
12,1.0003675,0.719767,0.039006,0.8536575,0.485357,0.032981,0.7411675000000001,0.6897070000000001,-0.0913749999999999,1.1522175,0.4768769999999999,0.03593,1.2769675,0.685257,-0.0722549999999999,0.7180775000000001,0.876467,-0.2129849999999999,1.3191074999999999,0.8991870000000001,-0.1990549999999999,0.9267145,0.001165,-0.0011079999999999,1.0732855,-0.0011649999999999,0.0011079999999999,0.8775475000000001,-0.357453,0.0032249999999999,1.1261575,-0.348193,-0.016097,0.8567775,-0.692433,0.025842,1.1348075,-0.707063,0.00572
13,1.0005545,0.7173455,0.03857,0.8534765,0.4868655,0.0335829999999999,0.7452965,0.7017154999999999,-0.07844,1.1519365,0.4800755,0.036591,1.2737165,0.6945655,-0.062235,0.7222565000000001,0.8978254999999999,-0.18642,1.3150865,0.9172955,-0.1748,0.9269285,0.0012325,-0.000951,1.0730715,-0.0012325,0.000951,0.8775965,-0.3589345,0.0034339999999999,1.1259765,-0.3507345,-0.015737,0.8566065,-0.6954045000000001,0.0264969999999999,1.1346465000000001,-0.7100445000000001,0.0063739999999999
14,1.000667,0.7153705,0.0380379999999999,0.853301,0.4875005,0.034336,0.749331,0.7099005,-0.066054,1.151661,0.4839605,0.037405,1.270521,0.7017705000000001,-0.053252,0.725231,0.9142305,-0.165964,1.311291,0.9293605,-0.153954,0.927138,0.0012484999999999,-0.000816,1.072862,-0.0012485,0.0008159999999999,0.877661,-0.3604895,0.003692,1.125791,-0.3530195,-0.015493,0.856461,-0.6981395,0.027134,1.134571,-0.7129495,0.0069249999999999
15,1.0008175,0.71373,0.037457,0.8532035,0.48789,0.035053,0.7530435,0.71653,-0.0542439999999999,1.1513735,0.48756,0.038288,1.2674935,0.70806,-0.0447939999999999,0.7281535,0.92973,-0.147225,1.3081435,0.93912,-0.132855,0.9273165,0.001253,-0.0007139999999999,1.0726835,-0.0012529999999999,0.0007139999999999,0.8777435000000001,-0.36174,0.003894,1.1256535,-0.35496,-0.0153379999999999,0.8563535,-0.70056,0.027701,1.1345135,-0.71558,0.007389
16,1.0011534999999998,0.7125705,0.0368905,0.8531965,0.4881705,0.0356354999999999,0.7552065,0.7210205000000001,-0.0451135,1.1510665,0.4909505,0.0392434999999999,1.2644065,0.7137605,-0.0364135,0.7307465,0.9443505,-0.1286315,1.3048765,0.9482905,-0.1147215,0.9274795,0.0012444999999999,-0.0006205,1.0725205,-0.0012445,0.0006204999999999,0.8778465,-0.3628395,0.0040894999999999,1.1255565,-0.3566395,-0.0152565,0.8562565,-0.7027295,0.0282014999999999,1.1344865,-0.7179395,0.0078314999999999
17,1.0015189999999998,0.7116235,0.036358,0.853234,0.4884035,0.036088,0.757364,0.7253134999999999,-0.0361279999999999,1.150734,0.4943835,0.040251,1.261674,0.7190835,-0.0286659999999999,0.732874,0.9579235,-0.111855,1.3018640000000001,0.9534635,-0.097505,0.927642,0.0012064999999999,-0.0005099999999999,1.072358,-0.0012064999999999,0.00051,0.877964,-0.3637965,0.004217,1.125484,-0.3581765,-0.0152479999999999,0.856214,-0.7047965,0.028623,1.134464,-0.7200465,0.008225
18,1.0019125,0.710888,0.0358425,0.8533705,0.4886779999999999,0.0364245,0.7594405000000001,0.729418,-0.0274495,1.1503805,0.4970479999999999,0.0413885,1.2590105,0.723908,-0.0212344999999999,0.7347205,0.968598,-0.0955955,1.2986705,0.958588,-0.0799555,0.9277945,0.001188,-0.0004235,1.0722055,-0.001188,0.0004235,0.8780705,-0.364502,0.0043415,1.1254005,-0.359592,-0.0152484999999999,0.8561705,-0.706712,0.0290075,1.1344505,-0.722012,0.0085975
19,1.002373,0.71033,0.035386,0.8536850000000001,0.48878,0.036687,0.7615350000000001,0.7328100000000001,-0.019459,1.150075,0.49968,0.04249,1.256575,0.72862,-0.014307,0.7363649999999999,0.97888,-0.080011,1.295985,0.96298,-0.065281,0.927923,0.001161,-0.0003319999999999,1.072077,-0.001161,0.0003319999999999,0.878175,-0.36515,0.0044939999999999,1.125335,-0.36085,-0.01525,0.8561449999999999,-0.7085199999999999,0.029386,1.134455,-0.72381,0.0089829999999999
20,1.0028435,0.710356,0.0350739999999999,0.8540585,0.4884160000000001,0.0368229999999999,0.7629085000000001,0.734326,-0.013545,1.1496485,0.501306,0.0432539999999999,1.2547184999999998,0.7322460000000001,-0.009622,0.7369485,0.984536,-0.068578,1.2937385,0.964036,-0.05393,0.9280285,0.0011359999999999,-0.000349,1.0719715,-0.0011359999999999,0.0003489999999999,0.8781885,-0.365564,0.0046429999999999,1.1252585,-0.3615839999999999,-0.015241,0.8561084999999999,-0.709734,0.0296659999999999,1.1344685,-0.725174,0.0092239999999999
21,1.0032925,0.7105315,0.0348765,0.8544835,0.4880514999999999,0.0369535,0.7642335,0.7353215,-0.0086424999999999,1.1491535,0.5023314999999999,0.0436955,1.2531435,0.7358115,-0.0055074999999999,0.7374035,0.9892315,-0.0574825,1.2918735,0.9655315,-0.0449954999999999,0.9280965,0.0011134999999999,-0.0004354999999999,1.0719035,-0.0011135,0.0004354999999999,0.8782035,-0.3660185,0.0047924999999999,1.1252235,-0.3621784999999999,-0.0151695,0.8561035000000001,-0.7106985,0.0299415,1.1345235,-0.7263185,0.0094545
22,1.003698,0.7106835,0.03472,0.854931,0.4875434999999999,0.03708,0.7655310000000001,0.7359534999999999,-0.0043329999999999,1.148631,0.5030835,0.044006,1.251591,0.7387035,-0.0016419999999999,0.7377210000000001,0.9911035,-0.049208,1.290191,0.9670035,-0.036597,0.9281590000000001,0.0010715,-0.0005299999999999,1.0718409999999998,-0.0010714999999999,0.00053,0.878211,-0.3664165,0.004942,1.125191,-0.3627265,-0.015083,0.8560910000000002,-0.7115864999999999,0.03021,1.134591,-0.7273765000000001,0.009675
23,1.004182,0.7108734999999999,0.0348425,0.855354,0.4875434999999999,0.0372055,0.7671240000000001,0.7362234999999999,-7.149999999999518e-05,1.148104,0.5032535,0.0444605,1.249724,0.7410334999999999,0.0026035,0.738084,0.9931035,-0.0403904999999999,1.288634,0.9691035,-0.0276855,0.928203,0.0010715,-0.0006794999999999,1.071797,-0.0010714999999999,0.0006794999999999,0.878164,-0.3664165,0.0050965,1.125124,-0.3627265,-0.0149834999999999,0.8559940000000001,-0.7115864999999999,0.0303625,1.134524,-0.7273765000000001,0.0098265
