FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z
0,1.014504,0.7676445000000001,0.0287959999999999,0.8627530000000001,0.4640645,-0.01036,0.768883,0.2846545,-0.049381,1.177163,0.4892245,0.0046339999999999,1.243333,0.2790345,0.0094759999999999,0.822663,0.4120545,-0.211205,1.237103,0.1275744999999999,-0.121395,0.92598,0.0010674999999999,0.0004129999999999,1.07402,-0.0010674999999999,-0.000413,0.903666,-0.3303855,0.0456219999999999,1.108633,-0.3376455,0.0300919999999999,0.907687,-0.6569455,0.06505,1.120213,-0.6692555,0.0558849999999999
1,1.0138155,0.7669745,0.0292825,0.8580544999999999,0.4658945,-0.0062554999999999,0.7619445,0.2959445,-0.0627575,1.1760645,0.4891645,0.0052984999999999,1.2521645,0.2932945,0.0161245,0.8130845000000001,0.4238545,-0.2109615,1.2507845,0.1749245,-0.1445815,0.9259485000000001,0.0010045,0.0004014999999999,1.0740515,-0.0010045,-0.0004014999999999,0.9031695,-0.3307055,0.0456375,1.1080245,-0.3374855,0.0301445,0.9072595,-0.6579355,0.0652995,1.1196845,-0.6697855,0.0561005
2,1.013305,0.765799,0.0294734999999999,0.852877,0.467349,-0.0027585,0.753637,0.310519,-0.0744925,1.175177,0.490049,0.0073434999999999,1.268667,0.326289,0.0181564999999999,0.7983169999999999,0.436919,-0.2002525,1.2618070000000001,0.235519,-0.2070525,0.925953,0.00072,0.0004084999999999,1.074047,-0.0007199999999999,-0.0004085,0.903193,-0.329991,0.0457495,1.107507,-0.338261,0.0300054999999999,0.9066609999999999,-0.658561,0.0652745,1.119267,-0.670871,0.0562155
3,1.012967,0.7647825,0.029848,0.849581,0.4681125,-0.0005989999999999,0.7413010000000001,0.3213225,-0.083572,1.173181,0.4912225,0.009461,1.275661,0.3426925,-0.0020549999999999,0.789731,0.4789225,-0.2123519999999999,1.267741,0.2938024999999999,-0.246222,0.925905,0.0003554999999999,0.000784,1.074095,-0.0003554999999999,-0.000784,0.9032290000000001,-0.3308275,0.045792,1.107341,-0.3391375,0.030076,0.906498,-0.6598675,0.065259,1.119011,-0.6713775,0.056084
4,1.0127519999999999,0.764104,0.029897,0.846032,0.472534,0.004359,0.727332,0.333474,-0.0898199999999999,1.172752,0.491564,0.010979,1.322692,0.331874,-0.061872,0.770622,0.506024,-0.19421,1.291132,0.406114,-0.22953,0.925929,0.0001789999999999,0.000744,1.074071,-0.000179,-0.000744,0.903134,-0.331946,0.045824,1.1073119999999999,-0.339826,0.03005,0.906,-0.6623560000000001,0.064556,1.1187619999999998,-0.6715760000000001,0.056148
5,1.012303,0.7635075,0.0300905,0.841574,0.4712874999999999,0.0090675,0.711104,0.3439574999999999,-0.0899835,1.173704,0.4912975,0.0121395,1.349354,0.3501074999999999,-0.0479434999999999,0.7593740000000001,0.5230675,-0.1748335,1.302734,0.4883975,-0.1923135,0.926001,0.0001024999999999,0.0009354999999999,1.073999,-0.0001025,-0.0009354999999999,0.902998,-0.3327325,0.0457515,1.107694,-0.3409225,0.0303205,0.90566,-0.6646525,0.0640155,1.118874,-0.6708725,0.0559865
6,1.011538,0.7633424999999999,0.0299709999999999,0.837711,0.4697525,0.0111239999999999,0.689331,0.3570225,-0.087113,1.176591,0.4894025,0.0126879999999999,1.371881,0.3909325,-0.061195,0.748121,0.5417424999999999,-0.156993,1.304251,0.5635224999999999,-0.166923,0.926044,3.500000000000031e-06,0.001021,1.073956,-3.500000000000031e-06,-0.001021,0.9030320000000001,-0.3330774999999999,0.0458709999999999,1.107991,-0.3418175,0.0307409999999999,0.905543,-0.6647075,0.0638229999999999,1.118811,-0.6701675,0.055885
7,1.008881,0.761166,0.029928,0.837032,0.469446,0.008091,0.682682,0.401306,-0.078553,1.176462,0.492276,0.007765,1.342832,0.449146,-0.0405539999999999,0.7655020000000001,0.576206,-0.142403,1.258202,0.579966,-0.1107329999999999,0.926032,-0.0003319999999999,0.001786,1.073968,0.0003319999999999,-0.0017859999999999,0.903062,-0.331994,0.045452,1.107572,-0.341854,0.029922,0.9050120000000001,-0.666014,0.063811,1.118352,-0.675504,0.055749
8,1.007435,0.759762,0.0298825,0.834334,0.469292,0.0092774999999999,0.671914,0.418962,-0.0790145,1.1762839999999999,0.493172,0.0076344999999999,1.351164,0.478002,-0.0421725,0.7629440000000001,0.598942,-0.1289845,1.254844,0.629542,-0.0968245,0.9260220000000001,-0.000601,0.0021585,1.0739779999999999,0.0006009999999999,-0.0021585,0.90292,-0.331908,0.0452464999999999,1.107394,-0.342318,0.0296475,0.904479,-0.667728,0.0634575,1.117974,-0.676938,0.0555545
9,1.005808,0.758109,0.029824,0.831818,0.468769,0.009848,0.662318,0.435249,-0.076501,1.175978,0.4943189999999999,0.007346,1.354158,0.506649,-0.042405,0.7609580000000001,0.618499,-0.115491,1.249698,0.666509,-0.080121,0.926016,-0.000897,0.002563,1.073984,0.000897,-0.0025629999999999,0.9026330000000001,-0.331891,0.044959,1.107118,-0.342951,0.029246,0.9038270000000002,-0.669511,0.063055,1.117428,-0.678611,0.055247
