fold,MSE,MAE,RMSE
1,0.2947891652584076,0.4441574513912201,0.542944900757349
2,0.19552014768123627,0.35023388266563416,0.44217660236746614
3,0.10633707791566849,0.2531720995903015,0.3260936643292361
4,0.4096708297729492,0.5395746231079102,0.6400553333680997
5,0.2784148156642914,0.42853304743766785,0.527650277801776
6,0.33939236402511597,0.5004618167877197,0.582573912928751
7,0.3276582360267639,0.46595287322998047,0.5724143918759939
8,0.15008410811424255,0.3277481198310852,0.3874069025123876
9,0.4736168086528778,0.536835253238678,0.6881982335438517
10,0.1631869673728943,0.34985849261283875,0.4039640669328081
