fold,MSE,MAE,RMSE
1,0.24522259831428528,0.3896133303642273,0.4951995540328013
2,0.2254469245672226,0.36122849583625793,0.4748125151754349
3,0.13511785864830017,0.27379849553108215,0.3675838117331885
4,0.3058180510997772,0.4682251513004303,0.553008183573966
5,0.2489723563194275,0.3548581302165985,0.49897129809181157
6,0.2982344925403595,0.46973803639411926,0.5461084988721193
7,0.292428582906723,0.43799546360969543,0.5407666621628251
8,0.1146080419421196,0.2894623875617981,0.33853809525977957
9,0.3328476548194885,0.382978230714798,0.5769295059359406
10,0.10424371063709259,0.25418585538864136,0.32286794612827796
