fold,MSE,MAE,RMSE
1,0.24214895069599152,0.39380785822868347,0.49208632443504413
2,0.22417911887168884,0.37182125449180603,0.4734755736800884
3,0.09338308125734329,0.24340182542800903,0.30558645463656153
4,0.2857854962348938,0.4728255271911621,0.5345890910174784
5,0.15866336226463318,0.3144877552986145,0.39832569872484147
6,0.3404180705547333,0.49605390429496765,0.5834535718930284
7,0.21071133017539978,0.38421866297721863,0.4590330382177298
8,0.14762255549430847,0.3480822741985321,0.3842168079279048
9,0.11940886080265045,0.2835821509361267,0.3455558721866125
10,0.04213668406009674,0.1783108413219452,0.20527221940656445
