fold,MSE,MAE,RMSE
1,0.32781314849853516,0.42306047677993774,0.572549690855331
2,0.28701668977737427,0.4197548031806946,0.5357393860613332
3,0.10057368874549866,0.20285199582576752,0.31713355033092705
4,0.3482489585876465,0.46598032116889954,0.5901262225894105
5,0.3300171196460724,0.45407766103744507,0.5744711651998492
6,0.3112693428993225,0.4569680988788605,0.5579151753620998
7,0.2978609502315521,0.41628000140190125,0.5457663879642572
8,0.17932778596878052,0.3524821996688843,0.4234711158612598
9,0.3627277612686157,0.4716149866580963,0.6022688446770393
10,0.07844749093055725,0.23645903170108795,0.28008479239429845
