fold,MSE,MAE,RMSE
1,0.23471586406230927,0.40803393721580505,0.4844748332600046
2,0.19964203238487244,0.3878013491630554,0.44681319629669897
3,0.2493571937084198,0.385538250207901,0.4993567799764211
4,0.2752491235733032,0.4659193456172943,0.5246419003218321
5,0.3390180170536041,0.46971532702445984,0.5822525371809075
6,0.3576700985431671,0.5112073421478271,0.598055263786857
7,0.2855754494667053,0.4354848265647888,0.5343925986264269
8,0.24996572732925415,0.3608465790748596,0.49996572615455764
9,0.2961164116859436,0.3906014859676361,0.5441657942998105
10,0.13689294457435608,0.2986227869987488,0.3699904655181753
