fold,MSE,MAE,RMSE
1,0.2547137141227722,0.439707487821579,0.504691702054603
2,0.137807235121727,0.3363359570503235,0.3712239689482981
3,0.13978272676467896,0.28868797421455383,0.3738752823665653
4,0.21832118928432465,0.4078289568424225,0.4672485305320121
5,0.30685240030288696,0.4497891962528229,0.5539425965773773
6,0.27943623065948486,0.4459989368915558,0.5286172818395979
7,0.23415778577327728,0.38778671622276306,0.48389852838511227
8,0.1474432498216629,0.34387823939323425,0.38398339784639507
9,0.22939538955688477,0.3336580693721771,0.4789523875677882
10,0.1465531587600708,0.3126213252544403,0.38282262049161986
