fold,MSE,MAE,RMSE
1,0.3646356761455536,0.4970203936100006,0.6038507068353515
2,0.16813744604587555,0.35523250699043274,0.4100456633667469
3,0.1346820890903473,0.24902240931987762,0.36699058447097427
4,0.2200288623571396,0.3903149962425232,0.469072342349386
5,0.3282652199268341,0.4262595772743225,0.572944342782817
6,0.37172654271125793,0.5418497323989868,0.6096938106223959
7,0.3918742835521698,0.4592180848121643,0.6259986290337781
8,0.09614375978708267,0.27167847752571106,0.3100705722687703
9,0.20732444524765015,0.3454207181930542,0.45532894180762346
10,0.16563254594802856,0.29047828912734985,0.4069797856749504
