fold,MSE,MAE,RMSE
1,0.28142648935317993,0.40976056456565857,0.530496455551948
2,0.13699738681316376,0.27217036485671997,0.3701315804050821
3,0.09878700226545334,0.26595374941825867,0.3143039965788748
4,0.2806622385978699,0.4573092758655548,0.5297756493062604
5,0.375130295753479,0.4824422299861908,0.6124788124935253
6,0.3003067672252655,0.46541184186935425,0.5480025248347543
7,0.3397004008293152,0.432241290807724,0.5828382286958493
8,0.10710237920284271,0.311511367559433,0.32726499843833395
9,0.20711231231689453,0.3360760807991028,0.4550959374866958
10,0.06777771562337875,0.21891531348228455,0.2603415364926979
