fold,MSE,MAE,RMSE
1,0.442354291677475,0.5623418688774109,0.6650972046832515
2,0.24120968580245972,0.44247326254844666,0.4911310271225589
3,0.17918293178081512,0.3160882592201233,0.4233000493513025
4,0.24842803180217743,0.4503260850906372,0.4984255529185652
5,0.6042845249176025,0.5907741785049438,0.7773573984452727
6,0.3634679615497589,0.47337210178375244,0.6028830413519349
7,0.24567824602127075,0.3801877796649933,0.49565940525856134
8,0.14077837765216827,0.308625727891922,0.3752044478043514
9,0.669353723526001,0.602874219417572,0.818140405753194
10,0.1779068112373352,0.3720802962779999,0.42179000846076853
