fold,MSE,MAE,RMSE
1,0.3458412289619446,0.4283333420753479,0.5880826718769603
2,0.269439160823822,0.4152746796607971,0.5190752939832737
3,0.099891297519207,0.2682901918888092,0.3160558455703786
4,0.29208630323410034,0.44940006732940674,0.5404500931946449
5,0.36396509408950806,0.4756907820701599,0.6032951964747507
6,0.36246025562286377,0.4871395230293274,0.6020467221261684
7,0.29652875661849976,0.38180166482925415,0.5445445405276779
8,0.12964297831058502,0.32704147696495056,0.3600596871500405
9,0.5628446936607361,0.43880921602249146,0.7502297605805411
10,0.11480098217725754,0.2501225173473358,0.3388229363211079
