fold,MSE,MAE,RMSE
1,0.38106733560562134,0.5291344523429871,0.6173065167367192
2,0.19262364506721497,0.3673456609249115,0.43888910338172554
3,0.1773839294910431,0.33169424533843994,0.42116971578099377
4,0.27359411120414734,0.473348468542099,0.5230622441011656
5,0.5625309348106384,0.5666347146034241,0.7500206229235556
6,0.2734484076499939,0.4506646394729614,0.5229229461880535
7,0.24701307713985443,0.4045237898826599,0.4970041017334308
8,0.30027616024017334,0.47060272097587585,0.5479745981705478
9,0.2547723650932312,0.3552534282207489,0.5047498044509093
10,0.09143257886171341,0.25005948543548584,0.30237820500445034
