fold,MSE,MAE,RMSE
1,0.22358675301074982,0.38823965191841125,0.4728496092953338
2,0.2402981072664261,0.43143293261528015,0.4902021085903508
3,0.1080964058637619,0.2160927951335907,0.3287801786357595
4,0.2898012101650238,0.4601190686225891,0.5383318773442863
5,0.3969625234603882,0.5087521076202393,0.6300496198398886
6,0.26850777864456177,0.4608967900276184,0.5181773621498355
7,0.3635919988155365,0.45684999227523804,0.6029859026673314
8,0.13904696702957153,0.3303718864917755,0.37289002001873356
9,0.31392398476600647,0.37736275792121887,0.5602891974382573
10,0.33238935470581055,0.44779685139656067,0.5765321801129669
