fold,MSE,MAE,RMSE
1,0.28758564591407776,0.47861233353614807,0.5362701240178104
2,0.15603749454021454,0.33873432874679565,0.3950158155570667
3,0.15673565864562988,0.29552990198135376,0.395898545899868
4,0.22376973927021027,0.3842495083808899,0.4730430628074047
5,0.25389212369918823,0.3571624159812927,0.5038770918579135
6,0.35832419991493225,0.48101621866226196,0.5986018709584294
7,0.16295096278190613,0.30762797594070435,0.4036718503709494
8,0.1380286067724228,0.31346070766448975,0.3715220138463168
9,0.11642491072416306,0.31036412715911865,0.3412109475444231
10,0.1440373957157135,0.2958199381828308,0.3795225892034801
