fold,MSE,MAE,RMSE
1,0.40010619163513184,0.4957678020000458,0.6325394783214182
2,0.1811343878507614,0.37561357021331787,0.42559885790584706
3,0.17554566264152527,0.29615625739097595,0.41898169726316836
4,0.17328113317489624,0.33482250571250916,0.41627050481014893
5,0.30285149812698364,0.4039385914802551,0.55031945098005
6,0.3455575406551361,0.5298991799354553,0.587841424752574
7,0.2158026546239853,0.3812451660633087,0.46454564320848524
8,0.11510907858610153,0.2823052406311035,0.33927728863880874
9,0.07403011620044708,0.2423861026763916,0.27208475922117925
10,0.1966269165277481,0.34766942262649536,0.4434263372057958
