timestamp_ms,classification,confidence,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z
1776843390212,Shallow,0.800,0.0845,-0.1490,-0.5267,0.1496,-0.1503,-0.3275,-0.1275,-0.2049,-0.3361,0.0836,0.0814,-0.2360,-0.2131,-0.0520,-0.1951,0.0648,0.3045,-0.2521,-0.2419,0.0610,-0.1074,0.1040,0.0080,-0.0096,-0.1047,-0.0088,0.0102,0.1762,0.3667,-0.0280,-0.1969,0.3569,-0.0220,0.1535,0.6834,0.1592,-0.1234,0.6592,0.1934
1776843390454,Shallow,0.800,0.0398,-0.1283,-0.5769,0.1571,-0.1160,-0.4023,-0.1563,-0.1846,-0.3686,0.1048,0.1442,-0.3440,-0.1814,-0.0575,-0.2930,0.1136,0.3541,-0.3626,-0.1908,0.0178,-0.2855,0.1145,0.0038,-0.0091,-0.1153,-0.0045,0.0096,0.2102,0.3157,-0.0663,-0.2157,0.3313,-0.0619,0.1818,0.6581,0.0923,-0.1667,0.6646,0.1120
1776843390706,Deep,0.800,0.0115,-0.5600,-0.1471,0.1386,-0.4798,-0.0501,-0.1724,-0.4959,-0.0462,0.1235,-0.4332,-0.2452,-0.2184,-0.4821,-0.2573,0.0405,-0.4853,-0.4229,-0.1270,-0.5146,-0.4078,0.1153,-0.0049,-0.0078,-0.1158,0.0044,0.0083,0.2822,0.1700,-0.2231,-0.2990,0.2214,-0.2117,0.1907,0.5354,-0.0527,-0.2192,0.5634,-0.0330
1776843390957,Deep,0.800,-0.0384,-0.5514,-0.2876,0.1343,-0.4513,-0.1137,-0.1690,-0.4418,-0.0944,0.1278,-0.5644,-0.1484,-0.2152,-0.5913,-0.1114,0.0120,-0.7541,-0.0925,-0.2027,-0.8070,-0.0171,0.1082,-0.0083,-0.0033,-0.1092,0.0079,0.0038,0.3167,-0.0083,-0.3045,-0.2423,0.0162,-0.2747,0.2015,0.2910,-0.1405,-0.1556,0.2988,-0.1273
1776843391205,Deep,0.800,-0.0262,-0.5785,-0.2155,0.1491,-0.4582,-0.0945,-0.1712,-0.4501,-0.0876,0.1278,-0.5359,-0.2597,-0.1958,-0.5921,-0.2478,0.0347,-0.7130,-0.3728,-0.1724,-0.7788,-0.2739,0.1149,-0.0087,-0.0038,-0.1158,0.0084,0.0043,0.3243,0.0113,-0.2958,-0.2466,0.0418,-0.2784,0.2135,0.2983,-0.1017,-0.1525,0.2901,-0.0585
1776843391455,Shallow,0.800,-0.0151,-0.4049,-0.3432,0.1185,-0.3874,-0.2213,-0.1842,-0.4244,-0.2122,0.0970,-0.2878,-0.3284,-0.1942,-0.3875,-0.3401,0.0233,-0.3365,-0.4668,-0.1286,-0.4667,-0.4704,0.1116,-0.0011,-0.0073,-0.1125,0.0005,0.0078,0.2836,0.2656,-0.1671,-0.2627,0.2998,-0.1607,0.1565,0.6325,-0.0156,-0.2525,0.6465,-0.0061
1776843391704,Invalid,0.700,0.0293,-0.1621,-0.4991,0.1207,-0.2092,-0.3221,-0.1474,-0.1968,-0.3236,0.0884,0.0024,-0.2244,-0.1681,0.0204,-0.2553,0.0491,0.1850,-0.2100,-0.2032,0.2295,-0.2562,0.1007,-0.0033,-0.0011,-0.1018,0.0027,0.0019,0.1859,0.3625,-0.0656,-0.2432,0.3737,-0.0617,0.1554,0.7162,0.0638,-0.2333,0.7527,0.0496
1776843391956,Invalid,0.700,0.0321,-0.1389,-0.5374,0.1350,-0.1945,-0.3354,-0.1343,-0.1877,-0.3422,0.0956,-0.0041,-0.2135,-0.1510,-0.0009,-0.2409,0.0575,0.1850,-0.1740,-0.1633,0.2023,-0.1973,0.1030,-0.0018,-0.0016,-0.1041,0.0011,0.0025,0.1984,0.3590,-0.0608,-0.2230,0.3692,-0.0469,0.1619,0.6828,0.0780,-0.1929,0.7280,0.0813
1776843392204,Invalid,0.700,0.0423,-0.4596,-0.2365,0.1263,-0.4251,-0.1067,-0.1402,-0.4626,-0.1403,0.0812,-0.3013,-0.1062,-0.1637,-0.3078,-0.2247,0.0534,-0.2979,-0.1577,-0.0448,-0.2845,-0.3673,0.1019,0.0046,0.0028,-0.1029,-0.0051,-0.0024,0.1947,0.3246,-0.0727,-0.2181,0.3397,-0.0812,0.1632,0.6765,0.0628,-0.1968,0.7108,0.0441
1776843392457,Deep,0.800,-0.0331,-0.5862,-0.1730,0.1603,-0.4678,-0.0713,-0.1490,-0.4518,-0.0282,0.1132,-0.4879,-0.2310,-0.2244,-0.4934,-0.1595,0.0068,-0.6462,-0.3199,-0.2192,-0.6583,-0.2481,0.1109,-0.0100,-0.0052,-0.1117,0.0095,0.0056,0.2944,0.0569,-0.3166,-0.2491,0.1045,-0.2950,0.1985,0.4016,-0.1727,-0.1816,0.4152,-0.1410
